Data,IE00BJXFZ989
02/1997,27392.527719729525
03/1997,27151.377677009077
04/1997,28171.15067626014
05/1997,29755.717375938715
06/1997,31624.557171008262
07/1997,33968.66345134747
08/1997,32480.333824147292
09/1997,33309.55900559818
10/1997,30751.77170529641
11/1997,30574.297312528368
12/1997,31806.11850822993
01/1998,33248.4332910422
02/1998,35438.871456466244
03/1998,37080.9714570326
04/1998,37168.551471545186
05/1998,35901.464612500626
06/1998,36807.414359938804
07/1998,36900.10549909734
08/1998,31594.470326326315
09/1998,30714.164688669094
10/1998,32275.60252136521
11/1998,35220.02911672925
12/1998,36614.40000086365
01/1999,38577.214073681396
02/1999,38850.16799987287
03/1999,41633.92398263792
04/1999,44019.670432651415
05/1999,43029.100988510996
06/1999,45723.68629033541
07/1999,43970.338559336444
08/1999,44412.45809032413
09/1999,43546.880885724
10/1999,46672.64956720654
11/1999,49811.4016438709
12/1999,54226.32310850383
01/2000,52627.778709539394
02/2000,53215.86999735633
03/2000,57660.71456988211
04/2000,57901.283068376826
05/2000,55066.93266879944
06/2000,55416.47424569977
07/2000,55600.61430222912
08/2000,59488.67241136563
09/2000,57115.33342776384
10/2000,58303.11840296666
11/2000,52999.383147439796
12/2000,50279.24824615646
01/2001,51608.22973629166
02/2001,47486.929357031215
03/2001,46368.15602478766
04/2001,49490.81239978113
05/2001,51215.77484661461
06/2001,49637.699914358
07/2001,47312.124445175206
08/2001,43143.24137547137
09/2001,39310.70903371991
10/2001,40534.32331915939
11/2001,43716.41582611844
12/2001,44544.100032272625
01/2002,44198.61259299662
02/2002,43795.210686300125
03/2002,45382.26043785097
04/2002,42551.50727742665
05/2002,40883.7426693644
06/2002,36118.700301171135
07/2002,33732.76342859588
08/2002,33642.08887372781
09/2002,29864.22382757804
10/2002,32045.135207453608
11/2002,33577.92301087797
12/2002,30263.628473055614
01/2003,28481.391059945403
02/2003,28065.511612226426
03/2003,27664.530698906066
04/2003,29491.27426766258
05/2003,29378.219815226887
06/2003,30972.343355258203
07/2003,31959.141308891667
08/2003,33882.92757514773
09/2003,31971.72007123202
10/2003,33993.19062828911
11/2003,33437.56245329102
12/2003,33761.39182611301
01/2004,35016.19389084845
02/2004,35558.60670478495
03/2004,35924.35877740062
04/2004,35907.262856600115
05/2004,35458.77692014023
06/2004,36297.17261866212
07/2004,35478.03634903245
08/2004,35489.91182769173
09/2004,35361.19206527663
10/2004,35294.542139145255
11/2004,35664.396807844256
12/2004,36161.4482370417
01/2005,36987.32797383363
02/2005,37638.32854459527
03/2005,37649.74782116429
04/2005,36857.76084175518
05/2005,39474.61817875714
06/2005,40672.660615037945
07/2005,42176.856874200814
08/2005,42143.41564277401
09/2005,43978.33662517191
10/2005,42861.9457697705
11/2005,45396.43383484861
12/2005,46405.76729927718
01/2006,47402.30301515222
02/2006,48312.59917726468
03/2006,48407.51749764051
04/2006,48306.41751591614
05/2006,45239.71393739681
06/2006,45782.22124818536
07/2006,45902.97796085964
08/2006,46800.21389603612
09/2006,48064.69845438982
10/2006,49727.032898055855
11/2006,49195.36945260291
12/2006,50411.60157408808
01/2007,51764.3364756763
02/2007,50500.866448937944
03/2007,51112.09825803599
04/2007,52273.798692444005
05/2007,54476.08000072845
06/2007,54116.69470370091
07/2007,52507.81268151227
08/2007,52383.2632127519
09/2007,53356.97299279944
10/2007,54411.39208924472
11/2007,50911.64423260591
12/2007,50489.42828193178
01/2008,45892.344000975136
02/2008,45133.97640684668
03/2008,42669.09762454545
04/2008,45862.294093492485
