Data,NL0011683594
04/2016,10000
05/2016,10272.119356030431
06/2016,10130.025241371035
07/2016,10528.554837649783
08/2016,10594.598011452428
09/2016,10518.60149924448
10/2016,10638.260809743853
11/2016,11101.23274591834
12/2016,11688.789342300699
01/2017,11614.090753163313
02/2017,11990.44035176793
03/2017,12108.178027100816
04/2017,11911.111334268573
05/2017,11811.818258291305
06/2017,11719.140967143381
07/2017,11576.06137016819
08/2017,11402.908846333874
09/2017,11908.169180323022
10/2017,12026.180286010951
11/2017,11980.470528368061
12/2017,12092.47163159573
01/2018,12127.477122564898
02/2018,11694.868738252924
03/2018,11401.439244297491
04/2018,11763.164021067238
05/2018,11750.61637398439
06/2018,11774.271241060242
07/2018,12228.97273105909
08/2018,12081.723533686198
09/2018,12322.332367481089
10/2018,12012.009339349814
11/2018,11991.965982284279
12/2018,11187.023523712305
01/2019,11935.038840001384
02/2019,12360.283499989628
03/2019,12668.987250907245
04/2019,13010.039098617344
05/2019,12170.579188908805
06/2019,12626.417532804888
07/2019,12697.879936082849
08/2019,12358.013122430035
09/2019,13141.456177764976
10/2019,13191.714577578663
11/2019,13507.971947006063
12/2019,13733.311038731526
01/2020,13404.68413081684
02/2020,12216.775860577905
03/2020,10175.981408373354
04/2020,10827.912709397158
05/2020,10977.819272009912
06/2020,11175.657166507852
07/2020,10660.636863075399
08/2020,11175.104577067052
09/2020,10955.735035091033
10/2020,10659.986389575002
11/2020,12140.400480563208
12/2020,12318.943125007741
01/2021,12312.71692002363
02/2021,13036.093491474225
03/2021,14091.3800146347
04/2021,13926.340934116175
05/2021,14125.164886821263
06/2021,14220.012182086439
07/2021,14329.346261480207
08/2021,14512.911863132133
09/2021,14316.707654912252
10/2021,14563.837448060745
11/2021,14527.508882746015
12/2021,15616.871600203302
01/2022,16738.33799792474
02/2022,16584.821663384068
03/2022,17281.28094278711
04/2022,17564.209038684607
05/2022,18165.177303794535
06/2022,16890.377551270893
07/2022,17494.26885801117
08/2022,17283.28683787144
09/2022,16318.789708859062
10/2022,17566.538608181232
11/2022,18347.32461248672
12/2022,18137.399577239572
01/2023,18943.52051266023
02/2023,19079.272176512215
03/2023,18331.17307889958
