Data,IE00B8FHGS14
02/2021,138887.0762014402
03/2021,150770.6655433122
04/2021,150691.2242231986
05/2021,151867.36764371442
06/2021,157506.67229857514
07/2021,161641.7144128715
08/2021,165353.51993802033
09/2021,161383.45891612157
10/2021,165418.68626147535
11/2021,166137.99040261455
12/2021,176409.79462803464
01/2022,169193.1609380785
02/2022,165587.1390051084
03/2022,174801.2618809741
04/2022,175199.0915754855
05/2022,171171.4667061203
06/2022,168873.59091856162
07/2022,178175.8498301053
08/2022,176352.77164514776
09/2022,168508.75989369798
10/2022,175291.04923960895
11/2022,177709.18954567844
12/2022,169423.91049268935
01/2023,169913.23081831506
02/2023,167156.1288706779
03/2023,169855.6672433944
04/2023,172767.92214180043
05/2023,170605.17711109246
06/2023,172913.9448920917
07/2023,172707.63061527204
08/2023,172577.14705472527
09/2023,172264.94568852882
10/2023,169453.44277031926
11/2023,173613.15650398907
12/2023,176314.9712682418
01/2024,183730.03196052284
02/2024,185627.58854429124
03/2024,190535.6208068396
04/2024,185436.02366567394
