Data,IE0008470928
12/1986,10000
01/1987,9888.290595944065
02/1987,10166.456930777937
03/1987,10482.217865647595
04/1987,10814.18189072638
05/1987,11221.130080844114
06/1987,11689.547098532143
07/1987,12230.344022783818
08/1987,11893.008115943237
09/1987,12069.667796733554
10/1987,9296.354275378568
11/1987,8276.076224405375
12/1987,8424.423063988861
01/1988,8548.317696283013
02/1988,8897.786533005352
03/1988,8852.611924633024
04/1988,9092.603170887925
05/1988,9067.653582088697
06/1988,9535.889282605238
07/1988,9801.837410713812
08/1988,9444.268953227187
09/1988,9967.158345714592
10/1988,10224.890483986914
11/1988,10112.793842523539
12/1988,10355.061093439928
01/1989,11240.735047091724
02/1989,10743.078712314877
03/1989,11246.814951687418
04/1989,11404.50227257456
05/1989,11462.465500940769
06/1989,11741.37892477997
07/1989,12695.815148665482
08/1989,13157.345356081145
09/1989,12798.515525269346
10/1989,11887.77151876337
11/1989,12528.755607058605
12/1989,13346.060349159821
01/1990,13140.17206809774
02/1990,12958.595400706126
03/1990,13204.047417683116
04/1990,12573.748497788303
05/1990,13680.755517615033
06/1990,13895.975710890702
07/1990,13904.941380484577
08/1990,12561.655757245579
09/1990,11276.296542638634
10/1990,11763.928566005163
11/1990,11910.607604761432
12/1990,11710.70340078654
01/1991,11986.540348219562
02/1991,13141.742211945484
03/1991,13723.381648250592
04/1991,13981.08726790843
05/1991,14539.795232328801
06/1991,14020.653243159302
07/1991,14545.291574654393
08/1991,14815.426125256183
09/1991,14766.877226434579
10/1991,14687.246645601004
11/1991,14147.50157980564
12/1991,14389.506344330377
01/1992,14931.822855937617
02/1992,15161.806932755944
03/1992,14811.082263476756
04/1992,15674.848006033562
05/1992,16126.33394995223
06/1992,15236.787127821426
07/1992,14657.472957005635
08/1992,14216.934484187044
09/1992,14676.196317133328
10/1992,14709.80462969348
11/1992,15336.811725928936
12/1992,15816.723783388832
01/1993,15552.133598193686
02/1993,16311.95837651212
03/1993,17000.265479574926
04/1993,16700.879938614133
05/1993,17048.93007716992
06/1993,17753.750832430804
07/1993,18737.02349042369
08/1993,19767.96449282129
09/1993,19460.605359313628
10/1993,20708.43142105433
11/1993,20533.235070582366
12/1993,22069.21866065609
01/1994,22594.258562810617
02/1994,21261.569549686166
03/1994,20272.742282845444
04/1994,20992.00834728411
05/1994,20130.87510462533
06/1994,19404.672870850958
07/1994,20412.706084241865
08/1994,21217.082602432467
09/1994,20059.612883490667
10/1994,20619.604589863655
11/1994,20595.921884187697
12/1994,20685.497048303445
01/1995,20198.985267546857
02/1995,20258.296459888985
03/1995,20480.245769393394
04/1995,21098.317868431448
05/1995,21842.4852831851
06/1995,21817.201838229434
07/1995,22661.804606176644
08/1995,23081.695487764748
09/1995,23484.008189586253
10/1995,23517.92361649561
11/1995,24411.03946637517
12/1995,25259.20951644808
01/1996,26125.48227365538
02/1996,26158.864743694856
03/1996,26273.63911900021
04/1996,26987.992717346257
05/1996,27104.014287421585
06/1996,27123.884683479253
07/1996,26345.704867176908
08/1996,27050.273482688626
09/1996,28349.81559243794
10/1996,28710.00022696272
11/1996,30648.36217999102
12/1996,31208.840166952494
01/1997,33193.1874571652
02/1997,34649.72872747702
03/1997,35846.3386693312
04/1997,36978.66932553176
05/1997,38471.29545048522
06/1997,41529.75066907839
07/1997,45662.66368211678
08/1997,41957.966018053674
09/1997,45332.264273805755
10/1997,41763.99110988409
11/1997,43256.72842683467
12/1997,45303.11687094111
01/1998,48163.0253775736
02/1998,51701.77191050341
03/1998,55713.40389235153
04/1998,55861.085862696666
05/1998,57605.842506793066
06/1998,59612.80096727745
07/1998,60828.49541059453
08/1998,52734.08702503436
09/1998,47403.995439217935
10/1998,51001.98259186604
11/1998,56078.8445755313
12/1998,58139.30555607997
01/1999,60334.41242815693
02/1999,60553.153343698636
03/1999,62572.35378663667
04/1999,66065.85305237831
05/1999,63597.091714626185
06/1999,66143.99341147649
07/1999,63988.64036637416
08/1999,65477.51177150145
09/1999,64248.41359321341
10/1999,69237.34167145823
11/1999,75802.40263472716
12/1999,83964.16151035088
01/2000,80051.87063799745
02/2000,86478.26660916668
03/2000,89711.81162405631
04/2000,90418.28641734627
05/2000,87928.53655799662
06/2000,86094.17816911777
07/2000,86896.22414745648
08/2000,89619.44724138446
09/2000,85366.03380670334
10/2000,88479.03195848633
11/2000,82504.01023693407
12/2000,81466.18493419382
01/2001,81502.96665141048
02/2001,73480.54420040263
03/2001,71837.87392252468
04/2001,76843.92779495525
05/2001,76507.17758999107
06/2001,73171.07908480379
