Data,DE000A0F5UJ7
07/1999,44636.59566743886
08/1999,46499.807808386526
09/1999,45988.930762489144
10/1999,47891.79626003942
11/1999,48872.309519672366
12/1999,51308.775665746376
01/2000,45162.174758173605
02/2000,46948.19349288518
03/2000,48592.75926497199
04/2000,49532.70824811984
05/2000,51016.37740226871
06/2000,51266.34865001156
07/2000,53093.29233516092
08/2000,56712.971693882566
09/2000,57104.38347834529
10/2000,59053.334113152545
11/2000,55243.634994906606
12/2000,57121.41943513693
01/2001,60074.079865297725
02/2001,55711.24826191908
03/2001,54781.79253149517
04/2001,57883.686516295085
05/2001,57970.92458170933
06/2001,56902.32189079598
07/2001,53540.41328631457
08/2001,53502.36058253363
09/2001,46399.80773710934
10/2001,48184.97568241068
11/2001,51052.22734462812
12/2001,52415.28535302006
01/2002,52720.3956497819
02/2002,51276.42274807781
03/2002,54755.1301381213
04/2002,56238.04100934614
05/2002,55101.566422480064
06/2002,49558.37232835769
07/2002,45134.688259486386
08/2002,45534.06504622625
09/2002,36765.58349080543
10/2002,41770.94478333835
11/2002,44563.64908901225
12/2002,39772.438620980945
01/2003,36287.98701836967
02/2003,36482.94013240974
03/2003,35503.84117965521
04/2003,40641.27564368192
05/2003,41188.184260836766
06/2003,43345.844282567916
07/2003,45767.59179556716
08/2003,44950.15414841773
09/2003,43789.20539861247
10/2003,48029.05123294408
11/2003,48408.60325591508
12/2003,49514.12013783691
01/2004,50618.792121985105
02/2004,51485.13047618952
03/2004,50167.338737274775
04/2004,50630.86811170951
05/2004,50317.23024056123
06/2004,50748.78402625975
07/2004,49629.61226352558
08/2004,50441.4086840475
09/2004,51629.714605858746
10/2004,52709.40069372898
11/2004,54143.78026078398
12/2004,55868.48504540343
01/2005,56956.480771920935
02/2005,58184.676568231414
03/2005,57687.70183657041
04/2005,56183.32279836813
05/2005,58329.58222980236
06/2005,60365.81834463286
07/2005,62230.3758292452
08/2005,61686.17966925302
09/2005,64516.219882408295
10/2005,63718.64549017854
11/2005,67053.36782288324
12/2005,69597.15361530475
01/2006,72660.40321415142
02/2006,76932.40840420635
03/2006,77063.47076756902
04/2006,77247.9052498359
05/2006,73579.07415158844
06/2006,73748.54005073143
07/2006,75170.98470511391
08/2006,78302.51086029103
09/2006,80578.4135803698
10/2006,83280.55702764384
11/2006,81562.50609157521
12/2006,84799.54716693409
01/2007,87485.92917252755
02/2007,84148.30514511897
03/2007,85406.60172592777
04/2007,89585.66741578365
05/2007,90441.18690372679
06/2007,87132.55143445592
07/2007,84673.50531638684
08/2007,81172.04670828363
09/2007,79105.28700474065
10/2007,80939.40106027458
11/2007,75216.95472709212
12/2007,72543.90460864495
01/2008,62723.36482329119
02/2008,60229.45577672705
03/2008,59556.13618409798
04/2008,63833.17176712731
05/2008,59883.219221015665
06/2008,50380.836032969455
07/2008,51922.56625282922
08/2008,52427.80863756197
09/2008,46708.146939396494
10/2008,35532.43975946794
11/2008,30144.633444872987
12/2008,26932.94516271344
01/2009,24326.554322681313
02/2009,20124.06007873464
03/2009,22310.992102977314
04/2009,30287.99175982612
05/2009,33212.67534245962
06/2009,32376.636973502405
07/2009,37361.761715624125
08/2009,42232.03149979685
09/2009,42926.03359165174
10/2009,40482.93169660399
11/2009,39770.68083485886
12/2009,40404.27481314752
