Data,DE0006289465
08/2008,10000
09/2008,10158.714382755936
10/2008,10374.957878319645
11/2008,10649.297096085564
12/2008,10817.728211900336
01/2009,10784.988535019538
02/2009,10916.599550306933
03/2009,10965.80239511934
04/2009,10909.432177264163
05/2009,10809.09948604188
06/2009,10904.395418870554
07/2009,10922.442378960795
08/2009,10996.497589543085
09/2009,11067.831886113678
10/2009,11075.294656652472
11/2009,11168.719077912472
12/2009,11111.742417903535
01/2010,11226.393447310651
02/2010,11317.917935094467
03/2010,11341.201844916643
04/2010,11441.539802410594
05/2010,11664.29569476416
06/2010,11709.191159074417
07/2010,11632.723961180938
08/2010,11908.103783438331
09/2010,11805.794849836991
10/2010,11706.131641721282
11/2010,11707.68434524888
12/2010,11635.441662760093
01/2011,11477.541344447094
02/2011,11495.391945831487
03/2011,11397.328116710429
04/2011,11460.865751848783
05/2011,11623.019846833415
06/2011,11656.740227462937
07/2011,11921.609978706487
08/2011,12183.504853604074
09/2011,12325.830964213124
10/2011,12289.98874807622
11/2011,12289.76306635962
12/2011,12497.78322021693
01/2012,12543.651170932108
02/2012,12540.91936743957
03/2012,12552.98121941281
04/2012,12683.707962607603
05/2012,12879.726544930183
06/2012,12711.170541091615
07/2012,12892.799187003986
08/2012,12867.892522389877
09/2012,12834.807841388609
10/2012,12833.025987636725
11/2012,12891.659007469565
12/2012,12946.361937712962
01/2013,12740.105610017523
02/2013,12925.578412873434
03/2013,13008.552611148352
04/2013,13029.713209235702
05/2013,12900.258434102689
06/2013,12792.226029392279
07/2013,12835.770714354256
08/2013,12762.501136640134
09/2013,12849.690984556084
10/2013,12912.698825028407
11/2013,12918.35051699109
12/2013,12766.278939463513
01/2014,12994.625247507245
02/2014,13000.467221254768
03/2014,13033.941123592698
04/2014,13075.90743260289
05/2014,13184.437247326328
06/2014,13245.129461005527
07/2014,13276.772226013136
08/2014,13402.394279277787
09/2014,13419.884867805622
10/2014,13451.406644991119
11/2014,13507.746859301102
12/2014,13587.79890094179
01/2015,13690.491908162645
02/2015,13711.227600549271
03/2015,13747.698994565937
04/2015,13642.2882224943
05/2015,13620.874954360686
06/2015,13513.865073412435
07/2015,13600.954936807439
08/2015,13540.859665180862
09/2015,13637.422762677446
10/2015,13678.607336777575
11/2015,13741.41618361008
12/2015,13640.79133897244
01/2016,13836.426071831293
02/2016,13957.037523431907
03/2016,13903.039024928805
04/2016,13846.585323665433
05/2016,13921.412927166364
06/2016,14076.83960128155
07/2016,14090.930131602983
08/2016,14052.352850663241
09/2016,14085.553334775375
10/2016,13935.883011058044
11/2016,13918.619676423903
12/2016,13972.419866592516
01/2017,13853.731221788257
02/2017,14020.755104950455
03/2017,13902.28725096521
04/2017,13897.288785289174
05/2017,13920.4790270442
06/2017,13772.549991362275
07/2017,13799.110762704013
08/2017,13902.590825234785
09/2017,13848.57760048378
10/2017,13904.111542403842
11/2017,13871.321553067744
12/2017,13792.054651550872
01/2018,13689.660050151322
02/2018,13698.655599323756
03/2018,13791.68590681283
04/2018,13756.106439488492
05/2018,13893.15301337667
06/2018,13907.526722211272
07/2018,13847.004670647519
08/2018,13905.59350430216
09/2018,13809.433490521182
10/2018,13872.007919949434
11/2018,13914.668339329704
12/2018,13945.763271862224
01/2019,13986.991154693778
02/2019,13958.24649447578
03/2019,14085.354543832409
04/2019,14045.000314611327
05/2019,14157.947395449117
06/2019,14218.86435373345
07/2019,14282.528506222436
08/2019,14420.826076336936
09/2019,14305.539781304267
10/2019,14193.360569347107
11/2019,14150.4888201078
12/2019,14059.080390912783
01/2020,14193.269494125627
02/2020,14279.37585477643
03/2020,14178.832370359538
04/2020,14240.97333963675
05/2020,14145.604893759313
06/2020,14179.46122521989
07/2020,14203.13535429788
08/2020,14112.964823516975
09/2020,14169.57576820768
10/2020,14233.484623118555
11/2020,14180.408007096796
12/2020,14156.952503083729
01/2021,14149.049577024598
02/2021,14010.791922690725
03/2021,14041.170999957358
04/2021,13990.08893725226
05/2021,13976.568159357683
06/2021,13989.635495021166
07/2021,14113.517929419035
08/2021,14057.228698345252
09/2021,13956.061267904646
10/2021,13858.967787519265
11/2021,14007.893437800878
12/2021,13899.792554880274
01/2022,13781.544030829522
02/2022,13700.530854826638
03/2022,13366.644665994525
04/2022,13142.150927958155
05/2022,13041.997298804295
06/2022,12910.910353812667
07/2022,13286.220811092848
08/2022,12789.826141368361
09/2022,12446.970108442742
10/2022,12414.193764061009
11/2022,12473.38926463879
12/2022,12167.679461382055
01/2023,12309.294695544635
02/2023,12079.114134220721
03/2023,12323.710566102867
04/2023,12343.482053272926
05/2023,12392.490730102452
06/2023,12258.070975053666
