Data,IE00BTJRMP35
03/1997,70848.35200426713
04/1997,71349.01261607527
05/1997,73155.63298140299
06/1997,77925.61830228884
07/1997,81277.70628452246
08/1997,72946.2914611618
09/1997,72990.36791484273
10/1997,59895.162309315856
11/1997,56513.09407390206
12/1997,59427.98513695566
01/1998,56017.82551327762
02/1998,61720.01888650921
03/1998,64626.50855220986
04/1998,63479.91736652125
05/1998,53936.7128283326
06/1998,48621.48011052011
07/1998,50274.472019278095
08/1998,35584.844526841596
09/1998,36071.40342055807
10/1998,38391.526561448554
11/1998,42782.0117833495
12/1998,41886.601998076796
01/1999,42551.177592803164
02/1999,44385.922694651395
03/1999,51519.62989350663
04/1999,58678.12331316452
05/1999,59114.6388392204
06/1999,66630.58324472955
07/1999,62592.06577095319
08/1999,63874.984945660246
09/1999,61171.37951976051
10/1999,63731.75542509597
11/1999,71885.20820498248
12/1999,81428.15041899188
01/2000,84034.62566685161
02/2000,85806.78357427723
03/2000,87665.8625695318
04/2000,83430.51766579776
05/2000,78094.59796969197
06/2000,78693.33352443577
07/2000,77162.14630453337
08/2000,80464.10480686504
09/2000,74607.61854613415
10/2000,72048.14973153679
11/2000,63716.37299461636
12/2000,60890.14855682374
01/2001,69355.04403671487
02/2001,64225.11344676826
03/2001,60635.29445474122
04/2001,63306.86395352708
05/2001,67044.61143528121
06/2001,65658.34075763512
07/2001,59567.458661064484
08/2001,56375.53602659742
09/2001,47782.19911589966
10/2001,51239.847727348606
11/2001,57497.58475619726
12/2001,62651.41711198711
01/2002,66085.08323677408
02/2002,67052.15045205259
03/2002,70480.55024451061
04/2002,68690.9265005111
05/2002,64856.96105017359
06/2002,56445.210959906464
07/2002,53167.23999052567
08/2002,53703.989048497606
09/2002,47770.555165180514
10/2002,50842.48539136032
11/2002,53989.65266672618
12/2002,49400.48837585804
01/2003,47681.877104410814
02/2003,46534.09716414399
03/2003,44738.704558537385
04/2003,47683.92324538698
05/2003,48111.93218363007
06/2003,52604.7225759831
