Data,IE00BZ163G84
03/2009,10000
04/2009,10292.892199839418
05/2009,10532.539172451197
06/2009,10766.763370317294
07/2009,11137.641409327918
08/2009,11265.405432361531
09/2009,11436.237908627476
10/2009,11533.666761537528
11/2009,11634.446597458726
12/2009,11628.862366069701
01/2010,11817.115674808987
02/2010,11884.201892920715
03/2010,12005.786457188342
04/2010,12074.194209397912
05/2010,12008.02272209195
06/2010,12035.379455964741
07/2010,12180.462095671744
08/2010,12410.282419020044
09/2010,12375.046811069555
10/2010,12368.065348998465
11/2010,12199.674516229868
12/2010,12169.842438054377
01/2011,12115.80681491912
02/2011,12212.39480631015
03/2011,12171.138456753866
04/2011,12290.565529680756
05/2011,12401.235575934003
06/2011,12345.858050771749
07/2011,12491.45854913477
08/2011,12328.869304651755
09/2011,12178.654498507673
10/2011,12410.813391302856
11/2011,12029.905611584174
12/2011,12339.546044994655
01/2012,12701.247635955226
02/2012,12931.131692134351
03/2012,13040.515938636168
04/2012,13055.219614637117
05/2012,13070.650806429121
06/2012,13039.665425478162
07/2012,13356.51320450995
08/2012,13494.617786266277
09/2012,13597.42488820097
10/2012,13751.174397947529
11/2012,13867.669553279202
12/2012,14004.336039651847
01/2013,13833.555931935036
02/2013,14007.851639759321
03/2013,14079.162505709823
04/2013,14272.363450753212
05/2013,14245.089328484068
06/2013,14009.845284619274
07/2013,14127.36023264472
08/2013,14097.035881718466
09/2013,14190.514631759967
10/2013,14352.601700958967
11/2013,14386.432086960534
12/2013,14323.40398149514
01/2014,14517.177119999818
02/2014,14597.801569845935
03/2014,14658.11705701288
04/2014,14791.920098256416
05/2014,14922.811809590443
06/2014,15005.616134235335
07/2014,15079.01047595169
08/2014,15252.34989121958
09/2014,15278.111906475138
10/2014,15343.538023156487
11/2014,15428.953009993353
12/2014,15512.022167797748
01/2015,15653.41394538719
02/2015,15743.32553019702
03/2015,15719.420534108802
04/2015,15640.16339909641
05/2015,15568.053324932618
06/2015,15259.996091024783
07/2015,15449.409564410584
08/2015,15324.852555534299
09/2015,15216.526649020749
10/2015,15434.276441143076
11/2015,15538.814942321096
12/2015,15410.801321910503
01/2016,15501.08171087733
02/2016,15570.921803248217
03/2016,15787.001882191118
04/2016,15827.88818531531
05/2016,15880.668705758904
06/2016,16031.788247874982
07/2016,16299.513169427057
08/2016,16336.931038760555
09/2016,16323.732043534845
10/2016,16203.111336088694
11/2016,16024.426967697747
12/2016,16124.86710207692
01/2017,16032.672860194916
02/2017,16224.555938637439
03/2017,16164.440387314593
04/2017,16250.319057640445
05/2017,16309.982638377744
06/2017,16218.196139211359
07/2017,16343.439844653087
08/2017,16432.01488637337
09/2017,16397.44378002741
10/2017,16577.365457311676
11/2017,16547.60974779397
12/2017,16499.01614117222
01/2018,16453.58467322546
02/2018,16448.622603480013
03/2018,16430.342151019464
04/2018,16436.018254500774
05/2018,16394.325053134122
06/2018,16385.557367431953
07/2018,16429.915071948733
08/2018,16430.689215052844
09/2018,16382.360601061406
10/2018,16351.451848306773
11/2018,16245.110491495296
12/2018,16277.773260304728
01/2019,16453.404272676347
02/2019,16565.270825297976
03/2019,16794.14343433881
04/2019,16913.53269928823
05/2019,16886.22801395806
06/2019,17152.48359592522
07/2019,17396.24828601351
08/2019,17505.745355638377
09/2019,17370.599406060384
10/2019,17333.109315533038
11/2019,17288.320627518613
12/2019,17278.095239371236
01/2020,17476.52132027567
02/2020,17405.181018917563
03/2020,16211.656803043074
04/2020,16815.4860271547
05/2020,16843.446171790943
06/2020,17064.348534652392
07/2020,17319.83037532266
08/2020,17348.86519652458
09/2020,17400.39856636445
10/2020,17534.05978455288
11/2020,17712.76529024141
12/2020,17741.01851137568
01/2021,17718.77817094995
02/2021,17580.259299678117
03/2021,17615.953140882353
04/2021,17617.554344755954
05/2021,17592.322547295316
06/2021,17663.75216174839
07/2021,17863.921329441077
08/2021,17789.864079738534
09/2021,17673.909361742644
10/2021,17541.42842618223
11/2021,17574.29979207627
12/2021,17553.895943795145
01/2022,17320.659703794285
02/2022,16883.85425415012
03/2022,16679.697191315077
04/2022,16221.252095335487
05/2022,16020.49610223088
06/2022,15460.837186852568
07/2022,16186.415605259344
08/2022,15500.699194983797
09/2022,14984.596396878345
10/2022,14999.055699138657
11/2022,15419.217293003934
12/2022,15144.734916303556
01/2023,15480.075367242851
02/2023,15255.277792286106
03/2023,15406.482975069746
04/2023,15513.116349986507
05/2023,15538.311808790588
06/2023,15468.60329855985
07/2023,15629.887558552002
08/2023,15653.218365228448
09/2023,15517.595727460193
10/2023,15578.884654745332
11/2023,15936.16010246748
12/2023,16370.004195440546
01/2024,16391.127215952427
02/2024,16245.242063252861
03/2024,16442.49650593943
04/2024,16301.961247612438
