Data,IE00BK1PV551
09/1985,38914.864108136324
10/1985,38477.74895240455
11/1985,39831.27030614346
12/1985,40700.83638371762
01/1986,40438.75504361951
02/1986,42336.732890158884
03/1986,45181.03481029241
04/1986,46654.45999583157
05/1986,45696.44473851123
06/1986,47708.5650475779
07/1986,46669.36442775478
08/1986,49212.1953808187
09/1986,46873.75930009904
10/1986,45544.300232838614
11/1986,47944.99564459003
12/1986,48192.42875294731
01/1987,50609.84202717012
02/1987,51342.85889132378
03/1987,54419.86182786516
04/1987,56846.578713021896
05/1987,56222.533445811794
06/1987,57183.05233349076
07/1987,59154.199229930375
08/1987,63122.13453205303
09/1987,60390.61613016852
10/1987,49756.87883055672
11/1987,45597.514327046214
12/1987,46112.31404053742
01/1988,47718.38200007629
02/1988,51930.774299885896
03/1988,52756.658040362905
04/1988,53085.39489033313
05/1988,52518.536313167395
06/1988,54375.566951429326
07/1988,58169.74615122209
08/1988,56185.30526939144
09/1988,58122.3066255764
10/1988,60436.22700765534
11/1988,60041.49389147924
12/1988,60625.65386278009
01/1989,65285.8931603372
02/1989,65655.51770525886
03/1989,65644.72831491288
04/1989,67506.35964456799
05/1989,68652.55530901148
06/1989,69073.9690402029
07/1989,73499.7163291687
08/1989,72802.33239381932
09/1989,75976.9574080328
10/1989,70649.49413925322
11/1989,72389.84951204651
12/1989,71614.29079313607
01/1990,66242.29418310524
02/1990,62535.805046518544
03/1990,59761.68916913417
04/1990,58119.65726413691
05/1990,63165.153721176335
06/1990,63111.48751521664
07/1990,61736.5053627755
08/1990,53468.65463914997
09/1990,47883.76405064076
10/1990,50794.41453509598
11/1990,48946.78347795304
12/1990,50537.160365531076
01/1991,52489.784574652156
02/1991,56369.29690964762
03/1991,59519.25239773108
04/1991,63153.439094786634
05/1991,65418.90995460549
06/1991,63639.01805368841
07/1991,66700.7644938699
08/1991,64995.265884073706
09/1991,64829.59486718506
10/1991,65763.93763398577
11/1991,60516.0696117083
12/1991,62831.41260161346
01/1992,62074.12542992527
02/1992,62321.15770370955
03/1992,60943.46053489044
04/1992,61206.37209749239
05/1992,62395.72928744067
06/1992,58551.0626545944
07/1992,55880.64538603092
08/1992,55769.4280997022
09/1992,56507.58298851382
10/1992,57236.04857840866
11/1992,62048.549410045816
12/1992,62480.237568518096
01/1993,63884.54783509243
02/1993,66997.61320053162
03/1993,71200.47205905776
04/1993,71935.24033409974
05/1993,73744.03535056832
06/1993,75228.19649659995
07/1993,80002.10992684799
08/1993,84276.04026700425
09/1993,79397.54882930579
10/1993,82511.32718907385
11/1993,79901.51538030965
12/1993,83741.9673081244
01/1994,90442.55269460139
02/1994,88894.52863149391
03/1994,83269.91472248452
04/1994,86060.16410472922
05/1994,84394.47095598998
06/1994,82761.1567941246
07/1994,81703.90991304482
08/1994,84229.55862880283
09/1994,81105.80651537744
10/1994,81787.63029964632
11/1994,79372.52314306528
12/1994,81748.61707105205
01/1995,78843.69401620445
02/1995,79086.09916239003
03/1995,79645.82941791158
04/1995,80813.92385950634
05/1995,82733.16611693571
06/1995,81986.11989921254
07/1995,85056.6403470341
08/1995,85647.29119682996
09/1995,89240.37451510495
10/1995,86435.90250448885
11/1995,89597.80309745097
12/1995,93644.40536367218
01/1996,96461.5144007753
02/1996,97571.42857555376
03/1996,99096.1261832936
04/1996,102254.90520930749
05/1996,103547.85855994276
06/1996,103227.3893744635
07/1996,98029.39640853128
08/1996,98221.52228119643
09/1996,102915.79199369691
10/1996,103919.88115354694
11/1996,108298.19993793043
12/1996,108884.42364332135
01/1997,113155.69104092092
02/1997,119403.8398832429
03/1997,118359.11363767915
04/1997,122851.51878902095
05/1997,129993.17869549332
06/1997,137966.79152781892
07/1997,148291.57497249823
08/1997,142270.906613638
09/1997,146020.09921877424
10/1997,135777.71274288275
11/1997,135292.55751760647
12/1997,140591.53837639012
01/1998,147787.3018136648
02/1998,157389.35904312483
03/1998,164590.75490457634
04/1998,165023.025428338
05/1998,160422.570174861
06/1998,165372.53770568877
07/1998,165447.04393362204
08/1998,142748.6066594614
09/1998,138449.93565177816
10/1998,145344.09795271934
11/1998,158396.9213390942
12/1998,165026.4989843631
01/1999,174099.89383603612
02/1999,175044.9657025883
03/1999,186963.99822790074
04/1999,196937.27296040734
05/1999,192241.57007428358
06/1999,203643.9356751318
07/1999,196025.4900155021
08/1999,197858.41995988225
09/1999,194191.64879224938
10/1999,208370.96480550483
11/1999,221725.411112764
12/1999,240826.13616382037
01/2000,232881.32520682775
02/2000,235295.33144454498
03/2000,255731.2845841639
04/2000,257463.65021519765
05/2000,244994.25499089237
06/2000,246470.6064561224
07/2000,247574.06933853726
08/2000,265229.10561210464
09/2000,255092.32413482128
10/2000,261115.36647971865
11/2000,237648.28814467028
12/2000,225308.59449684244
