Data,LU1686830909
12/2010,10000
01/2011,9638.414036996735
02/2011,9538.097293156821
03/2011,9383.451238498077
04/2011,9090.251006476605
05/2011,9520.071092463333
06/2011,9607.349278471977
07/2011,9926.822162526103
08/2011,9882.248884418337
09/2011,10171.630452712334
10/2011,10209.801209352841
11/2011,10549.158380945108
12/2011,11106.73742301122
01/2012,11065.988986781927
02/2012,11133.72376707905
03/2012,11147.205820092104
04/2012,11514.3664036219
05/2012,11879.990890240213
06/2012,12193.96512559441
07/2012,13104.95621896334
08/2012,12853.931324116214
09/2012,12704.54277726449
10/2012,12743.313688763184
11/2012,12982.277876295198
12/2012,12858.663233902877
01/2013,12249.698712280682
02/2013,12607.557668774423
03/2013,12739.549499678533
04/2013,12949.838874786292
05/2013,12377.926942731616
06/2013,11532.171931619485
07/2013,11422.634524014953
08/2013,11052.656498548069
09/2013,11203.721052752631
10/2013,11410.020274587778
11/2013,11091.57146405181
12/2013,10984.975205913248
01/2014,11079.286050690216
02/2014,11275.973027073436
03/2014,11441.5727969167
04/2014,11609.783718199273
05/2014,12192.689869580556
06/2014,12203.105356421438
07/2014,12436.955809150299
08/2014,12719.13488782838
09/2014,12888.162557633186
10/2014,13261.5514036706
11/2014,13306.645653878102
12/2014,13349.027817705271
01/2015,14449.149263764944
02/2015,14527.504623160585
03/2015,15239.90381452325
04/2015,14741.841207588343
05/2015,14952.992671707078
06/2015,14282.081664957732
07/2015,14609.997159505272
08/2015,14130.033796809723
09/2015,13965.536407439962
10/2015,14769.347972951971
11/2015,15307.305652395971
12/2015,14637.302739359337
01/2016,14692.605358243916
02/2016,14997.065628295444
03/2016,14760.263810372482
04/2016,14965.464350826322
05/2016,15208.046040517485
06/2016,16012.627361619567
07/2016,16163.839778769956
08/2016,16427.345616454495
09/2016,16412.539540049434
10/2016,16305.481981980407
11/2016,15850.92623552759
12/2016,16114.241578929124
01/2017,16059.442669475502
02/2017,16647.15475737152
03/2017,16558.862473758836
04/2017,16550.717550737245
05/2017,16230.247608484664
06/2017,15841.884257612423
07/2017,15488.401792822171
08/2017,15564.552434780695
09/2017,15533.993683488101
10/2017,15718.06977567667
11/2017,15355.639260296764
12/2017,15277.187266006495
01/2018,14584.702364819486
02/2018,14541.105397505802
03/2018,14418.979150603596
04/2018,14452.643067887106
05/2018,14757.750392503596
06/2018,14625.015449805598
07/2018,14859.434656612046
08/2018,14589.779132952599
09/2018,15038.115734201607
10/2018,15124.731094346773
11/2018,15065.143998723977
12/2018,15227.425063032071
01/2019,15789.367646575458
02/2019,15999.184868328348
03/2019,16393.40588522821
04/2019,16413.19495429718
05/2019,16552.380399804355
06/2019,16970.043488063464
07/2019,17614.261652792215
08/2019,17707.965520941154
09/2019,17863.91755860537
10/2019,17389.03464179973
11/2019,17563.53239888231
12/2019,17584.306067142123
01/2020,18214.163198920596
02/2020,17991.18267012596
03/2020,15732.824047091613
04/2020,16197.26353577923
05/2020,16488.190926181833
06/2020,16895.34794309919
07/2020,16571.171511839217
08/2020,16397.840719159438
09/2020,16500.77849793943
10/2020,16550.819189497128
11/2020,16919.14425793718
12/2020,16753.817492284128
01/2021,16695.503553931572
02/2021,16104.017497687393
03/2021,16392.911762422893
04/2021,16235.793677361416
05/2021,16317.456976446623
06/2021,16975.252483095865
07/2021,17067.234281969653
08/2021,17304.130617063776
09/2021,17218.119180247948
10/2021,17140.052817979365
11/2021,17330.660845421837
12/2021,17671.25625233905
01/2022,17345.686455140953
02/2022,16507.093834728857
03/2022,16670.037583824407
04/2022,16368.63705715474
05/2022,16229.114773632524
06/2022,15630.892593134331
07/2022,16699.358197377805
08/2022,16708.322113294536
09/2022,15981.693997993258
10/2022,15692.733282992976
11/2022,16123.370019079128
12/2022,15711.135979249902
01/2023,15868.61049421506
02/2023,15768.875437649898
03/2023,15699.355262217043
04/2023,15587.909573864883
