Data,DE000A0F5UK5
10/1995,24707.418129003334
11/1995,24537.499434920705
12/1995,24325.737717006738
01/1996,25308.321589327123
02/1996,26011.572724897145
03/1996,26196.242988175756
04/1996,27530.212190464314
05/1996,27043.890914819927
06/1996,26637.20538773913
07/1996,25593.97678458087
08/1996,26293.988786518938
09/1996,27223.513954699592
10/1996,26800.940166100772
11/1996,27701.19688180075
12/1996,27766.676179669284
01/1997,28369.058926038135
02/1997,30463.461420981876
03/1997,31907.960765922377
04/1997,31637.97456155118
05/1997,32867.95328450852
06/1997,34771.42292797042
07/1997,36673.468874309685
08/1997,35165.752735913346
09/1997,37253.56269925399
10/1997,30997.1548814044
11/1997,30523.160795158477
12/1997,30019.821991150628
01/1998,30813.03982519527
02/1998,32874.62619642997
03/1998,35553.35794716894
04/1998,37236.41869322639
05/1998,37259.209172420364
06/1998,34688.45951632409
07/1998,32281.220072519587
08/1998,26866.924007368638
09/1998,24353.762057268556
10/1998,25637.49418665214
11/1998,26707.2955983007
12/1998,26101.262610615926
01/1999,26884.846642066484
02/1999,28347.379517202036
03/1999,31066.993576383204
04/1999,37001.28794187346
05/1999,34202.378300354736
06/1999,38179.495686027345
07/1999,40689.402131476054
08/1999,42366.07918818506
09/1999,40941.12362344105
10/1999,41498.39904137074
11/1999,45770.16503268056
12/1999,53365.28038768267
01/2000,47476.82054846995
02/2000,40569.48146462547
03/2000,43098.71068291468
04/2000,40967.44730457652
05/2000,38663.04249608559
06/2000,39143.0733654144
07/2000,40189.32183157773
08/2000,42700.60494254546
09/2000,39686.158728837036
10/2000,44767.33582033708
11/2000,41499.325386431745
12/2000,44234.80236697525
01/2001,45436.33846088856
02/2001,47298.68207497971
03/2001,45603.43799093328
04/2001,50512.8951202512
05/2001,54082.167262267285
06/2001,50343.96652031415
07/2001,46597.06830081451
08/2001,47810.51850361149
09/2001,40980.889601481875
10/2001,44489.71189820225
11/2001,50182.8489325614
12/2001,51756.22424590618
01/2002,54334.327843402185
02/2002,56398.965530596455
03/2002,57048.93561329291
04/2002,53499.99365630672
05/2002,55874.06667959049
06/2002,50911.02813933765
07/2002,43674.19547396469
08/2002,43478.62793194587
09/2002,39261.89979745615
10/2002,42050.54447076519
11/2002,46231.20216208748
12/2002,42491.40897497073
01/2003,37569.08454838085
02/2003,39019.619186496646
03/2003,36490.54083980577
04/2003,38605.57831720892
05/2003,37909.85401178997
06/2003,39288.50215701019
07/2003,44904.90452891364
08/2003,48832.73496509092
09/2003,45004.903287775836
10/2003,51334.49674363775
11/2003,50603.58615814263
12/2003,51776.33976532901
01/2004,52709.85630872465
02/2004,56061.268069615864
03/2004,54719.042051264594
04/2004,50997.11477698703
05/2004,51763.61598013861
06/2004,53035.55690367766
07/2004,55691.504573444174
08/2004,55877.61087165311
09/2004,59198.68061421107
10/2004,56200.362261872724
11/2004,60852.70885820549
12/2004,59159.28778548897
01/2005,61812.59650954713
02/2005,68412.44991510118
03/2005,65305.502355505196
04/2005,60480.26208099671
05/2005,64204.34169641129
06/2005,66621.03069657617
07/2005,71746.01163301546
08/2005,73984.49030334353
09/2005,83729.27820769096
10/2005,79371.9169067406
11/2005,83845.51242489317
12/2005,90115.85503821906
01/2006,101503.62051353807
02/2006,100607.50614138591
03/2006,109147.68604657908
04/2006,114602.76993013859
05/2006,109334.09271205786
06/2006,110175.24458153399
07/2006,112241.27247711891
08/2006,113047.80214670215
09/2006,109566.14690625606
10/2006,123477.43730392896
11/2006,120439.29637155801
12/2006,124931.04012261293
01/2007,125833.72144679076
02/2007,127620.3733122463
03/2007,137275.02653282034
04/2007,138520.68843717914
05/2007,155129.6882298438
06/2007,160879.81814684495
07/2007,159141.61918082638
08/2007,154979.72284262668
09/2007,173374.88194322298
10/2007,176630.75361232588
11/2007,170742.98664298482
12/2007,162394.44231316354
01/2008,147878.0869527556
02/2008,164304.4549832749
03/2008,151508.1208926395
04/2008,170182.1839264884
05/2008,179041.39844466985
06/2008,175653.52707841885
07/2008,154288.42247223898
08/2008,148033.46211412636
09/2008,101336.42359657834
10/2008,77875.28003204265
11/2008,67003.35783109708
12/2008,58724.76204495567
01/2009,57891.98694065413
02/2009,55059.02463176684
03/2009,62533.14505036568
04/2009,75448.67056446703
05/2009,85347.16813403582
06/2009,81980.59998101534
07/2009,93849.62919465077
08/2009,93838.99809898416
09/2009,96771.43024166324
10/2009,97301.34363385256
11/2009,108525.36416270914
12/2009,120418.88152395212
01/2010,112333.45809579344
02/2010,113856.84731488557
03/2010,132954.58942769025
04/2010,125537.37993518729
05/2010,118914.67255624005
06/2010,111677.14401535882
07/2010,120083.9103093479
08/2010,116895.29632591983
09/2010,125934.04501008666
10/2010,131608.77175994747
11/2010,138152.9015621453
12/2010,154121.30154474423
01/2011,146098.3667046085
02/2011,150257.63929238226
03/2011,146084.19723323383
04/2011,145808.79179764687
05/2011,141800.90685855743
06/2011,139822.30147009905
07/2011,134989.26456968006
08/2011,117325.91604501412
09/2011,96773.3478301445
10/2011,110232.02026681128
11/2011,110515.8619124233
12/2011,109246.22452184741
01/2012,124648.62396421061
02/2012,125101.97556431577
03/2012,115018.47691938213
04/2012,118396.06518099392
05/2012,99952.7946591492
06/2012,102901.11117484656
07/2012,106090.29248017691
08/2012,105112.22245864409
09/2012,109007.50937014772
10/2012,110963.98832209807
11/2012,109090.39974379349
12/2012,116467.05618465625
01/2013,113406.18499083824
02/2013,110803.53239733807
03/2013,103348.30139253719
04/2013,96695.04672682098
05/2013,98382.3298538862
06/2013,85943.93599116345
07/2013,93120.80662922368
08/2013,98332.28745369452
09/2013,102090.36921550904
10/2013,104922.9146930272
11/2013,103035.23132198179
12/2013,103569.90838894852
01/2014,103539.86448779436
02/2014,108454.15552137868
03/2014,106024.73156491693
04/2014,107494.51464601023
05/2014,105875.95074181292
06/2014,107581.48846385731
07/2014,115769.2629815031
08/2014,112726.45108278339
09/2014,107668.08689572256
10/2014,103020.67747081499
11/2014,101638.3959727098
12/2014,99743.3203800533
01/2015,101099.01715771573
02/2015,114195.47618013182
03/2015,107377.73061360385
04/2015,111756.51227427775
05/2015,110371.15975497087
06/2015,101553.23357206759
07/2015,94874.34895404064
08/2015,85490.24793431668
09/2015,72922.46650227298
10/2015,82089.01930661197
11/2015,76744.36442441972
12/2015,67479.4771938654
01/2016,59341.58459718596
02/2016,69881.05157524902
03/2016,74313.49329944335
04/2016,84558.7317238084
05/2016,76407.02109695585
06/2016,81039.3417356244
07/2016,89204.40017090035
08/2016,84720.48234376486
09/2016,93608.39022549475
10/2016,98705.46606345993
11/2016,108767.76750619478
12/2016,111324.75992225858
01/2017,120773.47035281979
02/2017,120508.16694334567
03/2017,118343.45206006175
04/2017,115674.75692428592
05/2017,110705.1072634572
06/2017,110426.35019349366
07/2017,119431.33186569606
08/2017,123953.74638768617
09/2017,122515.65661646948
10/2017,128727.24041281179
11/2017,124076.8623563009
12/2017,136305.13473359693
01/2018,140315.40653512787
02/2018,135537.0896355456
03/2018,131084.63162993375
04/2018,138209.59542701175
05/2018,146205.67660235704
06/2018,140541.24704894284
07/2018,138311.42760246474
08/2018,129867.34111854118
09/2018,137061.370564654
10/2018,127264.8239436111
11/2018,117386.99318717528
12/2018,118205.25351101671
01/2019,132769.0796295779
02/2019,137497.72611259902
03/2019,142908.6026094776
04/2019,142503.6340234288
05/2019,128760.61294465844
06/2019,140895.98656375674
07/2019,134687.16899050816
08/2019,124062.92695767223
09/2019,130189.34639700754
10/2019,131725.0343040896
11/2019,138280.46951791475
12/2019,144076.36937188642
01/2020,133147.73041863024
02/2020,117474.23808736143
03/2020,102494.81299798904
04/2020,110463.68461773731
05/2020,118927.82381586649
