Data,IE00BYWZ0333
06/2011,10000
07/2011,9695.252315615513
08/2011,8692.80609036551
09/2011,8365.954174593968
10/2011,8886.361597245157
11/2011,8922.643663741273
12/2011,9030.840398061971
01/2012,9900.220365872794
02/2012,10478.688487311741
03/2012,10510.364763652171
04/2012,10189.10275319129
05/2012,9830.421782378076
06/2012,9690.345419891568
07/2012,9837.45781904317
08/2012,9854.268777707844
09/2012,9783.847989985576
10/2012,9408.498759765878
11/2012,9972.762560364805
12/2012,10246.122444158498
01/2013,10242.229524430966
02/2013,10841.46802690942
03/2013,11212.961782154956
04/2013,11109.895583899792
05/2013,11485.440577636993
06/2013,10949.920233857563
07/2013,11138.626639396656
08/2013,11087.269222947842
09/2013,11628.730321015382
10/2013,11658.85008730843
11/2013,11894.8558799139
12/2013,12182.854620637323
01/2014,12047.795232316064
02/2014,12437.593200172705
03/2014,12278.767693986438
04/2014,11949.07330607713
05/2014,12472.372640582778
06/2014,13092.584121516837
07/2014,12900.702858584367
08/2014,13729.456155318361
09/2014,13770.328877927823
10/2014,13784.614316403184
11/2014,14150.482851126248
12/2014,14760.666462643307
01/2015,15698.31765542081
02/2015,16639.71853138195
03/2015,17233.622293201224
04/2015,16536.317596142413
05/2015,17094.5554197143
06/2015,16086.790009652352
07/2015,15162.088030361478
08/2015,13838.402485373945
09/2015,13315.43197591633
10/2015,14657.501040151166
11/2015,15690.168969234412
12/2015,14848.715267212208
01/2016,13641.545270142802
02/2016,13844.7488504364
03/2016,14272.192864366072
04/2016,14242.449960022435
05/2016,14826.3152569678
06/2016,14698.788668908735
07/2016,15948.521279064822
08/2016,16302.906539343981
09/2016,16658.844922995773
10/2016,16754.26265554273
11/2016,17474.428790622114
12/2016,17987.1408386743
01/2017,18761.42489363764
02/2017,19396.67567788694
03/2017,19885.416806844984
04/2017,19875.59509709701
05/2017,20287.04972173894
06/2017,19694.34038895512
07/2017,20028.077327645988
08/2017,20576.660759563598
09/2017,21412.73489351143
10/2017,23259.54893260355
11/2017,23412.31271235377
12/2017,23126.76636636495
01/2018,24499.99611535586
02/2018,24034.064073626825
03/2018,23527.64162798281
04/2018,23207.813502865945
05/2018,24535.31753019175
06/2018,23551.500197593643
07/2018,23925.601783602688
08/2018,24695.7600803416
09/2018,23795.79791190014
10/2018,21059.82091034414
11/2018,21894.05148270529
12/2018,19833.56221408534
01/2019,22079.249392969847
02/2019,23469.20191341259
03/2019,24220.819105006
04/2019,25932.022254471798
05/2019,22866.957822355427
06/2019,24370.8134165307
07/2019,25016.593120633606
08/2019,24166.50398552718
09/2019,25368.639711334497
10/2019,25946.39548062088
11/2019,27072.5116326382
12/2019,27799.961630323633
01/2020,27596.25456911418
02/2020,25539.476730996303
03/2020,21846.871030382263
04/2020,25449.305796107994
05/2020,27305.281820388544
06/2020,28156.846178332788
07/2020,28170.639118874693
08/2020,29574.29917481914
09/2020,29816.367098874118
10/2020,30329.00897888483
11/2020,34136.22923904546
12/2020,35345.142079972284
01/2021,36047.64385936986
02/2021,36544.68585916592
03/2021,37386.142084081665
04/2021,37575.67234772192
05/2021,37108.00647846944
06/2021,40015.222202387995
07/2021,40875.92785659061
08/2021,42352.973708325524
09/2021,41265.46758912538
10/2021,43610.79095345952
11/2021,45313.561445861764
12/2021,45969.42857537986
01/2022,40114.12882349314
02/2022,38592.16435584232
03/2022,38899.924413691755
04/2022,35869.97310217148
05/2022,34899.660141043285
06/2022,31542.473610964942
07/2022,36166.362693831434
08/2022,34477.85181353866
09/2022,31241.744452911244
10/2022,32959.78532416839
11/2022,34498.87377342906
12/2022,32067.914891617125
01/2023,35347.67825307825
02/2023,36383.500770965235
03/2023,37133.3377928585
04/2023,34935.038460793934
05/2023,38623.27435749661
06/2023,39608.431566746556
07/2023,39726.05759707235
08/2023,38633.377387882036
09/2023,37584.18929138578
10/2023,35169.80592675733
11/2023,39656.05789992174
12/2023,42878.28676704053
01/2024,43356.92552256374
02/2024,45617.652640373344
03/2024,45977.9138486176
04/2024,42582.67432013585
