Data,IE00BYZK4669
06/2011,10000
07/2011,9850.805430365597
08/2011,8948.51135052604
09/2011,8604.481185687127
10/2011,9141.66978533196
11/2011,9031.621375736535
12/2011,9456.959202143535
01/2012,10027.878356106101
02/2012,10258.130071836504
03/2012,10510.751999298984
04/2012,10593.899859889349
05/2012,10378.43989473555
06/2012,10807.557459815836
07/2012,11158.29949058841
08/2012,11297.284495683984
09/2012,11589.537851596771
10/2012,11497.44254600959
11/2012,11679.05896083241
12/2012,11936.8673880483
01/2013,12397.908178825255
02/2013,12924.22344547527
03/2013,13607.529044543238
04/2013,13743.385106136247
05/2013,13958.445789174217
06/2013,13723.065239284073
07/2013,14217.423262837221
08/2013,13801.759681237132
09/2013,14307.585080036712
10/2013,14713.17653715626
11/2013,15029.286201307601
12/2013,15099.323130773128
01/2014,15236.686240072428
02/2014,15482.823191261388
03/2014,15443.513516152128
04/2014,15177.452065072055
05/2014,15726.235490234178
06/2014,15971.973793287632
07/2014,16413.95742808202
08/2014,17120.37280821732
09/2014,17090.721980058774
10/2014,17669.23829273534
11/2014,18058.06950211494
12/2014,18672.344157835694
01/2015,20151.51109067857
02/2015,21443.49526791906
03/2015,22674.704493841095
04/2015,22005.824794355984
05/2015,22649.761396912792
06/2015,22262.241363501555
07/2015,22833.195631379003
08/2015,20896.305995708004
09/2015,20109.793434219413
10/2015,21638.66811670969
11/2015,22486.607118498538
12/2015,21815.51975120166
01/2016,19973.36048322451
02/2016,19586.033717758117
03/2016,20231.17314688921
04/2016,20516.09834037637
05/2016,21279.146840285375
06/2016,20787.181643242246
07/2016,21557.7770437434
08/2016,21399.869595086122
09/2016,21678.27351982247
10/2016,21578.261602810693
11/2016,22694.368290484806
12/2016,22957.22859113653
01/2017,23079.96117150027
02/2017,24176.299969298998
03/2017,24054.861769424875
04/2017,24056.49566400819
05/2017,23493.13490820996
06/2017,23836.178126312283
07/2017,23652.567286865946
08/2017,23640.579251224353
09/2017,23745.08788390272
10/2017,24404.03360862369
11/2017,24308.659263496662
12/2017,24452.67433437894
01/2018,25078.13830397872
02/2018,24621.91590593976
03/2018,23932.906013007814
04/2018,24622.53560401048
05/2018,25369.562802610748
06/2018,24593.17910985817
07/2018,25131.65495848947
08/2018,25335.639982168264
09/2018,25570.94100985036
10/2018,23987.28110136308
11/2018,24608.508850153543
12/2018,22329.34723045444
01/2019,23997.9740454987
02/2019,24740.187118486898
03/2019,24684.521958271675
04/2019,25104.33921423591
05/2019,24047.76926448967
06/2019,24767.460178843477
07/2019,25269.88245768646
08/2019,24309.740093841418
09/2019,24845.478181147864
10/2019,25316.89906756809
11/2019,26789.471692653642
12/2019,27295.01667111712
01/2020,26686.633527976017
02/2020,24739.706930033306
03/2020,20217.969508259575
04/2020,22576.25173865313
05/2020,23780.145541540434
06/2020,23970.849863754887
07/2020,23557.616419805338
08/2020,24088.018922725783
09/2020,24023.523272799062
10/2020,24032.854880269086
11/2020,26829.790184066445
12/2020,28035.819552599532
01/2021,28170.23612574552
02/2021,29330.88832848955
03/2021,30686.758760686334
04/2021,31397.463584431236
05/2021,31295.7938519834
06/2021,31893.216060983694
07/2021,31058.064193691567
08/2021,31993.589946366374
09/2021,31513.895181052896
10/2021,31880.6467701395
11/2021,30371.62648689385
12/2021,31563.887928126467
01/2022,29940.166266048953
02/2022,29599.93518365595
03/2022,30691.440118537965
04/2022,29631.903211963694
05/2022,28862.73297352309
06/2022,27731.132202235614
07/2022,29966.47371617097
08/2022,30115.152501375094
09/2022,28644.93959979235
10/2022,30009.60420513661
11/2022,30640.27176285892
12/2022,28909.3590964922
01/2023,30306.84179155378
02/2023,30040.259512923956
03/2023,28304.18490585215
04/2023,28800.451962865638
05/2023,28682.002971164824
06/2023,29369.606371812864
07/2023,30053.957373670746
08/2023,29102.44409185407
09/2023,28509.168624720038
10/2023,26992.94419018568
11/2023,28166.20556986355
12/2023,30131.520152296725
01/2024,30426.133909947683
02/2024,31258.708229572956
03/2024,32167.14839339581
04/2024,30953.5779264912
