Data,IE00BSPLC413
11/1994,10000
12/1994,10402.599244598383
01/1995,10159.350026665606
02/1995,10491.396490910955
03/1995,10206.122116559749
04/1995,10255.2308567314
05/1995,10634.731513572004
06/1995,10974.73081765116
07/1995,11416.17852843066
08/1995,12023.853849983585
09/1995,12349.67049755639
10/1995,11636.419136924684
11/1995,12120.083260281384
12/1995,12552.478862563006
01/1996,12731.494284693275
02/1996,13110.287910280318
03/1996,13487.69389319845
04/1996,14207.984052446714
05/1996,14859.102304257138
06/1996,14373.122896554238
07/1996,13173.18378690531
08/1996,13741.04604970627
09/1996,14342.330663737504
10/1996,14316.764626013195
11/1996,14761.12008160502
12/1996,15389.68774005128
01/1997,16201.838924420908
02/1997,16773.615142484035
03/1997,16323.364373237408
04/1997,16448.950419056036
05/1997,18037.40868343398
06/1997,19390.116817827562
07/1997,20995.143327736932
08/1997,22102.56095917733
09/1997,23163.190890471822
10/1997,21944.74519521565
11/1997,21473.427713460573
12/1997,22372.933606615756
01/1998,22575.445703609203
02/1998,24203.572073594423
03/1998,25363.87457217643
04/1998,25462.87497744751
05/1998,23940.702936350524
06/1998,23873.583214937153
07/1998,22167.619598039462
08/1998,18153.03471430533
09/1998,18153.875850891094
10/1998,18173.952575238207
11/1998,19624.845554093503
12/1998,20280.807012510722
01/1999,20990.449341368407
02/1999,19893.02305411611
03/1999,20409.63706294132
04/1999,22719.72843386398
05/1999,23531.494649525408
06/1999,24817.932920575186
07/1999,23503.96777930789
08/1999,22780.201644859917
09/1999,22189.743224841335
10/1999,22260.786046505735
11/1999,23835.323323763158
12/1999,25090.105813405287
01/2000,24810.722634692862
02/2000,25600.047835644073
03/2000,27139.748439386025
04/2000,27603.37295986808
05/2000,26206.93461232651
06/2000,26204.658489087793
07/2000,27523.151352158584
08/2000,30226.847816896458
09/2000,30190.38589214434
10/2000,30792.185613840426
11/2000,28634.065171073395
12/2000,29183.342670668324
01/2001,32289.919165399813
02/2001,31163.641314437304
03/2001,31421.6938387446
04/2001,33239.952705029704
05/2001,36423.05098490382
06/2001,37414.053810847865
07/2001,35755.24547289157
08/2001,33722.720717284334
09/2001,29286.744916657935
10/2001,30811.454057261875
11/2001,33827.98676518971
12/2001,38599.198832726484
01/2002,39624.24714384119
02/2002,39607.86992640709
03/2002,42940.00432027617
04/2002,42640.34387995812
05/2002,39643.61536305672
06/2002,34925.463028705686
07/2002,30699.056517379817
08/2002,30593.43876592263
09/2002,27846.65696869062
10/2002,28461.972598021843
11/2002,30677.03185466517
12/2002,27841.47554955655
01/2003,26383.427538045886
02/2003,25564.573294860133
03/2003,25663.504795206663
04/2003,28476.137693560624
05/2003,29595.977343670063
06/2003,31311.121302548636
07/2003,32769.203673847725
08/2003,35489.13855598225
09/2003,32910.640995000955
10/2003,35652.982189447204
11/2003,35912.20525557713
12/2003,35560.47062707323
01/2004,37374.05028928368
02/2004,38080.02246406787
03/2004,39058.654864693104
04/2004,38211.85351947824
05/2004,38065.08937452577
06/2004,39737.30227300525
07/2004,38409.1797337597
08/2004,38220.07039288238
09/2004,38509.402399537896
10/2004,38171.30145023772
11/2004,39644.1237517603
12/2004,40173.80554819132
01/2005,40727.96802430685
02/2005,41010.84548207795
03/2005,41284.16779225543
04/2005,39495.761376539966
05/2005,44246.399121553055
06/2005,46635.68078491491
07/2005,49199.93575536247
08/2005,47901.21342329692
09/2005,48280.33502790191
10/2005,46563.00095167504
11/2005,49461.54352815662
12/2005,49335.74127266622
01/2006,51008.64481751701
02/2006,51786.91112572536
03/2006,52497.01368710865
04/2006,51102.98670456238
05/2006,47955.350990736486
06/2006,48415.0076305704
07/2006,47018.32415555696
08/2006,47658.34284652284
09/2006,48996.983617362064
10/2006,51176.79794366637
11/2006,50921.218577836946
12/2006,51367.17274613196
01/2007,53721.85896999454
02/2007,52878.83189308032
03/2007,52988.14346983073
04/2007,53399.74114103942
05/2007,56463.422391011365
06/2007,54997.171833346445
07/2007,50367.340776752586
08/2007,50461.88569644883
09/2007,49194.8517967782
10/2007,48969.82619489169
11/2007,44667.98442520325
12/2007,44184.35341214926
01/2008,42355.08481893735
02/2008,39696.14642684785
03/2008,37726.81824278222
04/2008,40237.36091157443
05/2008,41868.97714013721
06/2008,36234.781986996975
07/2008,37506.620869032144
08/2008,41781.64657701222
09/2008,39153.02317499087
10/2008,34275.253432313795
11/2008,31205.175715312624
12/2008,30516.437637147188
01/2009,29371.239983573225
02/2009,25515.448033036573
03/2009,27622.10144162746
04/2009,35649.599009493555
05/2009,36735.07935326985
06/2009,36560.69467339588
07/2009,40742.4067403478
08/2009,43453.52030245526
09/2009,45349.04892412769
10/2009,41648.22110653494
11/2009,42580.89133204262
12/2009,47867.51602908028
01/2010,48156.11963138142
02/2010,52030.42962535752
03/2010,56665.419787471794
04/2010,60947.66825094154
05/2010,60384.09123936555
06/2010,55666.326795539724
07/2010,56422.23787298612
08/2010,53968.93313617246
09/2010,55958.12152970572
10/2010,57306.0320011172
11/2010,63060.16252835288
12/2010,66495.44626522536
01/2011,65561.47425889011
02/2011,68094.08627448158
03/2011,67411.32231260618
04/2011,65799.16632471376
05/2011,66695.74173884292
06/2011,64979.694185837165
07/2011,63465.89099381758
08/2011,57224.86259569742
09/2011,54256.727888010195
10/2011,60077.06259748936
11/2011,62590.91930428122
12/2011,65226.826913748286
01/2012,68444.5236639287
02/2012,69460.72541230136
03/2012,71140.82127501466
04/2012,71060.20951885237
05/2012,70247.10171804864
06/2012,71873.29480694981
07/2012,72538.64830429376
08/2012,73375.23305658648
09/2012,73791.57469295498
10/2012,72937.42441475012
11/2012,74156.09795967386
12/2012,75627.77937686704
01/2013,78956.8040130514
02/2013,82285.70411854456
03/2013,88715.83104499862
04/2013,87213.85425500291
05/2013,91531.40450703357
06/2013,89963.52581424931
07/2013,94713.5262238029
08/2013,91720.89116671256
09/2013,95026.02634979795
10/2013,97654.02792847197
11/2013,101133.27410735625
12/2013,102128.05928450885
01/2014,100931.79458805185
02/2014,103540.37554008482
