Data,FR0010261198
12/1978,10000
01/1979,10183.136808029036
02/1979,10413.648123965715
03/1979,11076.168889409379
04/1979,11348.404935376493
05/1979,10893.770913154878
06/1979,11078.17399796816
07/1979,10837.7036380753
08/1979,11195.4641169464
09/1979,11630.864672423968
10/1979,10627.314104734642
11/1979,11018.556514242913
12/1979,10794.48705575176
01/1980,11212.313772987753
02/1980,11448.867080366583
03/1980,10328.09698936893
04/1980,11504.897682869738
05/1980,11291.107004249594
06/1980,11913.236004063909
07/1980,11935.016892627247
08/1980,12268.70525903372
09/1980,12432.10822770634
10/1980,13184.897103440928
11/1980,13467.288324115034
12/1980,13320.710183785852
01/1981,12835.151897908427
02/1981,13571.862364240873
03/1981,13834.544538084343
04/1981,14046.876978731127
05/1981,13701.853438533355
06/1981,13881.27409820988
07/1981,13892.153092006938
08/1981,14664.160090054693
09/1981,12674.179249587865
10/1981,12776.333565229654
11/1981,14174.777096920934
12/1981,13881.094570819469
01/1982,14292.808695076275
02/1982,14188.410203355907
03/1982,14397.896498471886
04/1982,15058.673344706871
05/1982,14524.377548348024
06/1982,14117.522117083045
07/1982,14715.246520060118
08/1982,14886.48587809357
09/1982,15360.077754829013
10/1982,15726.796401963293
11/1982,16238.629516392903
12/1982,16347.271438828304
01/1983,16254.774440012032
02/1983,17189.724848142745
03/1983,18140.709557679802
04/1983,19898.451637942933
05/1983,19810.258418913512
06/1983,20775.653221867895
07/1983,20761.71892452549
08/1983,20964.843308941683
09/1983,21337.3929830183
10/1983,20966.56804213956
11/1983,22156.362949516377
12/1983,22883.211724552482
01/1984,24333.09063746477
02/1984,24245.179115296636
03/1984,23991.360394518746
04/1984,24082.00381883083
05/1984,23150.07654366714
06/1984,23099.99740534491
07/1984,22391.692200077487
08/1984,24556.851449785005
09/1984,25327.815100511612
10/1984,25843.26343861035
11/1984,25090.551927676028
12/1984,26263.560252445477
01/1985,28140.325126876367
02/1985,27968.936192115994
03/1985,31265.190612302034
04/1985,29934.71886792139
05/1985,31711.40731721987
06/1985,31521.67044122635
07/1985,32805.270914019726
08/1985,33298.429957371154
09/1985,34389.33764048888
10/1985,35854.640843521185
11/1985,37907.06269641697
12/1985,38621.85131588755
01/1986,38541.60702393054
02/1986,41420.12140978747
03/1986,43570.116069024225
04/1986,47865.823625977144
05/1986,42870.06604187706
06/1986,44914.413111475485
07/1986,43220.71123503721
08/1986,46604.802231898895
09/1986,43306.21265742486
10/1986,43083.419951439246
11/1986,45853.18948867121
12/1986,46335.45609238659
01/1987,45475.140706137536
02/1987,46264.41624783449
03/1987,48467.55313140343
04/1987,49704.808739615415
05/1987,48826.12019581092
06/1987,51114.8927183321
07/1987,53593.819425210495
08/1987,54455.547862776206
09/1987,53377.931342937554
10/1987,42911.39626607627
11/1987,38539.203299188746
12/1987,39538.785196364755
01/1988,38310.747220183555
02/1988,41733.60071462609
03/1988,42296.62116120711
04/1988,42821.20145653411
05/1988,42429.969215858735
06/1988,43556.80942208748
07/1988,45848.36410495498
08/1988,44742.23715913819
09/1988,46825.48615544444
10/1988,49892.492257393365
11/1988,48499.53901514033
12/1988,48800.35332511417
01/1989,52566.911261731744
02/1989,52605.812999652975
03/1989,53331.67975297604
04/1989,55106.556151070625
05/1989,54520.48139016961
06/1989,57781.21799652031
07/1989,61756.10907277478
08/1989,61916.55633874634
09/1989,63935.543131105725
10/1989,57482.93917226776
11/1989,59793.75272038012
12/1989,63492.41130695546
01/1990,61455.01684886932
02/1990,59176.92733582426
03/1990,61052.51297889756
04/1990,58658.09237565128
05/1990,62387.30621240794
06/1990,65003.1968984036
07/1990,65685.87493685045
08/1990,56554.08837331827
