Data,LU1681041460
06/1994,10000
07/1994,10309.230506627473
08/1994,10582.888594744254
09/1994,10138.920976527166
10/1994,10292.293648219722
11/1994,9878.08352490419
12/1994,10206.708286969968
01/1995,9928.735567275304
02/1995,9985.90789800001
03/1995,9935.143210534789
04/1995,10256.220073619153
05/1995,10676.23478772137
06/1995,10960.691351417627
07/1995,11478.42765802383
08/1995,11599.925460915218
09/1995,12445.763345491503
10/1995,12298.049450924997
11/1995,12514.563808654742
12/1995,12902.994306989363
01/1996,12949.30237980089
02/1996,13306.003117069486
03/1996,13712.034741937054
04/1996,13809.409917994066
05/1996,14230.345116358889
06/1996,14466.347150923555
07/1996,13879.892316372121
08/1996,14234.757465526787
09/1996,14573.562307112064
10/1996,14893.90634185106
11/1996,15333.531006900159
12/1996,16012.439340146748
01/1997,16461.83091665039
02/1997,17520.41023183407
03/1997,18190.37878376991
04/1997,18350.237863752336
05/1997,19487.38392584054
06/1997,20867.391990395983
07/1997,22853.06141717587
08/1997,21764.88380109232
09/1997,23408.216404262188
10/1997,21566.939679996984
11/1997,20905.21252842644
12/1997,22657.95518585272
01/1998,24244.843763773148
02/1998,26093.289621526506
03/1998,27953.664324638292
04/1998,28497.440582411087
05/1998,29148.59258285178
06/1998,29994.34439729267
07/1998,32351.422480217934
08/1998,26863.717296578052
09/1998,24136.865346221202
10/1998,23859.33225967801
11/1998,25728.20285989896
12/1998,27585.58037817406
01/1999,29004.34552374636
02/1999,28789.007842312618
03/1999,28874.001393540206
04/1999,29256.123313988854
05/1999,28529.191934067796
06/1999,29770.15806656453
07/1999,29312.011226697407
08/1999,29776.106701072502
09/1999,29620.574715455838
10/1999,31807.566997386457
11/1999,36141.748304626366
12/1999,42823.01677392879
01/2000,42920.826299768945
02/2000,48580.370599597234
03/2000,48029.801501776885
04/2000,47353.321560132514
05/2000,44437.50950762802
06/2000,44091.58410971947
07/2000,43809.767307403716
08/2000,44888.98524477932
09/2000,41464.78539054183
10/2000,41746.07826807146
11/2000,36572.83482975479
12/2000,36628.54336486487
01/2001,34644.13580646949
02/2001,34276.79811914786
03/2001,33720.70193496537
04/2001,34531.56883052788
05/2001,35366.78355770119
06/2001,35495.054810001035
07/2001,34018.73626956488
08/2001,32836.880912397704
09/2001,30056.02523859664
10/2001,30158.9428787952
11/2001,31030.496823746584
12/2001,32548.725081210792
01/2002,32850.533040580376
02/2002,32879.81647741739
03/2002,34202.47860089205
04/2002,34383.08164840835
05/2002,32990.45613724253
06/2002,30686.201509084065
07/2002,28852.17255782256
08/2002,28689.89048510723
09/2002,26597.986476862574
10/2002,27282.14557992472
11/2002,27249.06273982011
12/2002,25416.16629833084
01/2003,23660.198575360446
02/2003,23650.57626986249
03/2003,23016.485523162733
04/2003,24850.0044262424
