Data,IE00BYTRR640
09/2010,10000
10/2010,10280.910595046711
11/2010,11096.541187763647
12/2010,11284.091916013753
01/2011,11104.660466063167
02/2011,11448.888176730208
03/2011,10864.42921861067
04/2011,10928.272408866815
05/2011,11186.44643478742
06/2011,11134.499310265388
07/2011,11066.800006758112
08/2011,10148.470835085598
09/2011,10012.211063701783
10/2011,10681.338367937617
11/2011,10726.960210549527
12/2011,11075.453604538687
01/2012,11793.31472014178
02/2012,12257.072821453181
03/2012,12707.963554570753
04/2012,12730.400013338185
05/2012,12520.77663542927
06/2012,12510.405218168833
07/2012,12878.974020348489
08/2012,13055.731173865555
09/2012,13038.479567173208
10/2012,12929.393784344436
11/2012,13370.78161893262
12/2012,13516.32162197254
01/2013,13874.781777237882
02/2013,14468.464044069524
03/2013,15223.329542900634
04/2013,15404.397847094198
05/2013,16076.228420157182
06/2013,15967.290423726407
07/2013,16535.563750752583
08/2013,16236.96082322766
09/2013,16896.410979413133
10/2013,17409.179304263795
11/2013,17809.464274912516
12/2013,17953.86238550805
01/2014,17423.891581108473
02/2014,17906.380743086127
03/2014,17546.582775073664
04/2014,17265.165296319745
05/2014,17997.037087796805
06/2014,18245.165870685476
07/2014,18244.29716338827
08/2014,18896.46147320267
09/2014,19084.812033820737
10/2014,19468.75412401451
11/2014,20660.18349150905
12/2014,21186.65566052226
01/2015,22437.525296759788
02/2015,24325.12483674157
03/2015,25244.564340160126
04/2015,24460.980960123747
05/2015,25227.32477733867
06/2015,24587.818539916585
07/2015,25529.620449392838
08/2015,23393.028243964793
09/2015,22959.46094540442
10/2015,25229.20180120552
11/2015,26124.176611993378
12/2015,24820.245812309357
01/2016,23317.45660774416
02/2016,23059.33728353194
03/2016,23469.00844018554
04/2016,23329.80238783275
05/2016,23914.174460937178
06/2016,23089.99958059104
07/2016,24417.485746767965
08/2016,24403.045075866496
09/2016,24220.00785680768
10/2016,24477.319740733306
11/2016,25802.292139626934
12/2016,26286.953043834248
01/2017,26531.080625392504
02/2017,27319.612327871586
03/2017,27799.664495256482
04/2017,28082.671708807706
05/2017,27609.126885088823
06/2017,26989.824511828334
07/2017,26656.139048798366
08/2017,26152.642711269713
09/2017,26900.704095868303
10/2017,27808.22440061776
11/2017,28072.099692196185
12/2017,28475.538598036335
01/2018,29626.61363778545
02/2018,29205.47756039992
03/2018,28283.224455902313
04/2018,29506.622592846838
05/2018,30647.869704650497
06/2018,30978.26413979354
07/2018,31294.376506682864
08/2018,32260.33053578718
09/2018,32468.0858304768
10/2018,30246.51379398586
11/2018,30590.440423657576
12/2018,28178.660869623145
01/2019,30635.57077348303
02/2019,31226.733482025895
03/2019,32159.47908495211
04/2019,33962.51599001485
05/2019,31651.508792950084
06/2019,33380.93664575677
07/2019,34362.32844836397
08/2019,34071.46669144702
09/2019,34933.48301910863
10/2019,34935.829450525154
11/2019,35814.93005943054
12/2019,36215.58205180578
01/2020,36450.266017724774
02/2020,33796.568070885885
03/2020,28891.494344155108
04/2020,33856.43135799868
05/2020,35333.965654532105
06/2020,36634.24055281231
07/2020,37298.96693001471
08/2020,41362.42011734408
09/2020,40669.764500414225
10/2020,39817.722760792625
11/2020,43889.644537421664
12/2020,45258.56389166306
01/2021,45309.543947502316
02/2021,45665.52843336597
03/2021,48761.31763345861
04/2021,50069.925621223505
05/2021,48755.46455484134
06/2021,51395.48433653761
07/2021,51540.79353328188
08/2021,52185.560377595764
09/2021,51861.5254444258
10/2021,56152.96095901581
11/2021,57576.26796905069
12/2021,57259.634563257896
01/2022,53173.904558206086
02/2022,50730.27863136585
03/2022,52259.66794667971
04/2022,48431.40099639417
05/2022,45984.756730526606
06/2022,42361.50080511315
07/2022,50138.837989395324
08/2022,48519.537185448986
09/2022,47100.20620097308
