Data,IE00B7K93397
08/1998,30836.8179458553
09/1998,31278.387718440816
10/1998,32570.047008295947
11/1998,35540.354322867766
12/1998,37345.01573839659
01/1999,40174.27039386573
02/1999,40214.735814714964
03/1999,42894.24341515097
04/1999,45160.71076318757
05/1999,44684.399660192765
06/1999,47744.32688557822
07/1999,44665.73224831243
08/1999,44948.929739644664
09/1999,43335.09004275844
10/1999,47007.53774203413
11/1999,49649.50473327509
12/1999,52835.6028764951
01/2000,51482.66357552029
02/2000,50903.32715687063
03/2000,56819.8537385065
04/2000,57943.63412512811
05/2000,55419.053531379126
06/2000,55276.354719082374
07/2000,56249.209125543784
08/2000,61998.126937604386
09/2000,59663.53133289378
10/2000,61861.68575915421
11/2000,55226.29463042583
12/2000,51787.32253805832
01/2001,53688.755072954744
02/2001,49025.37897590921
03/2001,48077.566768608434
04/2001,51552.039636473586
05/2001,54315.791639383024
06/2001,52988.39014556596
07/2001,50813.4529027258
08/2001,45531.28417276441
09/2001,41973.725981963435
10/2001,43190.94832988008
11/2001,47252.23903390227
12/2001,48121.20316727517
01/2002,48380.4285704606
02/2002,47365.77064753185
03/2002,48731.17825271955
04/2002,44328.6121565797
05/2002,42221.02025484707
06/2002,36897.875454648616
07/2002,34685.52350312914
08/2002,34732.24782995319
09/2002,30869.318748960315
10/2002,33569.619799838016
11/2002,35316.55830391748
12/2002,31463.156134671244
01/2003,29703.822915970595
02/2003,29347.438703102693
03/2003,29322.097246177942
04/2003,31061.544905918465
05/2003,30783.76848442212
06/2003,32251.07870617386
07/2003,33132.559664042965
08/2003,34984.11572436401
09/2003,32455.468212755444
10/2003,34376.746628206216
11/2003,33600.167743826794
12/2003,33578.2392148056
01/2004,34870.46157281296
02/2004,35254.85354886965
03/2004,35270.53354683641
04/2004,35518.25011135472
05/2004,35261.21792256817
06/2004,36070.51100463783
07/2004,35209.12964106567
08/2004,35137.86233906156
09/2004,34661.94346551272
10/2004,34281.775035089755
11/2004,34168.39501223448
12/2004,34482.0814156079
01/2005,35150.519255595456
02/2005,35285.70625188775
03/2005,35440.7085330195
04/2005,34783.79942821569
05/2005,37709.11924936066
06/2005,38505.25595074084
07/2005,39930.05586597358
08/2005,39221.15790666425
09/2005,40047.11227505532
10/2005,39437.71909178753
11/2005,41808.74260193486
12/2005,41719.84919908137
01/2006,41685.91534865158
02/2006,42650.21107210246
03/2006,42359.879151850044
04/2006,41441.771332193064
05/2006,39209.56370163009
06/2006,39737.495933075676
07/2006,39809.531672863945
08/2006,40486.33390098976
09/2006,42152.184178958065
10/2006,43398.11907945383
11/2006,42530.50347824407
12/2006,43221.09286319861
01/2007,44602.01160987224
02/2007,42874.48903761315
03/2007,43001.43319621456
04/2007,43954.59039776183
05/2007,45997.94755319577
06/2007,45055.005744787435
07/2007,43010.18753459675
08/2007,43656.987618131796
09/2007,43771.30867727777
10/2007,43638.29141053012
11/2007,40920.08821922172
12/2007,40742.51701977546
01/2008,37910.890069876754
02/2008,35957.27929643999
03/2008,34337.98954472541
04/2008,36637.22890366109
05/2008,37184.692718922226
06/2008,33493.207453355775
07/2008,33533.806917062946
08/2008,36037.94820132307
09/2008,33814.57305905519
10/2008,31541.811021664173
11/2008,29344.392376398497
12/2008,27117.837686720984
01/2009,26962.751596948754
02/2009,24416.864801147753
03/2009,25228.27728497261
04/2009,27709.04780404178
05/2009,27548.042115591707
06/2009,27529.67383920077
07/2009,29600.70707401768
08/2009,30378.480137727365
09/2009,30710.695819511267
10/2009,29817.40533180889
11/2009,31133.783114145866
12/2009,33091.236941301526
01/2010,32902.58277117347
02/2010,34908.37180679522
03/2010,37261.39526743488
04/2010,38312.082806994345
05/2010,38136.38139669939
06/2010,36242.20544705431
07/2010,36524.31634160279
08/2010,35829.109300356315
09/2010,36254.96335985837
10/2010,37063.29581031863
11/2010,39513.97983290714
12/2010,41002.46384112764
01/2011,40958.49845049955
02/2011,41922.77203290372
03/2011,40834.14149842617
04/2011,40191.80853226579
