Data,XS2115336336
01/1995,17815.694096290626
02/1995,17687.91902693386
03/1995,17701.966191714426
04/1995,17260.380330316933
05/1995,17278.811085094258
06/1995,17254.091728973915
07/1995,16887.411198176444
08/1995,17350.234141081295
09/1995,17645.482876478418
10/1995,17306.6776227532
11/1995,17574.334381141653
12/1995,17798.796557239133
01/1996,18889.777597116612
02/1996,18765.314566226152
03/1996,18548.629504808712
04/1996,18465.03360010567
05/1996,18649.819010478088
06/1996,18096.64989636307
07/1996,17972.312098282124
08/1996,17859.238748384116
09/1996,17663.480723047633
10/1996,17738.565068765703
11/1996,17129.280231082936
12/1996,17422.738680954135
01/1997,16728.72998124758
02/1997,18116.42754948836
03/1997,17789.333895512245
04/1997,17471.857539452998
05/1997,17694.241131206156
06/1997,17317.690488866996
07/1997,17360.073945865763
08/1997,17797.3464976203
09/1997,17686.865980100185
10/1997,16280.167133592915
11/1997,15194.553125326465
12/1997,15202.15278940436
01/1998,16390.617071583125
02/1998,15951.82406061301
03/1998,16201.498929199686
04/1998,16607.380886765473
05/1998,15451.294481249573
06/1998,15703.796449799926
07/1998,15342.28773792471
08/1998,14459.628797563866
09/1998,14813.509319042865
10/1998,14188.308363835713
11/1998,14716.125819640254
12/1998,14259.8171021486
01/1999,14618.157589154254
02/1999,15188.389162677817
03/1999,15163.384737760218
04/1999,15761.365747027694
05/1999,14967.773240947445
06/1999,14721.77228447085
07/1999,13921.059680612345
08/1999,14033.753467367334
09/1999,16323.546984271296
10/1999,16657.18652103408
11/1999,16794.60873028691
12/1999,16813.059612408237
01/2000,16834.7903210993
02/2000,17585.060901809007
03/2000,16849.100937046347
04/2000,17605.13676007534
05/2000,17014.342674730993
06/2000,17528.126983203376
07/2000,17401.53310349083
08/2000,18073.125259374094
09/2000,18138.458918686367
10/2000,18253.497522554706
11/2000,17996.61704831396
12/2000,17013.822796653545
01/2001,16523.44289956372
02/2001,16738.919114081174
03/2001,16932.803652922554
04/2001,17202.09049083075
05/2001,18299.88006279107
06/2001,18508.598461208167
07/2001,17612.46393389842
08/2001,17283.783217726104
09/2001,18608.027113671316
10/2001,17867.768479112256
11/2001,17941.959033165087
12/2001,18177.47024853408
01/2002,18933.617596237975
02/2002,19873.782687180086
03/2002,20005.909453962588
04/2002,19808.635405934092
05/2002,20140.08786578236
06/2002,18479.14027638384
07/2002,18019.084132235534
08/2002,18403.750625664674
09/2002,18989.531990685875
10/2002,18579.59670343312
11/2002,18583.531055029987
12/2002,18894.499963346276
01/2003,19639.17669193913
02/2003,18622.656922785485
03/2003,17757.762044958785
04/2003,17476.6299732044
05/2003,17656.420364867125
06/2003,17485.133196759416
07/2003,18096.76160257274
08/2003,19842.67331405459
09/2003,19218.725933496997
10/2003,19177.90586280134
11/2003,19161.727405558202
12/2003,19056.661649327973
01/2004,18616.57834123007
02/2004,18381.065964008634
03/2004,19983.13357570621
04/2004,18744.150075961617
05/2004,18579.472378251045
06/2004,18762.696998364587
07/2004,18729.452862668837
08/2004,19368.624801606562
09/2004,19289.845946850775
10/2004,19237.17845399099
11/2004,19632.386301719253
12/2004,18508.046635063336
01/2005,18636.835093779908
02/2005,18898.656544351536
03/2005,18969.490851869014
04/2005,19340.31716527501
05/2005,19327.4549917671
06/2005,20783.05823310866
07/2005,20392.42564910418
08/2005,20413.43353807442
09/2005,22583.234897968312
10/2005,22495.295843505803
11/2005,24192.221251269195
12/2005,24975.19374982333
01/2006,26951.302921096772
02/2006,26881.324068301485
03/2006,27601.076159010954
04/2006,29481.50509982505
05/2006,29119.166195157264
06/2006,27685.96030533453
07/2006,28417.58576837747
08/2006,27824.90775309917
09/2006,27141.066986613325
10/2006,27262.36642646856
11/2006,28081.801169717815
12/2006,27661.876940819646
01/2007,28772.796685569425
02/2007,28801.97802694064
03/2007,28459.9088802487
04/2007,28496.34610136641
