Data,DE000A0D8Q07
12/1986,10000
01/1987,9739.80996462708
02/1987,9544.045126992747
03/1987,9831.360158434587
04/1987,9927.888513797121
05/1987,9671.267637970788
06/1987,9955.033729754314
07/1987,10502.610019841726
08/1987,10498.604353998859
09/1987,10345.7793091757
10/1987,8101.981026358048
11/1987,7400.765594313523
12/1987,7244.034926923269
01/1988,7063.698263759327
02/1988,7838.615400063187
03/1988,7824.920347869973
04/1988,7951.9858763979555
05/1988,8058.74360419446
06/1988,8587.595792116217
07/1988,8796.633780820028
08/1988,8615.116324936442
09/1988,9115.488214271472
10/1988,9479.578452801014
11/1988,9323.904758460667
12/1988,9637.233578865553
01/1989,9980.81821549422
02/1989,9675.615556989718
03/1989,10056.171784482447
04/1989,10382.658715291675
05/1989,10664.091691680414
06/1989,10991.494585970988
07/1989,11505.257561873566
08/1989,12088.48636702704
09/1989,12195.39713510056
10/1989,11455.712578692166
11/1989,11953.341960339112
12/1989,12701.099260576382
01/1990,12351.0993243965
02/1990,12055.073872614248
03/1990,12730.64375738562
04/1990,12590.559940945137
05/1990,12985.456100472922
06/1990,13004.596034104938
07/1990,13043.90877843792
08/1990,11221.393824647514
09/1990,9761.515666060934
10/1990,10276.424412767428
11/1990,10069.698520722714
12/1990,9906.725845312892
01/1991,9959.950325335774
02/1991,11100.409426570759
03/1991,11407.55713964752
04/1991,11534.38407863857
05/1991,12005.879541302233
06/1991,11555.154757104081
07/1991,11564.417080353096
08/1991,11728.047205837987
09/1991,11609.773924646506
10/1991,11418.85304503954
11/1991,11143.022653669766
12/1991,11176.937626577952
01/1992,11811.042554592474
02/1992,12234.848218500112
03/1992,12035.040297708032
04/1992,12279.924266049155
05/1992,12532.545861291625
06/1992,11964.247804799845
07/1992,11226.421817314902
08/1992,10779.110979200894
09/1992,10903.444681337032
10/1992,11120.36594184054
11/1992,11408.628456093917
12/1992,11586.34653507551
01/1993,11836.510819278561
02/1993,12746.840512605837
03/1993,12962.16279799716
04/1993,12784.958608244264
05/1993,12934.432487600925
06/1993,13478.409615628043
07/1993,14453.473278755144
08/1993,15390.339572677589
09/1993,14967.784793396695
10/1993,15672.578698377441
11/1993,15255.683984447689
12/1993,16554.790489333525
01/1994,17083.07608276433
02/1994,16482.482643141942
03/1994,16213.745464679077
04/1994,16904.280660865617
05/1994,16157.158702493063
06/1994,15429.201300607732
07/1994,16467.625400112403
08/1994,16672.825015598213
09/1994,15614.930784661628
10/1994,15751.280837528957
11/1994,15764.215737782075
12/1994,15650.463204684593
01/1995,15252.315613342036
02/1995,15349.752322953997
03/1995,15038.42187852816
04/1995,15706.658852125205
05/1995,16319.161180561301
06/1995,16239.841176047621
07/1995,17038.526465938852
08/1995,16967.989837013283
09/1995,16762.105198622532
10/1995,16566.273834592175
11/1995,16955.069177544377
12/1995,17524.510188752414
01/1996,18698.095720923335
02/1996,18622.9143718227
03/1996,18725.11869950615
04/1996,19441.299535408772
05/1996,19684.06755507471
06/1996,19796.015010984716
07/1996,18985.144609508374
08/1996,19174.700514537013
09/1996,20164.84613230416
10/1996,20132.697382629947
11/1996,21409.08449186526
12/1996,21849.37128377911
01/1997,23638.566751717764
02/1997,24410.29685404584
03/1997,25026.885493314414
04/1997,25412.082906777352
05/1997,26095.76659030975
06/1997,28188.01348449735
07/1997,31227.112349197232
08/1997,28462.672754587475
09/1997,30693.871309692626
10/1997,27909.454625990922
11/1997,28984.277997551402
12/1997,30577.96274982821
01/1998,32463.831320395264
02/1998,34913.417859187044
03/1998,38561.36725046555
04/1998,39191.96248440293
05/1998,41260.65621860026
06/1998,42084.84201131081
07/1998,43025.72443838123
08/1998,36666.80602702271
09/1998,33349.21018470888
10/1998,35680.67746027176
11/1998,38862.69120044799
12/1998,40420.732889532854
01/1999,41866.924509052515
02/1999,41178.78940656889
03/1999,41845.2430662747
04/1999,43904.19785505663
05/1999,42720.32524741621
06/1999,44401.75124462738
07/1999,42766.64649470577
08/1999,44315.35918966574
09/1999,43661.74371971449
10/1999,45742.560541389656
11/1999,49772.89012023932
12/1999,57051.384485922266
01/2000,54733.591032508455
02/2000,60909.993776898926
03/2000,60475.279249935345
04/2000,60205.68403022889
05/2000,58784.982755185985
06/2000,58601.49286034684
07/2000,58917.06996705226
08/2000,60075.43752871378
09/2000,56840.52492567299
10/2000,57997.74337711845
11/2000,54594.01953124906
12/2000,54142.343486814796
01/2001,54875.58231531645
02/2001,49989.82666912311
03/2001,48102.33504501248
04/2001,51826.745756917924
05/2001,51054.40083844288
06/2001,49002.00427030377
07/2001,47400.03537124737
08/2001,44010.962087944594
09/2001,38089.00626580391
10/2001,40295.006330669064
11/2001,42548.520170496224
12/2001,43973.850661779106
01/2002,43023.05083145346
02/2002,42599.55295747817
03/2002,44747.132264348125
04/2002,42645.575209601404
05/2002,41195.1934732685
06/2002,37778.93430317258
07/2002,32776.60582062184
08/2002,33023.96113581409
09/2002,27164.114981298535
10/2002,30593.80394545944
11/2002,32504.099382758315
12/2002,29387.06445676686
01/2003,27854.529154697753
02/2003,26583.821467986116
03/2003,25525.61378863313
04/2003,28983.793451691046
