Data,DE0005933949
12/1986,10000
01/1987,9886.957262610731
02/1987,10163.767828633738
03/1987,10478.09007338505
04/1987,10808.526295683792
05/1987,11213.82052341599
06/1987,11680.437233459566
07/1987,12219.255313737258
08/1987,11880.596020320374
09/1987,12055.487251393746
10/1987,9283.824673127368
11/1987,8263.683906983002
12/1987,8410.706792491057
01/1988,8533.278277474828
02/1988,8880.994508375876
03/1988,8834.721021542167
04/1988,9073.049288801692
05/1988,9046.943614843716
06/1988,9512.903634455164
07/1988,9776.942324544778
08/1988,9418.978440961087
09/1988,9939.211740516343
10/1988,10194.896003432374
11/1988,10081.768875415817
12/1988,10321.948640534809
01/1989,11203.414208433025
02/1989,10705.91637488748
03/1989,11206.482639992157
04/1989,11362.110279169934
05/1989,11418.343102766492
06/1989,11694.660461126343
07/1989,12643.73973448492
08/1989,13101.691015524431
09/1989,12742.632109208584
10/1989,11834.165756143368
11/1989,12470.681553477054
12/1989,13282.535117154373
01/1990,13075.855828538706
02/1990,12893.424463742313
03/1990,13135.922938337852
04/1990,12507.124503247123
05/1990,13606.59825474204
06/1990,13818.837622413275
07/1990,13825.911010906832
08/1990,12488.416654678442
09/1990,11208.886437827847
10/1990,11692.108861292996
11/1990,11836.333465188245
12/1990,11636.09767916189
01/1991,11908.625864373182
02/1991,13054.730909191821
03/1991,13630.7786876329
04/1991,13884.927918031524
05/1991,14437.941867985903
06/1991,13920.511484470131
07/1991,14439.546546814492
08/1991,14705.791932281241
09/1991,14655.641523183203
10/1991,14574.656696814818
11/1991,14037.105937849206
12/1991,14275.350679105732
01/1992,14811.461473859552
02/1992,15037.616849760245
03/1992,14687.759944245898
04/1992,15542.375299162328
05/1992,15987.973287136205
06/1992,15103.926865902655
07/1992,14527.650285817304
08/1992,14089.076685290223
09/1992,14542.32967449715
10/1992,14573.692456770268
11/1992,15192.954597151818
12/1992,15666.339419985887
01/1993,15402.176095512046
02/1993,16152.620832691864
03/1993,16832.05077069088
04/1993,16533.383324833318
05/1993,16875.73834473057
06/1993,17571.149072616794
07/1993,18541.96570595643
08/1993,19559.702054962698
09/1993,19252.973097432532
10/1993,20484.918586937536
11/1993,20308.881865166797
12/1993,21825.374918074594
01/1994,22341.70358186475
02/1994,21020.932257943194
03/1994,20040.493693544395
04/1994,20748.84763629963
05/1994,19894.922808608277
06/1994,19174.579673837234
07/1994,20168.10340389699
08/1994,20960.152107232534
09/1994,19813.904202746202
10/1994,20364.394759176263
11/1994,20338.289922844855
12/1994,20424.0328297919
01/1995,19940.947342649528
02/1995,19996.84205360441
03/1995,20213.260630595938
04/1995,20820.58029985214
05/1995,21552.17544164577
06/1995,21524.3544171502
07/1995,22354.750357107787
08/1995,22765.971328508553
09/1995,23159.745512495865
10/1995,23190.104675632534
11/1995,24067.679270850684
12/1995,24900.710127695897
01/1996,25751.36793777176
02/1996,25780.838858399464
03/1996,25890.517165901536
04/1996,26591.001997987205
05/1996,26701.77143524113
06/1996,26717.78670429534
07/1996,25947.695401050532
08/1996,26638.160274653714
09/1996,27914.351995568813
10/1996,28265.28214800266
11/1996,30169.850158246983
12/1996,30717.55477138203
01/1997,32666.56905749036
02/1997,34095.646385869826
03/1997,35268.57530274107
04/1997,36377.952826901164
05/1997,37841.48092685042
06/1997,40844.82056907779
07/1997,44904.125469795596
08/1997,41254.98221878747
09/1997,44567.24520590505
10/1997,41053.2472731962
11/1997,42515.107268780535
12/1997,44520.74243299087
01/1998,47325.32487665167
02/1998,50796.21187430409
03/1998,54730.80702207695
04/1998,54868.58693874059
05/1998,56575.02821108468
06/1998,58538.530284999855
07/1998,59724.511798024076
08/1998,51769.0465266818
09/1998,46529.5937551363
10/1998,50055.009433297375
11/1998,55030.933393328305
12/1998,57045.55433783102
01/1999,59191.75947908126
02/1999,59398.465500104685
03/1999,61371.242022316546
04/1999,64789.498759088725
05/1999,62359.7938710165
06/1999,64848.83029842029
07/1999,62727.03463166707
08/1999,64178.18771089823
09/1999,62964.9224458604
10/1999,67845.79133915702
11/1999,74269.85987222177
12/1999,82256.70491209814
01/2000,78413.0050281674
02/2000,84697.38124439934
03/2000,87853.04344603504
04/2000,88533.16681937882
05/2000,86083.52102267239
06/2000,84276.17540364552
07/2000,85050.04820078913
08/2000,87704.07435580857
09/2000,83529.87223326077
10/2000,86564.7747326302
11/2000,80707.48153890224
12/2000,79681.49393333615
01/2001,79706.84566918637
02/2001,71850.58970999694
03/2001,70234.77726810933
04/2001,75119.75400741077
05/2001,74780.54361607319
06/2001,71509.76431446984
07/2001,69271.73597716374
08/2001,64264.98058463401
09/2001,59020.33882863993
10/2001,61249.36219835893
11/2001,63137.84501282505
12/2001,65344.527735051204
