Data,IE00BKPSFC54
07/2018,82396.2788914375
08/2018,83071.52733303641
09/2018,84460.14412135592
10/2018,82445.71307607442
11/2018,84252.06932168147
12/2018,78023.68878157926
01/2019,82209.63680279804
02/2019,85303.05188230448
03/2019,87875.41400425941
04/2019,89513.79269381038
05/2019,85968.22726592643
06/2019,89670.07118178927
07/2019,90947.57633559011
08/2019,90438.04425535907
09/2019,94827.58444219021
10/2019,94827.03659261968
11/2019,97768.6657878962
12/2019,98513.09492526276
01/2020,97401.43524070951
02/2020,89142.8115386415
03/2020,79123.42012284062
04/2020,86198.55951709588
05/2020,86018.99487351057
06/2020,86127.2647911772
07/2020,83455.43844228056
08/2020,85552.56315075447
09/2020,85069.81834323095
10/2020,82440.83321267537
11/2020,89984.14716310638
12/2020,90697.02184110033
01/2021,90537.91799991432
02/2021,91836.74810195387
03/2021,100893.33519423527
04/2021,100066.30729512034
05/2021,101993.34561137985
06/2021,103834.37938695995
07/2021,104928.91292676111
08/2021,106593.11413799244
09/2021,104467.42111271802
10/2021,106551.45798988687
11/2021,105888.7766394627
12/2021,114357.74016282003
01/2022,115307.05371562747
02/2022,113370.48867833409
03/2022,117100.9896427669
04/2022,119240.98528276307
05/2022,118666.87100220096
06/2022,114427.00069009177
07/2022,119597.3072529948
08/2022,117088.28807049902
09/2022,111062.16053483105
10/2022,117402.45567333074
11/2022,121176.04388403107
12/2022,116217.81435617527
01/2023,117624.52950883702
02/2023,116061.09635673373
03/2023,116074.83251763794
04/2023,117170.53859024787
05/2023,115160.00730259002
06/2023,118810.63582395167
07/2023,121259.05531338314
08/2023,120193.20190861079
09/2023,119896.49703894685
10/2023,115259.20460689679
11/2023,119309.81752501309
12/2023,123088.3200221473
01/2024,126206.79228433607
02/2024,127441.89791676779
03/2024,132964.44825717868
04/2024,130393.93551458289
