Data,IE00B4L5Y983
12/1978,10000
01/1979,10397.264238583844
02/1979,10245.473527212827
03/1979,10670.002780350265
04/1979,10771.45121679093
05/1979,10700.0788908556
06/1979,10879.111616042674
07/1979,10566.349983772221
08/1979,11021.993395011323
09/1979,11145.84393342313
10/1979,10358.937868069663
11/1979,10632.312756970634
12/1979,10669.643415469875
01/1980,11198.5540415861
02/1980,11305.7852995808
03/1980,10622.463032847621
04/1980,11451.216156474145
05/1980,11492.259555321893
06/1980,11864.150320975676
07/1980,12074.50411952528
08/1980,12552.151737813334
09/1980,12895.815691173122
10/1980,13602.68938971133
11/1980,14665.383902940459
12/1980,14794.410752509479
01/1981,14403.8661220666
02/1981,15426.470468612128
03/1981,15982.10210748322
04/1981,16411.088696294697
05/1981,17069.884642190318
06/1981,17689.064022749382
07/1981,17916.076166342526
08/1981,18035.666742988844
09/1981,15918.582366349736
10/1981,15916.635160521519
11/1981,16912.26621913063
12/1981,16776.845307912372
01/1982,16778.717790782546
02/1982,16283.659128333069
03/1982,16124.006578273467
04/1982,17172.32245775205
05/1982,16163.558499354744
06/1982,16324.85839611829
07/1982,16456.06640933328
08/1982,17753.215647761353
09/1982,17997.730692677946
10/1982,19456.999089154942
11/1982,20825.119668004612
12/1982,20858.637592592175
01/1983,21147.851912878272
02/1983,21982.319292339464
03/1983,22864.414589660548
04/1983,24843.414868747604
05/1983,24746.88240637034
06/1983,26299.40568839479
07/1983,26173.836520054356
08/1983,27160.752986551306
09/1983,27721.179008508567
10/1983,26936.9438353937
11/1983,28364.201599168802
12/1983,29447.533162765263
01/1984,30350.135592382732
02/1984,28925.921873209205
03/1984,29200.397984552943
04/1984,29600.831684068038
05/1984,28390.277176862644
06/1984,28622.560244793603
07/1984,28650.27305569554
08/1984,31872.40279537828
09/1984,33243.26127189348
10/1984,34200.03547509701
11/1984,33171.30474328536
12/1984,35191.72316194176
01/1985,38029.00109781414
02/1985,39511.58021392846
03/1985,40963.26197698709
04/1985,38012.66169943743
05/1985,40233.05829559054
06/1985,40224.68496067132
07/1985,39039.96439121696
08/1985,37997.046217346266
09/1985,38889.02060268137
10/1985,38451.871661572586
11/1985,39804.162304596546
12/1985,40672.80487949236
01/1986,40410.56510016991
02/1986,42306.883107545495
03/1986,45148.82707717282
04/1986,46620.82567723978
05/1986,45663.11256920293
06/1986,47673.384659709176
07/1986,46634.55307022164
08/1986,49175.09866742748
09/1986,46838.015533970705
10/1986,45509.17993405879
11/1986,47907.64486901641
12/1986,48154.48598822745
01/1987,50569.59470217815
02/1987,51301.60722358118
03/1987,54375.710413870904
04/1987,56800.00534683079
05/1987,56175.998015160076
06/1987,57135.25374736035
07/1987,59104.27686006582
08/1987,63068.370942323854
09/1987,60338.653511692595
10/1987,49713.56310344491
11/1987,45557.405244665344
12/1987,46071.37247825062
01/1988,47675.630536325225
02/1988,51883.851607048295
03/1988,52708.55674463592
04/1988,53036.55462823834
05/1988,52469.77560781517
06/1988,54324.64484243664
07/1988,58114.81813056139
08/1988,56131.7668091114
09/1988,58066.45464980817
10/1988,60377.667609041615
11/1988,59982.8138204364
12/1988,60565.90302063609
01/1989,65221.04460902444
02/1989,65589.75849676365
03/1989,65578.43333152706
04/1989,67437.6381022009
05/1989,68582.10495798169
06/1989,69002.51472239288
07/1989,73423.1087280308
08/1989,72725.83980577605
09/1989,75896.52322869253
10/1989,70574.06749015235
11/1989,72311.97671154921
12/1989,71536.64969390957
01/1990,66169.88103020181
02/1990,62466.8922483064
03/1990,59695.312815591795
04/1990,58054.607228261906
05/1990,63093.97275889993
06/1990,63039.84124640932
07/1990,61665.89468762723
08/1990,53406.98637516334
09/1990,47828.092081961426
10/1990,50734.95993664292
11/1990,48889.06873072536
12/1990,50477.16294419005
01/1991,52427.04836624074
02/1991,56301.48698513768
03/1991,59447.184028453274
04/1991,63076.474908943776
05/1991,65338.659234792525
06/1991,63560.406274982386
07/1991,66617.84094191498
08/1991,64913.90748901576
09/1991,64747.90290304885
10/1991,65680.52873590955
11/1991,60438.76928648338
12/1991,62750.651111876665
01/1992,61993.81441082432
02/1992,62240.010461060345
03/1992,60863.58849984041
04/1992,61125.64829598069
05/1992,62312.92748725297
06/1992,58472.84361699263
07/1992,55805.5065158559
