Data,IE00B0M62Q58
11/1985,38999.34337966805
12/1985,39840.67262930482
01/1986,39573.83789276397
02/1986,41420.9979347944
03/1986,44193.077756159495
04/1986,45622.86755054264
05/1986,44674.249383110306
06/1986,46629.81921519785
07/1986,45602.07008663087
08/1986,48074.96781482438
09/1986,45778.1504763012
10/1986,44467.93964046196
11/1986,46800.41122629733
12/1986,47029.847291178
01/1987,49376.794146881555
02/1987,50079.196265674924
03/1987,53067.53015013
04/1987,55420.23409295638
05/1987,54797.52992982929
06/1987,55719.54769618003
07/1987,57625.85216628536
08/1987,61476.382585870495
09/1987,58800.20030273465
10/1987,48431.31752104463
11/1987,44370.25024558134
12/1987,44859.73173129453
01/1988,46410.584135230565
02/1988,50495.539748948235
03/1988,51285.55348181191
04/1988,51591.87482927674
05/1988,51027.63651648978
06/1988,52818.7675026957
07/1988,56490.67262204892
08/1988,54548.919332369675
09/1988,56415.4141018442
10/1988,58646.807015067425
11/1988,58248.610889800584
12/1988,58800.27985851487
01/1989,63305.014231474044
02/1989,63647.069978282714
03/1989,63620.16848311039
04/1989,65407.94972542556
05/1989,66501.61927302899
06/1989,66892.65021105214
07/1989,71161.35417726237
08/1989,70467.77386478544
09/1989,73522.39373617904
10/1989,68348.04986294245
11/1989,70014.0556683574
12/1989,69245.86338277611
01/1990,64033.64089881336
02/1990,60434.191650845605
03/1990,57737.69210389919
04/1990,56136.35664013259
05/1990,60995.17647547848
06/1990,60927.59683242312
07/1990,59584.45451422204
08/1990,51589.41720303341
09/1990,46187.48884814691
10/1990,48983.09820518732
11/1990,47188.69925009812
12/1990,48709.76212285096
01/1991,50579.19706968672
02/1991,54304.43186781011
03/1991,57324.97261737122
04/1991,60810.36980954552
05/1991,62976.07960369693
06/1991,61246.38244695416
07/1991,64177.19445079515
08/1991,62519.642907399844
09/1991,62344.13127275432
10/1991,63226.54725614493
11/1991,58164.82582672826
12/1991,60375.1843873165
01/1992,59631.90443589744
02/1992,59853.81265636705
03/1992,58515.197397994634
04/1992,58752.5169487045
05/1992,59879.01329362292
06/1992,56173.951574021994
07/1992,53597.43881180533
08/1992,53476.91970632281
09/1992,54170.91646382775
10/1992,54855.26484303736
11/1992,59453.41453029951
12/1992,59851.68885073232
01/1993,61181.457982954256
02/1993,64146.99778218558
03/1993,68154.46203327067
04/1993,68840.18979662636
05/1993,70553.37676593075
06/1993,71955.09691761159
07/1993,76502.71400364264
08/1993,80569.93389313898
09/1993,75885.16412438102
10/1993,78841.59164890146
11/1993,76327.48520919713
12/1993,79976.43408767655
01/1994,86355.06101950008
02/1994,84854.69049485712
03/1994,79463.76803289822
04/1994,82105.95103409866
05/1994,80495.58091432924
06/1994,78916.92857166335
07/1994,77888.40358355605
08/1994,80275.98538171234
09/1994,77278.11821292735
10/1994,77907.80065246994
11/1994,75587.13481421089
12/1994,77830.38277248899
01/1995,75044.58731767125
02/1995,75255.9255818543
03/1995,75769.10674778692
04/1995,76860.77106496561
05/1995,78666.27457024629
06/1995,77935.6285775444
07/1995,80834.31782528342
08/1995,81374.76579804665
09/1995,84767.58590933196
10/1995,82081.77766095239
11/1995,85063.19611578464
12/1995,88883.02237460483
01/1996,91533.93305656208
02/1996,92563.50278452602
03/1996,93986.0319207947
04/1996,96957.64232604243
05/1996,98158.5675010066
06/1996,97829.41994617485
07/1996,92877.96796840777
08/1996,93036.00418343255
09/1996,97458.40979151991
10/1996,98384.07771082492
11/1996,102503.74793026395
12/1996,103032.12583515153
01/1997,107047.20539076599
02/1997,112930.40644337182
03/1997,111913.14594268236
04/1997,116131.97886530074
05/1997,122853.01468465046
06/1997,130356.92209666305
07/1997,140078.54329514512
08/1997,134355.1387498811
09/1997,137861.0227528543
10/1997,128155.32979253052
11/1997,127664.30375261029
12/1997,132631.53013328766
01/1998,139385.62086893048
02/1998,148405.7949577003
03/1998,155157.80707004011
04/1998,155525.22107561954
05/1998,151149.36500268566
06/1998,155774.15340440205
07/1998,155804.09356148724
08/1998,134388.36739766126
09/1998,130306.7360949956
10/1998,136761.74239170382
11/1998,149008.48560707833
12/1998,155206.62385442975
01/1999,163700.01276853005
02/1999,164546.3414673814
03/1999,175708.00162014092
04/1999,185035.45323028936
05/1999,180575.73231119092
06/1999,191239.51690471527
07/1999,184035.72468595367
08/1999,185709.00215886155
09/1999,182219.4127948675
10/1999,195477.47720010384
11/1999,207955.08455975977
12/1999,225815.8313301049
01/2000,218307.8718758854
02/2000,220514.4160981304
03/2000,239609.64573916633
04/2000,241170.90158816616
05/2000,229428.2889488851
06/2000,230751.56990614542
07/2000,231725.04694827608
08/2000,248189.99324134446
09/2000,238640.31322769893
10/2000,244213.2546883659
11/2000,222202.1221659826
12/2000,210607.05588108275
01/2001,214852.07412464687
02/2001,197538.19102922344
03/2001,193139.44398918297
04/2001,206268.08332581277
05/2001,213001.10370209182
06/2001,206208.79748924286
07/2001,196976.05135905815
08/2001,179159.62470253606
09/2001,163757.28002261728
10/2001,168458.6374068024
11/2001,181215.9926437632
12/2001,184019.94258212464
01/2002,181985.43120447762
02/2002,180017.08396234034
03/2002,186299.14050884187
04/2002,174215.34235459464
05/2002,167387.55911786662
