Data,IE00B60SWY32
10/2007,326434.07349875034
11/2007,309211.9942203605
12/2007,304571.6838915603
01/2008,270010.84242974204
02/2008,268931.5200216057
03/2008,258992.20787483023
04/2008,275410.0748726401
05/2008,277155.23866688245
06/2008,248880.67159567142
07/2008,244057.4941686133
08/2008,248346.3692696326
09/2008,217214.626550336
10/2008,191765.32214212572
11/2008,179005.7328824552
12/2008,172265.17728578317
01/2009,166349.79299714795
02/2009,151455.80287619444
03/2009,153847.44422683626
04/2009,175709.83051692235
05/2009,185494.37016976447
06/2009,181369.3278750298
07/2009,200332.7166919832
08/2009,210935.85391985375
09/2009,215098.9923647177
10/2009,210311.5052868679
11/2009,213170.9557631306
12/2009,225622.50882408928
01/2010,218944.09439341893
02/2010,220815.28356492435
03/2010,236678.29417689156
04/2010,233073.57527965342
05/2010,221426.04957092812
06/2010,220389.6530801575
07/2010,231721.2203954015
08/2010,229283.7776052834
09/2010,236395.51620234884
10/2010,242880.04451451762
11/2010,239233.13518200413
12/2010,252209.98518582148
01/2011,255792.5097799568
02/2011,261438.3536337351
03/2011,252410.52209564
04/2011,260588.10684612987
05/2011,260267.82851604003
06/2011,254038.84363169887
07/2011,248708.87189811064
08/2011,220809.41313649085
09/2011,210323.48314320372
10/2011,227359.4941048763
11/2011,226496.84406092373
12/2011,231216.89615806757
01/2012,237662.86633010468
02/2012,247658.22528222727
03/2012,247765.69389604285
04/2012,244650.87831629536
05/2012,228662.27897815497
06/2012,243096.20273120533
07/2012,251917.37659286437
08/2012,256169.58803298709
09/2012,257185.653924161
10/2012,259617.81011921368
11/2012,266462.21161012806
12/2012,269598.9922421572
01/2013,277818.49637473363
02/2013,278753.61004505027
03/2013,285171.12481844286
04/2013,291419.5307611019
05/2013,293393.8423373553
06/2013,277606.9079137309
07/2013,293628.74922644894
08/2013,290712.0160324789
09/2013,305336.34700654075
10/2013,315194.3542518043
11/2013,319573.2906250555
12/2013,322410.344753021
01/2014,316205.7270294752
02/2014,331952.13443947356
03/2014,329105.584632974
04/2014,335752.85618734674
05/2014,344752.6499960347
06/2014,343057.42780907627
07/2014,336918.8411676162
08/2014,343179.4787909897
09/2014,346121.097794107
10/2014,338528.6538311505
11/2014,348614.9735794613
12/2014,342950.19164986827
01/2015,368243.84431025136
02/2015,393568.72507158807
03/2015,400178.68161031784
04/2015,400511.156158632
05/2015,406237.0002332777
06/2015,385984.3488274793
07/2015,406036.5538160391
08/2015,368719.31533378706
09/2015,351825.12845759385
10/2015,383326.6008728119
