Data,DE000A0D8Q49
02/1992,10000
03/1992,10249.284271542987
04/1992,10458.62235428588
05/1992,10340.504359599634
06/1992,10044.649028825881
07/1992,9831.587460104773
08/1992,9267.29496138209
09/1992,9722.124747815284
10/1992,10142.94661965461
11/1992,11241.531665997869
12/1992,11758.788760080497
01/1993,12098.787921271141
02/1993,12765.681985842957
03/1993,13266.96496816821
04/1993,12773.262001444984
05/1993,12816.065502081676
06/1993,13268.933045977697
07/1993,14095.61346549135
08/1993,14678.34635286102
09/1993,14200.051037314264
10/1993,14467.277318846765
11/1993,14442.046699777216
12/1993,14725.34699252627
01/1994,15516.939555715673
02/1994,14945.617758950593
03/1994,14050.85974475942
04/1994,14453.390107922465
05/1994,14473.138501418498
06/1994,14039.61336306531
07/1994,14040.724500970684
08/1994,14527.860098454486
09/1994,13833.852362088153
10/1994,13691.78218451571
11/1994,13317.07620804721
12/1994,13637.533514179477
01/1995,13979.995120952413
02/1995,14569.133770343666
03/1995,14255.31706990578
04/1995,14262.826168918515
05/1995,15272.171488692646
06/1995,15199.743038994478
07/1995,15403.045161243861
08/1995,16429.855800413698
09/1995,17358.864747295866
10/1995,16870.569931309477
11/1995,17829.2429602112
12/1995,18458.15116216169
01/1996,19088.767489692524
02/1996,19539.552218004905
03/1996,19861.19862224542
04/1996,19931.89079924264
05/1996,20614.91943742568
06/1996,20477.222236310572
07/1996,19483.01003633852
08/1996,20103.197978821063
09/1996,21201.15366239811
10/1996,22248.38239302389
11/1996,23507.858472707867
12/1996,23629.676082663984
01/1997,25065.443546167615
02/1997,27185.926720890388
03/1997,26274.041427007483
04/1997,27341.039228586214
05/1997,28727.92071426034
06/1997,30149.958752514547
07/1997,33616.100596432785
08/1997,33821.3127668124
09/1997,35059.67602819448
10/1997,33548.70506256759
11/1997,34089.14442940459
12/1997,36286.40333710176
01/1998,36295.872181705956
02/1998,38908.40609650586
03/1998,41205.3240648875
04/1998,41173.09314882469
05/1998,39663.43816130554
06/1998,39880.86370363627
07/1998,38857.90813721313
08/1998,32792.71341469062
09/1998,32628.136415800458
10/1998,32811.69813808096
11/1998,35510.23900742294
12/1998,35696.64023837167
01/1999,35365.415046838665
02/1999,35938.24251951387
03/1999,37420.141184749955
04/1999,42387.56088953855
05/1999,42868.09596086797
06/1999,44397.38558167917
07/1999,41483.26679099277
08/1999,39660.27544756002
09/1999,37768.09088595415
10/1999,40197.2000724916
11/1999,40316.72278902462
12/1999,39944.53962510227
01/2000,39489.92537101339
02/2000,35595.103390041564
03/2000,40833.16575155018
04/2000,42191.82172983119
05/2000,43007.465116158295
06/2000,37954.160088527686
07/2000,41720.32948130474
08/2000,47579.87817898385
09/2000,49994.64459127528
10/2000,52241.4259255301
11/2000,51444.5319095873
12/2000,53684.212024217624
01/2001,54889.32075126591
02/2001,55745.35836766873
03/2001,57947.95171048604
04/2001,60465.622578892755
05/2001,65008.14530810975
06/2001,67053.99857196996
07/2001,65821.55668279239
08/2001,61354.89921230753
09/2001,57120.503346661644
10/2001,56704.98503494078
11/2001,61639.397168073585
12/2001,63904.8935330819
01/2002,65238.70195697242
02/2002,67566.04903932849
03/2002,71773.13825385289
04/2002,70171.49618445693
05/2002,68134.41527071597
06/2002,59767.77698782511
07/2002,55891.78584968056
08/2002,56826.62732080258
09/2002,50482.834994754834
