Data,LU1291101555
12/2010,10000
01/2011,9989.022722688183
02/2011,10113.71604679404
03/2011,9998.663858823213
04/2011,10300.281088797024
05/2011,10314.806264561561
06/2011,9890.003425866653
07/2011,9577.4369527381
08/2011,8567.147724329518
09/2011,7962.6957671632235
10/2011,8496.195418940957
11/2011,8244.016188418378
12/2011,8176.66078732268
01/2012,9007.63872630123
02/2012,9542.861569271867
03/2012,9547.734634976374
04/2012,9568.225569575632
05/2012,8889.04487922759
06/2012,9079.522457844025
07/2012,9403.340489097309
08/2012,9620.668650455784
09/2012,9929.727257200357
10/2012,10039.858883812154
11/2012,10093.640764863032
12/2012,10407.48504198115
01/2013,10766.082722744743
02/2013,11178.879361519435
03/2013,11315.547561699783
04/2013,11386.71907023671
05/2013,11802.38360231396
06/2013,11279.436951177815
07/2013,12010.659280625177
08/2013,12142.33575917204
09/2013,12788.774138588968
10/2013,13374.272809966302
11/2013,13619.823821967448
12/2013,13842.874690680374
01/2014,14031.863438700917
02/2014,14947.308319930908
03/2014,14771.140679914626
04/2014,14581.92007852244
05/2014,14927.408876356185
06/2014,14770.259204269403
07/2014,14395.376618429118
08/2014,14606.913898206249
09/2014,14367.240450512569
10/2014,14156.464384317997
11/2014,14481.379843942175
12/2014,14693.443916946107
01/2015,15706.04013938093
02/2015,17116.785037173995
03/2015,17438.491143571897
04/2015,17673.64512214016
05/2015,18308.141176126705
06/2015,17756.884519207288
07/2015,18357.233632483796
08/2015,17353.11461670897
09/2015,16845.886330527486
10/2015,17910.89778007318
11/2015,18642.33575378834
12/2015,18282.018760283736
01/2016,16725.836604910695
02/2016,16630.74354645525
03/2016,17171.64410772718
04/2016,17300.18501464352
05/2016,18019.05859756811
06/2016,16405.81553022981
07/2016,17315.536916795427
08/2016,17575.88929149161
09/2016,17744.411671911064
10/2016,17280.48039994239
11/2016,17485.20168811087
12/2016,18334.01297392253
01/2017,18489.058479912524
02/2017,19087.508084949906
03/2017,19591.60421939843
04/2017,20535.715449333788
05/2017,20738.780153094103
06/2017,20213.930452339348
07/2017,20424.11108576814
08/2017,20296.656535594204
09/2017,21210.338097663793
10/2017,21544.92696696297
11/2017,21241.79176543698
12/2017,21753.022011813486
01/2018,22170.779399494128
02/2018,21527.436461973313
03/2018,21154.425285798934
04/2018,22023.12497686337
05/2018,22381.81148248371
06/2018,22130.516607709502
07/2018,22419.631312695103
08/2018,22295.056009647575
09/2018,21870.90559415062
10/2018,20205.10568769125
11/2018,19509.202904373822
12/2018,18252.599613036415
01/2019,19890.55561075656
02/2019,20558.248186817604
03/2019,20832.642879681815
04/2019,21794.99179153691
05/2019,20506.386350604313
06/2019,21100.43526505726
07/2019,21064.88332746951
08/2019,20703.694527684747
09/2019,21430.739488359413
10/2019,21960.724533521254
11/2019,22964.219221485357
12/2019,23933.51153185731
01/2020,23513.906086656745
02/2020,21608.506688778853
03/2020,17001.450397990848
04/2020,19051.74067887862
05/2020,19973.892246051957
06/2020,20083.924085719864
07/2020,20288.662945942327
08/2020,21415.930622249292
09/2020,21459.250972992486
10/2020,20509.667981380575
11/2020,23616.357279254324
12/2020,24769.494025242835
01/2021,24633.26941204556
02/2021,25331.423874474527
03/2021,26723.958325828295
04/2021,27634.176585592322
05/2021,28345.281303419073
06/2021,28249.694427409075
07/2021,29152.589171079457
08/2021,29808.08306221954
09/2021,28159.149839488065
10/2021,29025.063147113415
11/2021,28034.27707930459
12/2021,29287.92468069461
01/2022,27474.06038461787
02/2022,26199.084044831703
03/2022,26325.412594105965
04/2022,25967.099684911547
05/2022,25583.214286986462
06/2022,22719.89577286267
07/2022,25160.750795968648
08/2022,23257.353466013945
09/2022,20485.034381762187
10/2022,21669.08952616483
