Data,IE00B1FZS913
12/2006,10000
01/2007,9835.418551184539
02/2007,10026.603807868158
03/2007,9854.1229333366
04/2007,9815.147853543029
05/2007,9563.73785298833
06/2007,9364.78147588612
07/2007,9649.4820113014
08/2007,9670.698243559626
09/2007,9618.05762964939
10/2007,9761.500855387434
11/2007,9737.247625597634
12/2007,9680.419401647967
01/2008,9965.641704098232
02/2008,9929.858991580086
03/2008,9861.981813162976
04/2008,9800.292006338497
05/2008,9579.992517691915
06/2008,9449.88653505914
07/2008,9745.106523025215
08/2008,9914.47314770065
09/2008,9838.391231463234
10/2008,9817.752697092266
11/2008,10614.551561197031
12/2008,10803.766537415828
01/2009,10365.694051642315
02/2009,10403.703038179036
03/2009,10540.688897216896
04/2009,10680.249118632519
05/2009,10252.061182856798
06/2009,10469.868882722727
07/2009,10854.169506593073
08/2009,10978.27724282717
09/2009,11096.195735648822
10/2009,11033.88354589199
11/2009,11217.545134996468
12/2009,11051.467037240578
01/2010,11216.074860810904
02/2010,11380.689942635683
03/2010,11495.745037659943
04/2010,11552.001063852802
05/2010,11749.523978853165
06/2010,11754.980427564262
07/2010,11907.16743214988
08/2010,12795.837488547983
09/2010,12490.259825322528
10/2010,12336.026470386707
11/2010,11766.92868414068
12/2010,11507.687641323244
01/2011,11430.367168892995
02/2011,11360.817157389107
03/2011,11231.43745268485
04/2011,11444.849461063846
05/2011,11611.911046755296
06/2011,11433.535659009272
07/2011,11514.473153068167
08/2011,11839.533402590336
09/2011,12145.399844234413
10/2011,11725.68712422392
11/2011,11364.938539957391
12/2011,12136.029839472865
01/2012,12299.41200837471
02/2012,12705.43199401988
03/2012,12658.203456436266
04/2012,12618.112676665029
05/2012,13286.892796381175
06/2012,12698.39010426162
07/2012,13083.679774169945
08/2012,13177.406852359445
09/2012,13348.284409688657
10/2012,13503.623003031038
11/2012,13830.077351917447
12/2012,14113.272071299509
01/2013,13929.639820357565
02/2013,13836.90305005685
03/2013,14040.328703307776
04/2013,14770.62973514559
05/2013,14330.435267495932
06/2013,13969.20546579358
07/2013,14057.992836986785
08/2013,13865.354427187473
09/2013,13985.085348094719
10/2013,14284.787149825472
11/2013,14290.939750811815
12/2013,14177.710453674943
01/2014,14816.758441178055
02/2014,15022.241254438673
03/2014,15285.917217715534
04/2014,15622.173258166524
05/2014,15893.031668171083
06/2014,16161.895131234725
07/2014,16501.224345892537
08/2014,17303.216442040673
09/2014,17212.73070035767
10/2014,17352.02067777917
11/2014,17955.659850653516
12/2014,18544.679538529566
01/2015,19980.763558616192
02/2015,20256.24123313948
03/2015,21180.93860538843
04/2015,20258.317876456127
05/2015,19346.335052919232
06/2015,17959.625701098295
07/2015,19052.707611707654
08/2015,18512.012851449144
09/2015,19078.715507590205
10/2015,19521.3129169801
11/2015,19525.701157852003
12/2015,19080.60306391152
01/2016,19982.309191162974
02/2016,20509.343759275445
03/2016,20774.50971927877
04/2016,20124.290672544226
05/2016,20618.77384944024
06/2016,22031.26092281171
07/2016,22441.141149935564
08/2016,22187.69973728824
09/2016,22242.612632136963
10/2016,21007.76785617235
11/2016,20174.40552108639
12/2016,20353.829325498893
01/2017,19376.942488858538
02/2017,19872.487613456353
03/2017,19595.580175560215
04/2017,19750.815649819066
05/2017,19901.349633885333
06/2017,19735.12421415734
07/2017,19775.633635578808
08/2017,20151.943586151214
09/2017,19871.720993263043
10/2017,20370.281669032396
11/2017,20556.07678186513
12/2017,20115.557862489833
01/2018,20194.12603700622
02/2018,20246.41646557596
03/2018,20960.699272549216
04/2018,20787.334335241354
05/2018,20455.519217762103
06/2018,20628.837710224325
07/2018,20456.08885542001
08/2018,20292.520747796483
09/2018,20234.010510073967
10/2018,20145.416178157768
11/2018,20313.73503052439
12/2018,20725.31845485175
01/2019,21183.246485386568
02/2019,20904.010638330445
03/2019,21772.556335483645
04/2019,21713.199648307254
05/2019,22321.098152851362
06/2019,23491.447279292493
07/2019,24333.689723746564
08/2019,25891.370923524883
09/2019,25683.024224435478
10/2019,25044.643298634208
11/2019,24525.58726195012
12/2019,23914.737742755224
01/2020,25324.326961938972
02/2020,25687.807718591575
03/2020,24335.201359923358
04/2020,24718.974069123586
05/2020,24631.016451683812
06/2020,25083.284385814273
07/2020,25710.217062004212
08/2020,25182.866056570867
09/2020,26050.68571008969
10/2020,26630.400435027972
11/2020,26681.825008923028
12/2020,26798.44586786806
01/2021,26407.362889945358
02/2021,25358.42869670986
03/2021,25267.199310302283
04/2021,24633.444608646598
05/2021,24597.21413995122
06/2021,24882.347990439765
07/2021,25922.31992456296
08/2021,25612.44800847752
09/2021,24973.210639625195
10/2021,25019.036819298803
11/2021,25788.498934396594
12/2021,24894.59112410835
01/2022,24438.071647699166
02/2022,23472.81745259796
03/2022,22593.357426136135
04/2022,20617.292671043026
05/2022,19650.0142354645
06/2022,18822.25284955061
07/2022,20491.59611154925
08/2022,18483.162313873385
09/2022,17044.749813141487
10/2022,16983.88889079401
11/2022,18245.068386897743
12/2022,16248.030350019008
01/2023,17143.72870720889
02/2023,16301.264773111243
03/2023,16975.82085662894
04/2023,16831.36517428936
05/2023,16867.00759863576
06/2023,17090.896709265016
07/2023,16779.19876703826
08/2023,16762.60927005672
09/2023,15593.219600026205
10/2023,15491.06349235647
11/2023,16611.8799587898
12/2023,17928.79848696718
01/2024,17633.45465693922
02/2024,17368.950690216705
03/2024,17727.685476998435
04/2024,17155.7505081343
