Data,IE0032895942
05/2003,10000
06/2003,10304.25604875564
07/2003,9828.433742920673
08/2003,10271.184895647175
09/2003,10015.522977932542
10/2003,9910.518728428493
11/2003,9619.679097471408
12/2003,9262.865382333966
01/2004,9552.40885416729
02/2004,9654.620382337407
03/2004,9916.827528249389
04/2004,9757.510857434007
05/2004,9456.46198749739
06/2004,9542.846231739759
07/2004,9767.141757817053
08/2004,9979.443301955327
09/2004,9811.85319050794
10/2004,9666.29688629649
11/2004,9154.160376720532
12/2004,9064.611404979632
01/2005,9545.423261168087
02/2005,9306.282813679834
03/2005,9375.381805608915
04/2005,9534.787236386834
05/2005,10167.037579266815
06/2005,10450.19492475582
07/2005,10292.811112650641
08/2005,10366.535150553738
09/2005,10301.487455674931
10/2005,10149.099350735773
11/2005,10446.481240970472
12/2005,10533.045464640545
01/2006,10227.748632174731
02/2006,10470.497834140207
03/2006,10112.488718200593
04/2006,9711.632314183726
05/2006,9444.50359371085
06/2006,9568.426058676869
07/2006,9679.140402287541
08/2006,9806.267673834385
09/2006,10065.58051061072
10/2006,10108.948688059425
11/2006,9867.43412558119
12/2006,9790.989602618485
01/2007,9937.348147104603
02/2007,9966.912142437348
03/2007,9824.296127660096
04/2007,9664.821099074197
05/2007,9677.275287565037
06/2007,9557.314874080894
07/2007,9452.49004020777
08/2007,9509.03751954464
09/2007,9298.282240815513
10/2007,9242.12305715591
11/2007,9086.504673836069
12/2007,9095.773874766748
01/2008,9104.719324312173
02/2008,8861.914628871524
03/2008,8319.65176319434
04/2008,8641.24791198076
05/2008,8558.376061292896
06/2008,8324.508123415426
07/2008,8338.865445397332
08/2008,8935.463032606554
09/2008,8041.963580549914
10/2008,8612.052944884228
11/2008,9114.842222558365
12/2008,9445.733595952752
01/2009,9942.121471561131
02/2009,9547.736889114025
03/2009,9058.251867766132
04/2009,9219.128054230738
05/2009,9042.129732436775
06/2009,9232.309452001648
07/2009,9604.688470993056
08/2009,9806.409930769925
09/2009,9780.96883045121
10/2009,9705.361720250628
11/2009,9712.167545695062
12/2009,10051.30820846312
01/2010,10481.920384187528
02/2010,10833.379900661253
03/2010,11027.741112445465
04/2010,11307.14168025452
05/2010,12155.306615286547
06/2010,12562.138157800093
07/2010,12135.622551970606
08/2010,12750.851074333552
09/2010,11929.91324205576
10/2010,11729.078978083766
11/2010,12390.81508374576
12/2010,11931.209669791104
01/2011,11687.285978780299
02/2011,11616.61922880263
03/2011,11270.341084065156
04/2011,10982.281736357258
05/2011,11486.395896596836
06/2011,11351.685813439048
07/2011,11742.033254099291
08/2011,11524.12308806245
09/2011,12144.255049568033
10/2011,12058.029624904573
11/2011,12195.917925162195
12/2011,13023.371019563936
01/2012,13162.789817228879
02/2012,13098.964815452993
03/2012,13103.358371592
04/2012,13391.620535095348
05/2012,14259.869628102526
06/2012,14284.119083729205
07/2012,15078.538227116505
08/2012,14706.294065429012
09/2012,14609.235424944794
10/2012,14694.961647993947
11/2012,14714.618647352123
12/2012,14516.05797508289
01/2013,13974.027832639158
02/2013,14534.042285448004
03/2013,14891.43595321925
04/2013,14911.18105723813
05/2013,14510.933321922748
06/2013,13938.407792667695
07/2013,13865.582404785739
08/2013,13838.304407794949
09/2013,13633.905652797252
10/2013,13754.907647066899
11/2013,13737.566823213698
12/2013,13546.82611990389
01/2014,14092.952802102353
02/2014,13966.939928836015
03/2014,14002.198632048427
04/2014,14104.947529523026
05/2014,14589.466299483425
06/2014,14547.599194423205
07/2014,14818.131811392128
08/2014,15323.615983382317
09/2014,15771.428743720699
10/2014,16032.38949203082
11/2014,16240.632698221141
12/2014,16687.75542074161
01/2015,18524.760788246447
02/2015,18412.70622850393
03/2015,19312.59251839763
04/2015,18308.362582630285
05/2015,18590.050995698894
06/2015,17852.37858579494
07/2015,18326.185868041815
08/2015,17796.176779396414
09/2015,17980.05928454832
10/2015,18410.589250515415
11/2015,19147.21530573823
12/2015,18436.05477639799
01/2016,18376.260272799675
02/2016,18635.65607303139
03/2016,18454.87141262356
04/2016,18719.969190788175
05/2016,19070.20171300375
06/2016,19689.423167176257
07/2016,19961.813852545707
08/2016,19971.20301261805
09/2016,19839.277827857055
10/2016,19967.5285609257
11/2016,19908.075610202282
12/2016,20213.38222068114
01/2017,19844.995266887774
02/2017,20411.034477816265
03/2017,20169.970997523233
04/2017,19958.75413397891
05/2017,19719.59039355224
06/2017,19460.574673995612
07/2017,19080.557410722482
08/2017,19063.05070602262
09/2017,19074.31604321982
10/2017,19421.91794034236
11/2017,19030.991964501478
12/2017,19022.664543274906
01/2018,18090.8896518108
02/2018,18065.92161576184
03/2018,17966.00187945203
04/2018,18100.27992563284
05/2018,18793.28770545827
06/2018,18716.917252649473
07/2018,18805.94943558014
08/2018,18999.001151481814
09/2018,19054.867195504474
10/2018,19122.687915971434
11/2018,18987.723821310694
12/2018,19155.892163730125
01/2019,19695.779797764102
02/2019,19817.54895274965
03/2019,20725.87508562761
04/2019,20880.72328921716
05/2019,21317.16246953034
06/2019,21554.024367590046
07/2019,22110.268293732464
08/2019,23161.926848171446
09/2019,23269.845575991123
10/2019,22856.066609835223
11/2019,23299.71267590273
12/2019,22852.40166056016
01/2020,23840.305551516994
02/2020,24307.63221016223
03/2020,22662.64780182815
04/2020,24100.418054624115
05/2020,23940.715115811432
06/2020,24304.96604004502
07/2020,23791.77229057561
08/2020,23165.67589676205
09/2020,23543.169394930865
10/2020,23497.344738353313
11/2020,23708.76479752764
12/2020,23237.84649218515
01/2021,23090.19480124097
02/2021,22516.37538969347
03/2021,22976.809718181088
04/2021,22533.595000271675
05/2021,22529.313289019952
06/2021,23589.91093396957
07/2021,23916.94069668593
08/2021,23946.646187998216
09/2021,24152.48270014997
10/2021,24095.421190238852
11/2021,24676.15188060603
12/2021,24751.808917294005
01/2022,24163.102945284023
02/2022,23528.624574295834
03/2022,23134.07553341908
04/2022,22749.81176730529
05/2022,22659.79744315571
06/2022,22583.201057973205
07/2022,23955.98337409488
08/2022,23498.830985767607
09/2022,22628.46903286938
10/2022,22018.859569287994
11/2022,22320.901215342128
12/2022,21529.99208223019
01/2023,22253.98624534174
02/2023,21764.472829559472
03/2023,22048.781590714847
04/2023,21985.07690629556
05/2023,22193.82456651587
06/2023,21963.841581548368
07/2023,21698.52280085468
08/2023,21747.91804203367
09/2023,21547.900703101583
10/2023,20963.42182708602
11/2023,21890.161290497537
12/2023,22700.145421522433
01/2024,23101.078440028847
02/2024,22641.81207828831
03/2024,23023.923058926965
04/2024,22468.02825690303
