Data,IE000716YHJ7
06/2010,13494.077387024172
07/2010,13743.503980751228
08/2010,13623.442245646907
09/2010,13881.175934725916
10/2010,14154.4839265717
11/2010,14728.353954532624
12/2010,15387.577415775362
01/2011,15242.808326126118
02/2011,15509.659446218313
03/2011,15099.108858949874
04/2011,15024.416972989462
05/2011,15177.569242850093
06/2011,14873.21438446131
07/2011,14819.41681658312
08/2011,13549.231869170686
09/2011,13115.494572551408
10/2011,14005.79513698567
11/2011,14158.615391179204
12/2011,14641.033414098083
01/2012,15237.133986147217
02/2012,15685.219470424434
03/2012,15876.319871640331
04/2012,15858.564225583597
05/2012,15376.177955285071
06/2012,15895.802371275046
07/2012,16516.83606043464
08/2012,16433.40565766996
09/2012,16538.93382935039
10/2012,16360.157323669246
11/2012,16576.61792017251
12/2012,16700.704918029973
01/2013,17007.672040637157
02/2013,17539.189136871497
03/2013,18295.058809809496
04/2013,18438.325204521807
05/2013,18482.593903781017
06/2013,17841.115593712908
07/2013,18413.13004083137
08/2013,18082.26125371965
09/2013,18639.875035053006
10/2013,19191.745231773126
11/2013,19501.304308459723
12/2013,19573.880517361864
01/2014,19171.738323014193
02/2014,19643.12572450941
03/2014,19780.924154346587
04/2014,19872.789217762776
05/2014,20662.669713460764
06/2014,20978.502159022923
07/2014,21156.220368857008
08/2014,21932.973905096303
09/2014,22245.790962567433
10/2014,22499.994784830917
11/2014,22948.004883723224
12/2014,23139.549276718706
01/2015,24477.97721006198
02/2015,25975.5026908817
03/2015,26719.198447674124
04/2015,26378.362286556778
05/2015,26945.388008143247
06/2015,25793.712204799496
07/2015,26533.009420723476
08/2015,24179.338680219036
09/2015,23324.703734434326
10/2015,25568.568222497295
11/2015,26406.58107022588
12/2015,25208.06781648343
01/2016,23606.68859152673
02/2016,23503.46738461887
03/2016,24158.232447159713
04/2016,24473.20112606536
05/2016,25049.41843015442
06/2016,25006.906151171544
07/2016,26057.606048971888
08/2016,26089.41645981057
09/2016,26173.66484999089
10/2016,26247.218173170313
11/2016,27217.52386171383
12/2016,28075.28291785604
01/2017,28255.39897932157
02/2017,29489.91708869311
03/2017,29582.548339595447
04/2017,29382.408837043087
05/2017,29241.091621773972
06/2017,28864.84073869258
07/2017,28853.27822186977
08/2017,28724.135905027237
09/2017,29323.18374893805
10/2017,30366.08195203013
11/2017,30405.263915955824
12/2017,30546.737324389393
01/2018,31052.297121649113
02/2018,30346.791481556265
03/2018,29426.791793329452
04/2018,30301.306101014703
05/2018,31292.417917911378
06/2018,31208.241221441156
07/2018,31934.414927155467
08/2018,32389.620369858625
09/2018,32749.24104006426
10/2018,30985.287866269933
11/2018,31320.74138386885
12/2018,28889.621844354508
01/2019,31031.029205964198
02/2019,32040.93445017852
03/2019,32964.755647425794
04/2019,34122.692150220224
05/2019,32298.329113484575
06/2019,33690.07606834294
07/2019,34469.43369372899
08/2019,34005.38956485178
09/2019,35213.62543966016
10/2019,35331.818937259064
11/2019,36745.91682692127
12/2019,37200.52444800381
01/2020,37374.95788541686
02/2020,34581.25487624844
03/2020,29957.462594149245
04/2020,33382.150288355195
05/2020,34038.5537680899
06/2020,34910.41041532271
07/2020,34691.36771933387
08/2020,36553.66629546582
09/2020,36074.27725706765
10/2020,35203.57026664367
11/2020,38622.7383378996
12/2020,39451.46459022963
01/2021,39705.854999322735
02/2021,40677.16485215158
03/2021,43216.478779558245
04/2021,43742.487460382436
05/2021,44003.40320191845
06/2021,45717.0577428419
07/2021,45974.16536899803
08/2021,47338.146444411694
09/2021,46405.64972219683
10/2021,48439.702842299725
11/2021,48382.1318094553
12/2021,50532.01859566024
01/2022,48831.01862416901
02/2022,47398.92307401976
03/2022,48836.87450975555
04/2022,47365.36655661215
05/2022,46648.36424402038
06/2022,44066.06485012373
07/2022,47942.39350192235
08/2022,47121.311964496235
09/2022,43706.573083149815
10/2022,45520.051322553256
11/2022,46885.17119218576
12/2022,43895.02749035237
01/2023,46268.47374268741
02/2023,45837.16107660434
03/2023,46102.414889301675
04/2023,46334.94895669429
05/2023,47110.03046191711
06/2023,48937.70035787315
07/2023,49997.97314435991
08/2023,49319.3943735067
09/2023,48545.56083252285
10/2023,46967.02416108325
11/2023,49807.04821299699
12/2023,51615.073442296976
01/2024,52929.37691991711
02/2024,55202.67451248471
03/2024,56965.45249615961
04/2024,55597.3402817231
