Data,IE0007P4PBU1
07/1999,5422.376942699422
08/1999,5439.411630027449
09/1999,5175.520602144181
10/1999,4852.938969132316
11/1999,4927.136484013276
12/1999,4578.360268150235
01/2000,4491.534825870235
02/2000,3695.053636342981
03/2000,3842.49370574836
04/2000,4420.9041699459585
05/2000,4393.378006258583
06/2000,4847.476964819005
07/2000,4915.635125640395
08/2000,4892.893674817781
09/2000,4365.688540916446
10/2000,4333.092966761865
11/2000,3639.5980252554195
12/2000,3423.6664951701196
01/2001,3924.376898046354
02/2001,3582.775819838264
03/2001,3142.226630829908
04/2001,3443.265143053533
05/2001,3701.559878282569
06/2001,3822.7663243450193
07/2001,3200.272130465901
08/2001,2396.529119598147
09/2001,2321.239595953039
10/2001,2403.3290013362757
11/2001,2679.7295524196406
12/2001,2713.982121591864
01/2002,2508.840344234387
02/2002,2524.400326381095
03/2002,2643.8770564725605
04/2002,2671.866213257894
05/2002,2602.6364904686984
06/2002,2366.2657205862843
07/2002,2306.7985369858857
08/2002,2249.845916277303
09/2002,2064.4660159146374
10/2002,2074.9790301296352
11/2002,2146.6343113464814
12/2002,1954.7837910052947
01/2003,1985.4648269851123
02/2003,1941.6505465812365
03/2003,1847.044596199238
04/2003,1809.8271656051515
05/2003,1921.3625163676206
06/2003,2114.706325873527
07/2003,2346.2190844892766
08/2003,2591.3375085880225
09/2003,2448.3462261522973
10/2003,2827.1058612346064
11/2003,2766.2673179594785
12/2003,3036.169449034034
01/2004,3075.826452590202
02/2004,3257.639838411545
03/2004,3029.729309407415
04/2004,2694.2700977772747
05/2004,2819.393490064435
06/2004,2811.3678661132262
07/2004,2848.3430377139753
08/2004,2842.408687993289
09/2004,2979.113744755931
10/2004,2830.96148888793
11/2004,2984.479590439623
12/2004,2860.3726543233142
01/2005,2923.2585402425634
02/2005,3086.5254773720785
03/2005,2992.9373715834026
04/2005,3006.1211540472045
05/2005,3188.740115464396
06/2005,3386.7344379221795
07/2005,3631.3341476717446
08/2005,3618.9983072433547
09/2005,3880.612699016509
10/2005,3505.1152049899983
11/2005,3832.0430519146335
12/2005,3944.692870780561
01/2006,4379.711904142063
02/2006,4609.068085668109
03/2006,4665.254623386804
04/2006,4739.05233396721
05/2006,4378.007661452881
06/2006,4522.087115262398
07/2006,4621.38832894323
08/2006,4690.249127740298
09/2006,4937.047134380712
10/2006,5261.578121890722
11/2006,5612.598268011352
12/2006,6444.344166534071
01/2007,6272.583979341794
02/2007,6041.009031780688
03/2007,6222.052382077415
04/2007,6318.5537362131245
05/2007,6869.888635485936
06/2007,7631.173413077776
07/2007,8295.082668303061
08/2007,8892.074064737744
09/2007,10306.47825167396
10/2007,11791.451930397026
11/2007,9978.143744127205
12/2007,9558.011949579928
01/2008,7419.926618523988
02/2008,8057.060903444243
03/2008,6785.433678264387
04/2008,7980.323886038955
05/2008,7598.554114587915
06/2008,6565.956472643415
07/2008,6781.55603443227
08/2008,6595.2128199118315
09/2008,5407.590216332639
10/2008,4682.778775490942
11/2008,4906.333171485179
12/2008,4956.746213508851
01/2009,4934.474332692096
02/2009,4841.778416866602
03/2009,5249.0083868920565
04/2009,5845.218147645784
05/2009,6459.639385977017
06/2009,6707.7669415396
07/2009,7430.829536486724
08/2009,6841.875040063882
09/2009,6978.729280254294
10/2009,7347.999187347712
11/2009,7415.015894114118
12/2009,7766.565972169332
01/2010,7317.615244082491
02/2010,7694.616327751139
03/2010,8164.357957770633
04/2010,8235.486689767606
05/2010,8430.560503531324
06/2010,8560.744369699443
07/2010,8413.592456910876
08/2010,8404.644649882814
09/2010,8517.005949929979
10/2010,8713.109467498665
11/2010,9065.940125737017
12/2010,8753.82266394989
01/2011,8496.392120520826
02/2011,8255.575428625287
03/2011,8464.661850621116
04/2011,8222.159499899657
05/2011,8522.614732054566
06/2011,8169.5725814151165
07/2011,8210.129341335027
08/2011,7345.261989581156
09/2011,6536.945437901882
10/2011,7258.811230675205
11/2011,6936.222443868828
12/2011,7369.876678949113
01/2012,8019.080676343439
02/2012,8370.156389254105
03/2012,7842.515576874538
04/2012,8206.627661056733
05/2012,7824.273361160334
06/2012,7876.6779039551575
07/2012,8186.881158100254
08/2012,7722.761473537313
09/2012,8026.518308126054
10/2012,8442.101830841799
