Data,IE00B4TS3815
03/1995,77636.94824672746
04/1995,87103.37858329502
05/1995,90415.09189818954
06/1995,91012.80309841473
07/1995,92690.43078600863
08/1995,96543.9857703434
09/1995,96900.70849864447
10/1995,87669.82937211132
11/1995,89394.3206707134
12/1995,93525.38623434969
01/1996,104319.49224316851
02/1996,98824.95111321477
03/1996,99951.02527449043
04/1996,106334.66320210871
05/1996,111033.10264820735
06/1996,112943.30388536719
07/1996,106787.2235661865
08/1996,108743.88555576994
09/1996,112139.56986977372
10/1996,111335.41642374895
11/1996,110899.14594668368
12/1996,116644.78240269674
01/1997,131552.63385060453
02/1997,146301.82646105177
03/1997,145669.83649884688
04/1997,153714.72414791238
05/1997,164027.70241943016
06/1997,180007.61874830918
07/1997,195322.85551182533
08/1997,181544.18141048905
09/1997,193642.11257164605
10/1997,153914.02659478207
11/1997,155824.4853004337
12/1997,170584.09497773944
01/1998,155038.75446501994
02/1998,162745.4995174595
03/1998,174845.23959332635
04/1998,169594.84615728538
05/1998,145325.27178864993
06/1998,137657.21352047194
07/1998,144741.22063653023
08/1998,94075.21154072459
09/1998,98822.51022808811
10/1998,102481.59510038991
11/1998,113538.80001748819
12/1998,104039.11174345869
01/1999,94665.70105495723
02/1999,104004.59722742773
03/1999,128311.03273410628
04/1999,148739.18511736416
05/1999,145958.83034483303
06/1999,154732.46912555565
07/1999,137859.41417817704
08/1999,135166.43730776006
09/1999,136122.17664636855
10/1999,141946.27847656363
11/1999,165415.07500878512
12/1999,192340.68923343418
01/2000,188816.0444533112
02/2000,204824.76779223906
03/2000,209902.1034345997
04/2000,196792.67263123803
05/2000,182710.60292911573
06/2000,194034.27603172214
07/2000,196345.39496319057
08/2000,208593.3074207585
09/2000,199351.58960534196
10/2000,200211.6414577938
11/2000,176160.27333190755
12/2000,172200.24433883576
01/2001,197424.08848611885
02/2001,180616.89543949591
03/2001,177246.61542619087
04/2001,187619.346304656
05/2001,202173.4774980382
06/2001,200005.65926330216
07/2001,182723.3480881317
08/2001,168521.66286149118
09/2001,142009.40154223208
10/2001,149022.3555279272
11/2001,160463.64794236165
12/2001,180027.28570721156
01/2002,183430.071930166
02/2002,189326.06722868618
03/2002,196346.7177827561
