Data,IE00B3VWN518
04/2022,24338.65446704993
05/2022,24107.383459792567
06/2022,24624.291606729057
07/2022,25841.48340409182
08/2022,25343.638880372753
09/2022,24774.07708334745
10/2022,24007.63478787783
11/2022,23759.773147268028
12/2022,22859.075712932976
01/2023,23220.7117637013
02/2023,22927.478548503044
03/2023,23211.487305538787
04/2023,23180.52630264015
05/2023,23483.889086142757
06/2023,22794.458809654872
07/2023,22334.911818825203
08/2023,22483.160091396763
09/2023,22343.8042499115
10/2023,21861.57633384611
11/2023,22187.95097659698
12/2023,22793.862869573815
01/2024,23245.786004239933
02/2024,22790.35725455882
03/2024,22979.14243124209
04/2024,22474.38369412756
