Data,IE00BF4J0300
12/2013,8729.067253660618
01/2014,8753.178703293916
02/2014,9297.079870629348
03/2014,9333.474369680609
04/2014,9559.018081037817
05/2014,9282.200106574404
06/2014,9335.795771085874
07/2014,8868.705636507031
08/2014,8774.320023632044
09/2014,8226.299972796513
10/2014,8158.580014225275
11/2014,7824.921066705587
12/2014,7226.519662272693
01/2015,6983.984015524078
02/2015,7162.421970339264
03/2015,6793.139264755649
04/2015,7181.207209811429
05/2015,6985.953632563675
06/2015,7105.152011847975
07/2015,6349.38395872185
08/2015,6289.730521080761
09/2015,6073.527094782387
10/2015,6045.192298899503
11/2015,5605.343860110786
12/2015,5431.275542762344
01/2016,5338.930409858657
02/2016,5251.081422768383
03/2016,5450.650500653076
04/2016,5913.46740504899
05/2016,5901.314801019485
06/2016,6143.823399920406
07/2016,5828.7041653688675
08/2016,5724.757536414319
09/2016,5902.7574536645725
10/2016,5872.809692490165
11/2016,5950.044261823835
12/2016,6056.003660597663
01/2017,6063.006774766321
02/2017,6074.455379567048
03/2017,5911.756797184143
04/2017,5821.297785287468
05/2017,5742.844529168611
06/2017,5730.754603693748
07/2017,5859.169177826692
08/2017,5881.580303407217
09/2017,5871.519424954681
10/2017,5996.412307605724
11/2017,5967.545158615234
12/2017,6144.619852215831
01/2018,6265.286309843579
02/2018,6155.816843263221
03/2018,6116.359272351573
04/2018,6273.129436287036
05/2018,6360.579528593863
06/2018,6136.90714172535
07/2018,6004.722697645017
08/2018,5897.481848559035
09/2018,6009.13856559239
10/2018,5878.422095775867
11/2018,5843.852094193299
12/2018,5440.328673086984
01/2019,5735.577067757179
02/2019,5792.323795207821
03/2019,5780.950792836727
04/2019,5755.284624048772
05/2019,5560.815905003341
06/2019,5708.745313624536
07/2019,5669.499900966701
08/2019,5536.730744106612
09/2019,5600.577367131942
10/2019,5712.679220044562
11/2019,5565.362803532944
12/2019,5844.642055425043
01/2020,5413.620092123686
02/2020,5139.733042157643
03/2020,4480.444281664628
04/2020,4410.613056444954
05/2020,4600.876738681522
06/2020,4705.185410094245
07/2020,4972.695156291551
08/2020,5307.964069998944
09/2020,5129.133515617806
10/2020,5200.35378326904
11/2020,5382.097585298954
12/2020,5648.532504751332
01/2021,5795.87889721702
02/2021,6169.565757360741
03/2021,6035.838835414407
04/2021,6535.020866115392
05/2021,6712.221921675896
06/2021,6835.167340321584
07/2021,6959.418134329584
08/2021,6937.3761628442635
09/2021,7281.215973853639
10/2021,7467.906595066668
11/2021,6920.352159109065
12/2021,7162.8497010100855
01/2022,7790.4492577874835
02/2022,8274.10361085802
03/2022,8987.791108443327
04/2022,9358.132921076292
05/2022,9499.208363162279
06/2022,8473.563142141196
07/2022,8833.308037329833
08/2022,8839.309148035827
09/2022,8120.685402590971
10/2022,8280.766038233009
11/2022,8505.924704365567
12/2022,8296.01295279002
01/2023,8253.529903467688
02/2023,7864.299262098554
03/2023,7846.538471177875
04/2023,7785.962492843953
05/2023,7345.48413799334
06/2023,7640.611629283303
07/2023,8117.25356526004
08/2023,8053.301143079213
09/2023,7995.774137286302
10/2023,8015.391972209037
11/2023,7833.312099145238
12/2023,7621.007829863708
01/2024,7649.775140230241
02/2024,7535.852412720037
03/2024,7783.6450608823225
04/2024,7991.648006586208
