Data,IE00BP3QZD73
01/2021,65114.29883660708
02/2021,67289.24077076824
03/2021,71404.59940263341
04/2021,71740.02470946514
05/2021,72321.51166156863
06/2021,74147.6618082007
07/2021,74479.09084845752
08/2021,76464.80603192213
09/2021,75469.81251797006
10/2021,77432.2553082042
11/2021,76032.88350717405
12/2021,79103.91718815723
01/2022,75287.82075744186
02/2022,74601.3215659617
03/2022,75928.80449995802
04/2022,74166.36754094063
05/2022,73236.73065505509
06/2022,68226.11394758575
07/2022,74446.33761434419
08/2022,72932.58763490042
09/2022,67010.53275333162
10/2022,69627.17514906907
11/2022,72185.4970792206
12/2022,68802.9368326787
01/2023,73720.9290212472
02/2023,73062.68161394678
03/2023,71199.86521814813
04/2023,71244.37651983292
05/2023,70492.58453966478
06/2023,72865.57052364046
07/2023,75423.1207040525
08/2023,73561.19417592684
09/2023,72106.58054151235
10/2023,67903.2291849515
11/2023,72509.81416331575
12/2023,77038.18327640276
01/2024,77233.83686326363
02/2024,78853.91875473101
03/2024,81960.6450033502
04/2024,79319.63216670007
