Data,IE00B5L8K969
08/1997,37612.6677289482
09/1997,34776.667979875325
10/1997,27711.98030253894
11/1997,23845.22009966411
12/1997,23011.63515304604
01/1998,22714.122833899622
02/1998,27531.30765657557
03/1998,27374.98752286493
04/1998,25007.816353570503
05/1998,20817.829612756657
06/1998,18014.12065702519
07/1998,17981.236063665987
08/1998,14709.036662080178
09/1998,14684.077638865976
10/1998,16015.296447866078
11/1998,18442.939443249543
12/1998,19330.30577238857
01/1999,20406.43946271288
02/1999,20264.333693523186
03/1999,23486.248815704286
04/1999,26984.20537437225
05/1999,28137.758290079535
06/1999,34162.25114410447
07/1999,32195.487229446167
08/1999,33933.97189306424
09/1999,30527.08741506068
10/1999,31737.145665725846
11/1999,35638.67535315394
12/1999,38249.39486269683
01/2000,41752.49541183046
02/2000,40230.286750843225
03/2000,41965.19096416631
04/2000,38905.485357386206
05/2000,36034.383975579614
06/2000,36256.815915750325
07/2000,34314.018839870965
08/2000,34881.31464708973
09/2000,30766.227389844546
10/2000,28921.17033827032
11/2000,26799.929996981125
12/2000,23989.28267663551
01/2001,28709.445628115467
02/2001,27113.08995563308
03/2001,25351.136625046063
04/2001,25235.54218278789
05/2001,26632.97707638675
06/2001,26117.726233931684
07/2001,23912.642280772736
08/2001,22860.275138362773
09/2001,19477.88906206216
10/2001,20993.86324158882
11/2001,24375.720694466298
12/2001,26841.858307686452
01/2002,28670.183493416695
02/2002,29457.545927762578
03/2002,31295.044764014816
04/2002,30378.81741624043
05/2002,28634.18987377837
06/2002,25747.469530795348
07/2002,25206.038690248977
08/2002,24801.422544072237
09/2002,21740.898435280007
10/2002,22773.266741635067
11/2002,24160.182924785706
12/2002,21442.26739328488
01/2003,21133.894722383306
02/2003,20077.59616062934
03/2003,18869.044025450476
04/2003,19296.37915721919
05/2003,19725.700119676658
06/2003,22001.832940188284
07/2003,24272.274586998676
08/2003,26891.784890117575
09/2003,24979.345704834483
10/2003,27597.727439999777
11/2003,26339.836656682855
12/2003,26826.069126503993
01/2004,28797.44104290672
02/2004,29783.312965450445
03/2004,30058.376475113182
04/2004,28858.854147781316
05/2004,26991.508303298968
06/2004,26707.50785267903
07/2004,26016.28665557538
08/2004,27051.148695068627
