Data,IE00B52MJY50
02/1989,53765.5744772158
03/1989,55047.64727724115
04/1989,57198.68078109167
05/1989,56959.043382829084
06/1989,55613.61764709805
07/1989,57974.007286998705
08/1989,61420.24668266329
09/1989,64096.09830300533
10/1989,59603.28545503991
11/1989,58809.333664059166
12/1989,58883.559490022606
01/1990,56800.15370782959
02/1990,55330.4826716852
03/1990,55566.60597136846
04/1990,52022.3474495069
05/1990,56019.14236113897
06/1990,58179.17624980672
07/1990,59440.474877874396
08/1990,52482.18815259918
09/1990,47755.70045381459
10/1990,45777.71833261264
11/1990,44469.00445899748
12/1990,44989.72100262466
01/1991,47804.131503000484
02/1991,51491.13313117617
03/1991,57416.53833596773
04/1991,62510.57032198898
05/1991,63568.29255225318
06/1991,65676.74424652058
07/1991,69585.29396788873
08/1991,67195.77744832667
09/1991,66012.18127582566
10/1991,68383.09640758416
11/1991,65180.12506788014
12/1991,64596.79684398433
01/1992,66526.94792824384
02/1992,70137.04372187426
03/1992,71500.29590956122
04/1992,74205.4999682007
05/1992,77718.63465704463
06/1992,74725.56385353133
07/1992,69362.24584933325
08/1992,63749.251620423944
09/1992,64158.073906021906
10/1992,68909.97913945882
11/1992,71997.16445051532
12/1992,72526.46390097459
01/1993,74482.52245798866
02/1993,82199.06358683186
03/1993,83996.32041325918
04/1993,85283.01441928797
05/1993,88752.85443699169
06/1993,88556.22842913598
07/1993,95558.22349046986
08/1993,103548.67524705379
09/1993,101335.7565152007
10/1993,119088.1888044633
11/1993,118616.46405167277
12/1993,143162.73037132891
01/1994,141097.16635760458
02/1994,133690.15429904108
03/1994,117002.24509293628
04/1994,122769.81415811733
05/1994,124078.62055984927
06/1994,116635.17703221615
07/1994,118977.68342114394
08/1994,127098.68338572631
09/1994,122414.48980768608
10/1994,121990.25358549088
11/1994,113862.8420287745
12/1994,114380.98756868474
01/1995,102355.94205413568
02/1995,110674.94881645935
03/1995,107478.48673246676
04/1995,106802.21506622789
05/1995,115796.994897992
06/1995,112641.52340616491
07/1995,115911.32780085267
08/1995,116243.1699921863
09/1995,119229.05605129723
10/1995,115291.68470303435
11/1995,116548.95551977336
12/1995,123033.46372078278
01/1996,132783.7100464102
02/1996,135555.13899393103
03/1996,137212.37533200384
04/1996,142175.76447228066
05/1996,142436.19465387662
06/1996,138680.54686540962
07/1996,129703.15219402032
08/1996,134292.19091350652
09/1996,138930.70555355094
10/1996,143165.81753644132
11/1996,148883.29804132905
12/1996,152485.78901389905
01/1997,154765.51814630826
02/1997,163813.70000655123
03/1997,158036.36531789944
04/1997,155652.29827289347
05/1997,164840.49954652897
06/1997,170349.2246531763
07/1997,174635.3849211862
08/1997,154705.71988464484
