Data,IE00BYZK4776
06/2011,10000
07/2011,9939.086399579819
08/2011,9243.29165628091
09/2011,9116.187802214921
10/2011,9299.509008194185
11/2011,9170.234782603316
12/2011,9585.675230799821
01/2012,10194.009432509576
02/2012,10210.213054326061
03/2012,10468.239374084002
04/2012,10342.756749974515
05/2012,10598.239189221604
06/2012,10998.432275036545
07/2012,11398.749840575112
08/2012,11455.57675392358
09/2012,11763.01950469762
10/2012,11219.33463821943
11/2012,11315.53770922696
12/2012,11204.989046955778
01/2013,11483.575956683284
02/2013,11954.030001385501
03/2013,12555.003227680549
04/2013,12512.664168834295
05/2013,12625.524310632223
06/2013,12279.315797692369
07/2013,13144.741797304205
08/2013,12580.572329590705
09/2013,12984.67050371623
10/2013,13157.912071728002
11/2013,13691.84243164871
12/2013,13744.984932927555
01/2014,14657.332697345122
02/2014,15105.039952038422
03/2014,14301.077062269153
04/2014,13917.527716565624
05/2014,14397.62545337617
06/2014,14856.158534634473
07/2014,15026.329704059213
08/2014,15840.631441706015
09/2014,16279.312317146383
10/2014,16852.4229261801
11/2014,17151.77151857454
12/2014,17561.274949564646
01/2015,19682.746640031593
02/2015,20920.78444449861
03/2015,22536.13298648124
04/2015,21929.519265717878
05/2015,23223.85846586846
06/2015,23508.144202851265
07/2015,24186.8101156204
08/2015,22739.37923710643
09/2015,21352.741924390208
10/2015,23050.637591783092
11/2015,25387.31681389253
12/2015,24865.63651882481
01/2016,22799.059337148665
02/2016,22120.800750648395
03/2016,22178.073232589122
04/2016,22613.506984905747
05/2016,23843.93207393282
06/2016,23670.376723490368
07/2016,25166.56652057397
08/2016,24363.854423610574
09/2016,24957.751000629753
10/2016,23033.547471977236
11/2016,23802.136876514585
12/2016,23799.534317615897
01/2017,23839.949222741783
02/2017,25550.92824578795
03/2017,25510.35847481758
04/2017,25887.120831692722
05/2017,25586.785842075602
06/2017,26228.364192456705
07/2017,25112.84157920096
08/2017,25930.182678637135
09/2017,26280.157638590346
10/2017,27632.234346091176
11/2017,27956.745550938722
12/2017,28201.002129051445
01/2018,30972.806100673333
02/2018,30387.70215441082
03/2018,30445.878839043122
04/2018,30069.21705285746
05/2018,31817.579558666694
06/2018,31035.24265079974
07/2018,31396.62867773989
08/2018,33470.160412446145
09/2018,34297.48562970664
10/2018,30174.971248303387
11/2018,31593.3351755093
12/2018,28882.62476312943
01/2019,30711.26741158588
02/2019,31959.82576692426
03/2019,32314.25348066543
04/2019,31014.375701278874
05/2019,29845.791117407563
06/2019,30952.683054761645
07/2019,31552.906076242703
08/2019,29909.474257924336
09/2019,28876.34807602181
10/2019,29787.10347584202
11/2019,32520.20440879386
12/2019,33054.54759110589
01/2020,32694.8017542927
02/2020,31512.750057645553
03/2020,29811.958216777628
04/2020,33807.95845005652
05/2020,36779.948707435746
06/2020,37512.547495989566
07/2020,37779.755141626505
08/2020,38438.43582810729
09/2020,40012.458630129186
10/2020,40177.38022308164
11/2020,43274.846597929936
12/2020,45984.603183098545
01/2021,47597.74411199677
02/2021,46223.649785182235
03/2021,45652.42343719287
04/2021,47457.67639996056
05/2021,45468.25477795338
06/2021,49153.61382549259
07/2021,47928.03862558888
08/2021,49153.459159318016
09/2021,47560.9341484474
10/2021,47734.87329564033
11/2021,45619.70250610978
12/2021,46480.94350453506
01/2022,40169.59446084238
02/2022,39698.14630944392
03/2022,40943.100197053835
04/2022,38121.39832222305
05/2022,36435.97832216128
06/2022,37292.49841818371
07/2022,40948.39283558243
08/2022,39498.70724420535
09/2022,38015.57107325139
10/2022,39993.00075751389
11/2022,40786.65577246725
12/2022,37810.18573301366
01/2023,38631.24175702799
02/2023,37659.7507095152
03/2023,37104.76599628295
04/2023,37158.867450806436
05/2023,38138.46205631121
06/2023,37591.093996687145
07/2023,38173.784394640345
08/2023,37072.25037866826
09/2023,34928.61994397082
10/2023,31772.895420977926
11/2023,34095.60765120915
12/2023,37169.16426273314
01/2024,37060.05311651802
02/2024,38438.726526801314
03/2024,39221.10032231674
04/2024,37068.929244138075
