Data,IE00B6YX5C33
10/2002,33676.340798879246
11/2002,35429.6748943482
12/2002,31564.816275779125
01/2003,29800.587621794155
02/2003,29443.78744802063
03/2003,29419.098888825985
04/2003,31165.036364784643
05/2003,30887.113568318873
06/2003,32360.12191770204
07/2003,33245.39222899504
08/2003,35104.08487777697
09/2003,32567.643612877582
10/2003,34496.376708275166
11/2003,33717.95776134532
12/2003,33696.79530778833
01/2004,34994.42258918102
02/2004,35381.05590097617
03/2004,35397.676555275066
04/2004,35647.17102889787
05/2004,35390.09706729867
06/2004,36203.23285408363
07/2004,35339.58710895297
08/2004,35268.93923580322
09/2004,34792.12673672731
10/2004,34411.40027349657
11/2004,34298.45182644395
12/2004,34614.18969083905
01/2005,35286.0538147969
02/2005,35422.644221020215
03/2005,35579.133606382806
04/2005,34920.54821036234
05/2005,37858.24162679097
06/2005,38658.473141957445
07/2005,40089.908974672704
08/2005,39379.175312073436
09/2005,40209.44183228854
10/2005,39598.583731290135
11/2005,41980.26850170898
12/2005,41892.05990861809
01/2006,41859.03328793187
02/2006,42828.38012252412
03/2006,42537.90606519703
04/2006,41617.003138716886
05/2006,39376.39729769471
06/2006,39907.56024901184
07/2006,39980.90196871703
08/2006,40661.61718742834
09/2006,42335.696210125956
10/2006,43588.11375443283
11/2006,42717.789480753556
12/2006,43412.48786838485
01/2007,44800.607019058116
02/2007,43066.51247590184
03/2007,43195.10184645363
04/2007,44153.63172825081
05/2007,46207.34574044741
06/2007,45261.26652621136
07/2007,43208.218716885334
08/2007,43859.077058126364
09/2007,43975.02378963995
10/2007,43842.48682566832
11/2007,41112.66048569213
12/2007,40935.281442576794
01/2008,38091.28064316066
02/2008,36129.32632759171
03/2008,34503.191892624294
04/2008,36814.35562459311
05/2008,37365.38657289585
06/2008,33656.8971816304
07/2008,33698.5364875569
08/2008,36215.82143679671
09/2008,33982.37773205755
10/2008,31699.186682299074
11/2008,29491.59665001719
12/2008,27254.609880600485
01/2009,27099.42296005421
02/2009,24541.308816377878
03/2009,25357.470311753754
04/2009,27851.578696925062
05/2009,27690.441110532418
06/2009,27672.670147438082
07/2009,29755.152685949684
08/2009,30537.72776250921
09/2009,30872.448401809143
10/2009,29975.224783299953
11/2009,31299.31935395854
12/2009,33267.96331500787
01/2010,33079.13332141434
02/2010,35096.51211227234
03/2010,37463.094715906336
04/2010,38520.40630362549
05/2010,38344.71251997792
06/2010,36441.14769871909
07/2010,36725.718197050555
08/2010,36027.59579817496
09/2010,36456.70969862268
10/2010,37270.45165749416
11/2010,39735.764915216074
12/2010,41233.59691888471
01/2011,41190.41453292535
02/2011,42161.17780611212
03/2011,41067.41049375175
04/2011,40422.43482346086
05/2011,41281.50269110743
06/2011,40399.290922309076
07/2011,40110.47718834061
08/2011,37429.75114201235
09/2011,37236.283406921146
10/2011,39833.91508918248
11/2011,41469.88331370507
12/2011,43441.8776909036
01/2012,44568.99174110051
02/2012,45569.39924517143
03/2012,47372.181499958955
04/2012,47577.29198816325
05/2012,47638.247354533305
06/2012,48860.762423024775
07/2012,50769.75921999334
08/2012,50563.36073290184
09/2012,50586.55777537477
10/2012,49407.924157531015
11/2012,49717.54072966144
12/2012,49376.02364557172
01/2013,50565.34924628668
02/2013,52891.46757668274
03/2013,56259.57171315196
04/2013,56168.03360713372
05/2013,57769.29150139966
06/2013,56666.78551475924
07/2013,58671.356681349316
08/2013,57139.94284747687
