Data,LU0321462953
01/1996,10000
02/1996,9408.286633213993
03/1996,9611.912502632646
04/1996,10050.02952620845
05/1996,10175.983536482645
06/1996,10437.225518565881
07/1996,10486.42787395729
08/1996,10785.874322162868
09/1996,11415.531275050318
10/1996,11484.70631917467
11/1996,12081.276964146295
12/1996,12178.758927665674
01/1997,12611.619738471889
02/1997,12788.206462086468
03/1997,12314.024292567246
04/1997,12742.79966853557
05/1997,13221.949857969254
06/1997,13513.971272803667
07/1997,14105.998185476492
08/1997,13975.975864889873
09/1997,14393.85056422062
10/1997,12917.421085674605
11/1997,13560.495966560056
12/1997,13930.057628321467
01/1998,14051.393967614584
02/1998,14357.111774634262
03/1998,14683.182736286273
04/1998,14650.520349374188
05/1998,14292.921166624043
06/1998,14008.609995388671
07/1998,14152.62544142688
08/1998,10662.733148665395
09/1998,11445.582209611155
10/1998,12056.287820788746
11/1998,13018.742055684888
12/1998,12668.278474521507
01/1999,12241.514383275366
02/1999,12433.524668418942
03/1999,13402.402912468804
04/1999,14213.158506631495
05/1999,13440.287507978708
06/1999,13798.676468017513
07/1999,13572.495070869834
08/1999,13649.546616183448
09/1999,14128.565181871458
10/1999,14669.763479199548
11/1999,15024.533934477884
12/1999,15688.655978440449
01/2000,15488.763522110743
02/2000,16125.860256088217
03/2000,16445.20250275539
04/2000,16191.188300661754
05/2000,15804.283741387424
06/2000,16526.016612144733
07/2000,16687.029993503755
08/2000,17669.40720563021
09/2000,17435.320470854273
10/2000,17109.33934566687
11/2000,17032.219239192804
12/2000,17738.501875712645
01/2001,18589.90863360544
02/2001,18292.259461931037
03/2001,18084.023406970246
04/2001,17984.25079305078
05/2001,18390.041732142083
06/2001,18709.071650653506
07/2001,17536.08668654219
08/2001,18323.723412253825
09/2001,17713.916671039122
10/2001,17668.42867629699
11/2001,17585.362580520592
12/2001,17858.434003499096
01/2002,18166.122952627153
02/2002,18871.76866333987
03/2002,18921.116703674288
04/2002,19117.065530284464
05/2002,19001.02683914963
06/2002,17954.11542241094
07/2002,17101.300857042817
08/2002,18368.957099501808
09/2002,17793.2369284952
10/2002,19004.42950219261
11/2002,19603.842406480162
12/2002,20210.411626643454
01/2003,20547.484424930022
02/2003,21229.050882411037
03/2003,21598.345799723327
04/2003,22827.018681778292
05/2003,23761.062823196437
06/2003,23774.93048952156
07/2003,22972.21342213241
08/2003,23585.764644071052
09/2003,24354.61755418599
10/2003,24564.046274801323
11/2003,24944.328490386477
12/2003,25625.62161287739
01/2004,25810.91574276546
02/2004,25807.338530956178
03/2004,26459.031287745493
04/2004,24976.689169865713
05/2004,24547.872756292927
06/2004,24972.975367123705
07/2004,25682.180296187173
08/2004,26806.8921352302
09/2004,27257.507298713936
10/2004,27670.005040327538
11/2004,27838.05287832148
12/2004,28499.86727596936
01/2005,28727.77162488206
02/2005,28898.751138784875
03/2005,28138.64435173154
04/2005,28613.496530845146
05/2005,29501.168414512173
06/2005,30015.037419370903
07/2005,29977.80381260283
08/2005,30489.037756434365
09/2005,31099.554818168846
10/2005,30602.848111703537
11/2005,31036.690702675125
12/2005,31562.225485340354
01/2006,32014.107938293597
02/2006,32692.570791389324
03/2006,32113.66373097149
04/2006,32064.366501884186
05/2006,31381.044966398305
06/2006,31343.27836180654
07/2006,32355.531848712704
08/2006,33162.19450587559
09/2006,33389.57726127211
