Data,IE00BYX8XD24
12/2005,15169.901719418851
01/2006,15474.492569554892
02/2006,15634.520623794395
03/2006,15780.143663823688
04/2006,16042.475099120416
05/2006,15773.821708517435
06/2006,16071.762439882075
07/2006,16273.56501309168
08/2006,16518.72989295413
09/2006,16817.202323494013
10/2006,17366.759534924782
11/2006,17692.216993268994
12/2006,17902.27548395856
01/2007,18257.867106667465
02/2007,18099.860021669392
03/2007,18251.211665942654
04/2007,18815.462819044627
05/2007,19425.220468815474
06/2007,19046.291946756788
07/2007,18274.776144352407
08/2007,18623.84864721182
09/2007,19033.060279087968
10/2007,19054.452475599333
11/2007,18393.0547589867
12/2007,18154.17125324162
01/2008,17453.76141622245
02/2008,16949.83369654895
03/2008,16953.932390037957
04/2008,17522.79110626971
05/2008,17753.546358215524
06/2008,16091.01965245236
07/2008,16400.004693784387
08/2008,16715.251199214174
09/2008,16186.21190903912
10/2008,13623.392225352278
11/2008,12815.005289446546
12/2008,12911.493227296407
01/2009,11828.033606469635
02/2009,10667.92957822645
03/2009,11289.120805765746
04/2009,11736.737243257758
05/2009,12065.44338082313
06/2009,12240.532899065567
07/2009,12760.208186565853
08/2009,13027.831421554965
09/2009,13312.561120751303
10/2009,13201.678810975242
11/2009,13837.543797160217
12/2009,14118.658078830113
01/2010,13791.747440417374
02/2010,14092.64583885003
03/2010,14637.38251816595
04/2010,14776.64570401519
05/2010,13844.342129849982
06/2010,13497.781810415125
07/2010,14200.29248024705
08/2010,14086.768491663413
09/2010,15028.877455309874
10/2010,15413.290768963469
11/2010,15309.450707563043
12/2010,16165.755957986821
01/2011,16032.767828229249
02/2011,16466.864464247385
03/2011,16663.88753825913
04/2011,17480.525129107726
05/2011,17656.88192139131
06/2011,17421.323564029084
07/2011,16887.116833378164
08/2011,16661.612487011756
09/2011,16031.240697095858
10/2011,17169.10365966131
11/2011,17284.546649898013
12/2011,17631.203635264108
01/2012,18083.73056120919
02/2012,18553.367308500357
03/2012,18966.18179014925
04/2012,19075.186374748355
05/2012,18377.843306696243
06/2012,19076.9716654519
07/2012,19231.06413525918
08/2012,19364.238647035618
09/2012,19891.17096737377
10/2012,19713.634933931164
11/2012,19924.623005520538
12/2012,19945.59383227375
01/2013,21034.581655074093
02/2013,21341.947128804277
03/2013,22306.397557307297
04/2013,22809.668564394597
05/2013,22843.98627185538
06/2013,22650.9173940101
07/2013,23696.208889263195
08/2013,22933.585313084262
09/2013,23554.307238297333
10/2013,24515.906517890322
11/2013,24959.707536522204
12/2013,25296.502285399063
01/2014,24424.653251400454
02/2014,25455.418580800793
03/2014,25853.12170236539
04/2014,26166.027706823228
05/2014,26467.61224834016
06/2014,26823.629180891152
07/2014,26454.77148575905
08/2014,27438.660173165856
09/2014,27208.484550112476
10/2014,28131.9933731727
11/2014,28902.065794109672
12/2014,28871.254710408066
01/2015,28636.432303449492
02/2015,29736.74169035134
03/2015,29317.426314177337
04/2015,29334.41573182544
05/2015,29646.07415440828
06/2015,29019.601444862412
07/2015,30094.774017333686
08/2015,28656.43581695318
09/2015,28455.453840335653
10/2015,30329.30661046001
11/2015,30032.619348535256
12/2015,30001.609523486022
01/2016,29749.737291094527
02/2016,30410.956104770106
