Data,DE000A0Q4R36
05/2023,428153.9965538377
06/2023,424866.23321508616
07/2023,432017.64255950827
08/2023,433824.78596326784
09/2023,428553.8781770386
10/2023,405932.60002325336
11/2023,415850.65875594073
12/2023,428478.62054024613
01/2024,444116.20557891455
02/2024,446185.53565787245
03/2024,462912.3513166329
04/2024,466764.3613874318
