Data,DE0005933956
12/1986,10000
01/1987,9535.811835844896
02/1987,9338.631927358192
03/1987,9664.838711076945
04/1987,9797.57549580489
05/1987,9629.508715295891
06/1987,10061.111301864443
07/1987,10635.294303634115
08/1987,10586.853722340595
09/1987,10376.531676168415
10/1987,8149.82842573254
11/1987,7340.048564808918
12/1987,7231.316937065373
01/1988,7102.113328018544
02/1988,7922.556062654277
03/1988,7853.162626137858
04/1988,7963.6907167393365
05/1988,8018.703815486212
06/1988,8609.36291543391
07/1988,8888.357227219883
08/1988,8682.626066322182
09/1988,9247.624336291377
10/1988,9582.327370815763
11/1988,9478.08766092798
12/1988,9860.60048446465
01/1989,10088.340649996828
02/1989,9772.701834050315
03/1989,10146.40060551157
04/1989,10362.76581828158
05/1989,10671.483517136729
06/1989,11075.753077007219
07/1989,11652.05329168264
08/1989,12123.608665457024
09/1989,12084.437883983243
10/1989,11361.630644833243
11/1989,11989.380751538438
12/1989,12874.685594585133
01/1990,12551.418304210445
02/1990,12303.799488137014
03/1990,13100.366135420902
04/1990,12795.6263942046
05/1990,13213.793327060064
06/1990,13309.449025397074
07/1990,13357.525083175278
08/1990,11513.686941635839
09/1990,10149.207698836872
10/1990,10681.331781553938
11/1990,10487.330714122192
12/1990,10324.810604792392
01/1991,10489.492907081789
02/1991,11546.33072575644
03/1991,11826.594301790947
04/1991,12087.253604331489
05/1991,12710.189872780888
06/1991,12244.651584287767
07/1991,12315.287970438763
08/1991,12514.570590122657
09/1991,12428.070657882665
10/1991,12388.835440180184
11/1991,12182.2725209121
12/1991,12365.417167345011
01/1992,12936.80248561941
02/1992,13395.940760523881
03/1992,13157.585868065615
04/1992,13492.257623303834
05/1992,13861.355813960374
06/1992,13344.307486894882
07/1992,12603.168825283812
08/1992,12135.147120897484
09/1992,12389.31641403012
10/1992,12546.203939560097
11/1992,12973.24689784132
12/1992,13259.512054870722
01/1993,13394.53799949956
02/1993,14488.823827909084
03/1993,14679.780943266598
04/1993,14370.954900402152
05/1993,14525.338959314326
06/1993,15181.94363013366
07/1993,16305.945096532434
08/1993,17447.27624908392
09/1993,17014.901304829364
10/1993,17997.367719362737
11/1993,17568.845845310556
12/1993,19016.41588701483
01/1994,19335.725882817882
02/1994,18532.503259844078
03/1994,18151.089583880424
04/1994,19006.7263606361
05/1994,18263.453110857645
06/1994,17357.646397777924
07/1994,18644.23668952817
08/1994,18979.773997590208
09/1994,17730.643233320996
10/1994,18125.37736222865
11/1994,18075.392706457136
12/1994,18050.316007033987
01/1995,17736.837046156357
02/1995,17985.01709689172
03/1995,17812.451103892465
04/1995,18497.751341240615
05/1995,19154.221174013604
06/1995,19064.99698539226
07/1995,20155.518020862
08/1995,20140.121414487137
09/1995,20002.79749274834
10/1995,19841.361218982984
11/1995,20526.9034299854
