Data,IE00B4X9L533
03/2001,208616.17321508637
04/2001,222857.68845331602
05/2001,230197.2282948503
06/2001,222923.70266475194
07/2001,213007.586558281
08/2001,193803.23941023997
09/2001,177198.50979351235
10/2001,182337.4384156855
11/2001,196199.01557454048
12/2001,199292.02211660778
01/2002,197146.79055522513
02/2002,195071.9597959148
03/2002,201936.28236338584
04/2002,188897.12068318258
05/2002,181549.02961608858
06/2002,160428.99546153497
07/2002,149755.19572872506
08/2002,149229.4156492584
09/2002,132416.90562901617
10/2002,142099.7150960537
11/2002,148771.49888963564
12/2002,133966.33746491236
01/2003,125916.29198910155
02/2003,124086.94636798503
03/2003,122379.0966993229
04/2003,130384.21121837883
05/2003,129736.30694421606
06/2003,136510.7539660769
07/2003,140591.07821311775
08/2003,148732.5441633765
09/2003,140299.08532087842
10/2003,148976.7731075174
11/2003,146519.4129462592
12/2003,147841.5661537714
01/2004,153179.23251788295
02/2004,155298.69111520014
03/2004,156697.07735406715
04/2004,157026.8292898261
05/2004,155177.27055440543
06/2004,158903.70904058628
07/2004,155176.7583985336
08/2004,154912.81532472643
09/2004,154033.4394686884
10/2004,153719.75322662905
11/2004,154984.99096712947
12/2004,157030.92583618022
01/2005,160376.3701604984
02/2005,162666.01177251007
03/2005,163093.15427403737
04/2005,159605.27941559377
05/2005,170667.6422460972
06/2005,175525.5149943678
07/2005,181619.94705171295
08/2005,181390.62375111654
09/2005,188490.21701453754
10/2005,184184.32027192952
11/2005,194405.76535612263
12/2005,198216.8086950518
01/2006,201557.93641697892
02/2006,205351.0472792397
03/2006,205870.2930095266
04/2006,204768.77493143108
05/2006,192661.19577227824
06/2006,194928.9099640024
07/2006,195291.4368498505
08/2006,199026.58266277928
09/2006,204413.32780156782
10/2006,211289.4102372942
11/2006,208172.1132403691
12/2006,212862.28162772363
01/2007,218939.80891271163
02/2007,213536.18645152784
03/2007,215671.33984447725
04/2007,220407.89120084041
05/2007,229113.7685895434
06/2007,226442.52034268324
07/2007,218136.18457052895
08/2007,217975.22051172183
09/2007,220680.51816505022
10/2007,223202.25585415674
11/2007,209496.81650091682
12/2007,207329.7852404807
01/2008,189541.08293735256
02/2008,184730.24746728607
03/2008,175473.2478316225
04/2008,187906.62593214517
05/2008,191142.1016221114
06/2008,173016.70711735636
07/2008,170421.78893115092
08/2008,177995.53035576802
09/2008,161539.88218939173
10/2008,146756.54587261454
11/2008,137562.3852491925
12/2008,129818.75202679994
01/2009,128605.13888848195
02/2009,116995.53449957346
03/2009,119525.73008047699
04/2009,133249.56480171546
05/2009,136822.59399918152
06/2009,135841.30522078427
07/2009,147287.9833030992
08/2009,151905.9822935541
09/2009,153939.57580590036
10/2009,149577.62288113963
11/2009,153360.0402222726
12/2009,162781.03565383918
01/2010,160949.24740887035
02/2010,167961.02751333357
03/2010,179546.10948302937
04/2010,181760.62532938822
05/2010,177788.42003823983
06/2010,172174.2049429567
07/2010,175295.99916360498
08/2010,173360.73787324215
09/2010,176061.88575537773
10/2010,179848.22559247405
11/2010,187571.94795956567
12/2010,195854.3689972188
01/2011,195427.52822597668
02/2011,200169.3651874498
03/2011,192966.7710813932
04/2011,192300.49588066817
05/2011,194505.2559638682
06/2011,190503.27239111208
07/2011,189556.79994520836
08/2011,173860.6444148267
09/2011,169962.61893075614
10/2011,180851.0710275199
11/2011,184078.83570915723
12/2011,190764.3345676261
01/2012,196710.11913538288
02/2012,202196.72520696672
03/2012,206105.00729840636
04/2012,205928.41949949908
05/2012,200428.89298459562
06/2012,207488.09197632974
07/2012,215364.57733465618
08/2012,215071.6018684956
09/2012,215501.61309153482
10/2012,212980.55372615848
11/2012,215797.3989920141
12/2012,216362.79815865756
01/2013,221383.0758312408
02/2013,228831.63715813623
03/2013,240088.70434567594
04/2013,242560.96956609862
05/2013,243853.62402906682
06/2013,236468.87346891305
07/2013,245231.99679888412
08/2013,240706.98817678026
09/2013,247662.25408866693
10/2013,254759.8312221155
11/2013,259826.96091792698
12/2013,261829.31577819717
01/2014,257228.78959093132
02/2014,264266.09992302005
03/2014,265095.37420674803
04/2014,266579.76561222976
05/2014,276645.741984332
06/2014,280508.5989096488
07/2014,281753.09488018043
08/2014,292096.85105016094
09/2014,297795.58435125323
10/2014,301096.7756174827
11/2014,308102.11198690714
12/2014,311634.4101436089
01/2015,328576.4009025011
02/2015,349797.630862112
03/2015,359671.8837016792
04/2015,353094.9640982519
05/2015,362180.23208254436
06/2015,346789.38511952973
07/2015,360116.81601115415
08/2015,328804.8568669323
09/2015,316975.15372907236
10/2015,347829.5696629427
11/2015,360384.8432665068
12/2015,343988.887614685
01/2016,322389.6482651725
02/2016,320890.44620676397
03/2016,327666.90352869325
04/2016,332285.41035533044
05/2016,341569.68677247583
06/2016,339281.5364568558
07/2016,353223.21028315614
08/2016,352869.23748335685
09/2016,353777.8153634806
10/2016,353701.31826155854
11/2016,369235.05562657135
12/2016,381395.5470366438
01/2017,382780.8354593247
02/2017,399218.23396121064
03/2017,399873.2896343315
04/2017,396870.877590989
05/2017,394706.8820658145
06/2017,389544.6365557632
07/2017,388104.68387415225
08/2017,385381.7131609092
09/2017,394617.2806907639
10/2017,407829.7624919713
11/2017,409195.7042138102
12/2017,409698.68834666495
01/2018,415213.3265720318
02/2018,405878.7567250639
03/2018,393533.34909280133
04/2018,405981.22187270573
05/2018,421744.03308689327
06/2018,422972.6298252671
07/2018,433231.71625209297
08/2018,441737.64610482176
09/2018,447020.002940955
10/2018,423582.26162093534
11/2018,426794.8604092988
12/2018,391154.7954747386
01/2019,420145.5186791489
02/2019,435456.2277189861
03/2019,448228.7823233261
04/2019,464769.9783468793
05/2019,440525.63525347674
06/2019,460050.1003426829
07/2019,471765.89079861826
08/2019,466872.6101713367
09/2019,483186.6384550166
10/2019,483650.26610216015
11/2019,504845.487929531
12/2019,508242.73494495655
01/2020,513404.28467660386
02/2020,473155.7921964525
03/2020,411264.83580550534
04/2020,459497.32113156415
05/2020,470390.9228097822
06/2020,480101.1379464945
07/2020,475410.6294154956
08/2020,503207.5485721253
09/2020,495411.73690465547
10/2020,480563.5500158273
11/2020,529190.6180712715
12/2020,538478.8831562137
01/2021,538990.3128912918
02/2021,553418.30121699
03/2021,591075.5294128841
04/2021,600232.4023977583
05/2021,602865.4215912761
06/2021,628096.4788083016
07/2021,638892.6234409321
08/2021,657867.6372642927
09/2021,644356.7933824986
10/2021,676914.1238659226
11/2021,678427.432861968
12/2021,709649.7183117775
01/2022,682254.6237822466
02/2022,662360.904311966
03/2022,686463.3836466622
04/2022,662852.9833064362
05/2022,652559.9124553516
06/2022,614659.0721990389
07/2022,675679.8377538945
08/2022,660165.7900107446
09/2022,614194.1498286476
10/2022,647201.820931561
11/2022,661300.2938219877
12/2022,615917.3248530898
01/2023,649253.5193736716
02/2023,646334.8723306531
03/2023,650540.6326006989
04/2023,655473.179531183
05/2023,666949.1402685221
06/2023,695289.6200132188
07/2023,708323.797414982
08/2023,701177.2802733799
09/2023,688194.6795757014
10/2023,666566.9458132599
11/2023,708166.3877887299
12/2023,734843.941094776
01/2024,758187.1420323703
02/2024,791040.7510074088
03/2024,817494.6619180175
04/2024,793856.759656542
