Data,IE00B4WXJD03
04/1988,41002.93455806897
05/1988,44329.296291394385
06/1988,46771.44490639771
07/1988,51100.205309643025
08/1988,49407.139135935424
09/1988,48199.305041186206
10/1988,50087.56352720612
11/1988,47887.285201784565
12/1988,48175.8113368804
01/1989,55307.43668218434
02/1989,51643.91354384714
03/1989,52858.17941160572
04/1989,54906.03820855847
05/1989,54657.70396491191
06/1989,53348.4187782517
07/1989,55594.88455564539
08/1989,58881.16641748878
09/1989,61426.77270241476
10/1989,57100.59050981399
11/1989,56320.94259815124
12/1989,56373.25406964517
01/1990,54359.876303937206
02/1990,52935.226071620426
03/1990,53143.48251828096
04/1990,49736.0659268833
05/1990,53540.63074611722
06/1990,55587.24919226411
07/1990,56773.82691310552
08/1990,50108.78167733606
09/1990,45579.337408031126
10/1990,43676.30444330147
11/1990,42413.107961105234
12/1990,42895.61297062102
01/1991,45564.724351365956
02/1991,49063.818402865814
03/1991,54693.5427864997
04/1991,59527.757685705226
05/1991,60515.166070287916
06/1991,62502.179051627245
07/1991,66200.97021575435
08/1991,63905.60231795645
09/1991,62758.65790008945
10/1991,64991.7988676266
11/1991,61926.00736478009
12/1991,61351.1597996412
01/1992,63163.880922982586
02/1992,66570.4247043312
03/1992,67842.16245446757
04/1992,70386.34747274012
05/1992,73695.20868919542
06/1992,70832.52148251815
07/1992,65725.01005755238
08/1992,60384.44316777711
09/1992,60751.558876929885
10/1992,65230.908064577234
11/1992,68131.52638133313
12/1992,68609.69642454186
01/1993,70437.2487932332
02/1993,77711.21224283882
03/1993,79384.43986530731
04/1993,80574.02549841742
05/1993,83825.41673996624
06/1993,83611.76533490376
07/1993,90194.93925828428
08/1993,97706.85532952099
09/1993,95586.21205063899
10/1993,112299.55241954571
11/1993,111817.2852083255
12/1993,134919.2699126327
01/1994,132927.6701554653
02/1994,125905.21331100841
03/1994,110147.0930379036
04/1994,115540.02500143304
05/1994,116733.24378720389
06/1994,109691.5363820706
07/1994,111858.02251968092
08/1994,119455.77335942186
09/1994,115013.43893159693
10/1994,114576.5137707439
11/1994,106904.83896641724
12/1994,107355.68639238013
01/1995,96033.43614387108
02/1995,103806.56838984763
03/1995,100773.87346597698
04/1995,100106.19699746127
05/1995,108503.67589529276
06/1995,105510.77966726289
07/1995,108538.41964475795
08/1995,108812.97448631757
09/1995,111571.73346166601
10/1995,107850.04380990344
11/1995,108990.21255022581
12/1995,115017.84010095902
01/1996,124094.51911685053
02/1996,126643.22456806322
03/1996,128149.29342882693
04/1996,132742.12688740616
05/1996,132941.0296459721
06/1996,129391.42937285519
07/1996,120972.22918200099
08/1996,125212.03426444445
09/1996,129495.17873221022
10/1996,133399.4965634033
11/1996,138682.48206452752
12/1996,141991.91901550224
01/1997,144067.4295693584
02/1997,152442.1379342685
03/1997,147015.0381962838
04/1997,144748.22902829282
05/1997,153244.51045479169
06/1997,158314.63329441726
07/1997,162245.21942274665
08/1997,143675.45783755844
09/1997,144641.56281793397
10/1997,111854.30633694824
11/1997,106067.51081417422
12/1997,109196.98800191117
01/1998,104785.92967217336
02/1998,120627.96621430201
03/1998,119620.42255193126
04/1998,110482.90945615398
05/1998,96573.98058294314
06/1998,91402.30675501846
07/1998,88467.2222898575
08/1998,76180.99154024891
09/1998,79253.9915861168
10/1998,91059.20464429678
11/1998,98041.54995240062
12/1998,96271.02822812063
01/1999,100089.11485080367
02/1999,102324.91452968241
03/1999,113236.21375729221
04/1999,133730.50341151952
05/1999,125885.89091997941
06/1999,137936.13017595868
07/1999,131952.4216859563
08/1999,130377.58806029656
09/1999,126847.62038247946
10/1999,131784.70291060358
11/1999,147737.2605013776
12/1999,160395.80439982138
01/2000,152862.74046583296
02/2000,153549.4544847623
03/2000,157445.53855110615
04/2000,158689.43686915457
05/2000,140525.23616853193
06/2000,152794.30217084652
07/2000,157173.90988576764
08/2000,165066.4080735677
09/2000,156642.3797527731
10/2000,154148.73847891836
11/2000,148691.56860775218
12/2000,145975.36589636246
01/2001,150634.7145494975
02/2001,146201.5414202765
03/2001,135697.22659191253
04/2001,142717.44857542808
05/2001,147962.72336755827
06/2001,147977.69976389562
07/2001,139236.4552894116
08/2001,130654.11555276182
09/2001,111722.95580984304
10/2001,119532.81338982786
11/2001,132958.93654670802
12/2001,138753.31517828937
01/2002,143389.08419448065
02/2002,141140.8584352154
03/2002,146173.66896052743
04/2002,142209.818524615
05/2002,139411.69646354203
06/2002,124317.11190047977
07/2002,119017.69686410649
08/2002,118909.8025126452
09/2002,110880.32002827748
10/2002,116927.83597799196
11/2002,119037.1198735206
12/2002,109190.11002437581
01/2003,106760.0181002291
02/2003,105733.41229869628
03/2003,105835.67309321045
04/2003,109193.3040886554
05/2003,108028.48940401296
06/2003,115923.13997290799
07/2003,118996.21734817456
08/2003,128948.22167092371
09/2003,126127.10581930738
10/2003,135347.66386679607
11/2003,130909.14539208534
12/2003,132513.06825707396
01/2004,138557.98802948982
02/2004,143540.52627141977
03/2004,145299.30502083324
04/2004,140848.29200530425
05/2004,138267.38870227122
06/2004,139079.7952707814
07/2004,141620.1386389629
08/2004,145089.09241809836
09/2004,149182.2358596697
10/2004,150954.6498402688
11/2004,156384.84203854596
12/2004,158246.10119919307
01/2005,164793.4027640356
02/2005,169527.44561443097
03/2005,167093.38316442407
04/2005,166910.0880884064
05/2005,175274.41512867986
06/2005,187384.9883294709
07/2005,194092.4593018942
08/2005,192352.4066210325
09/2005,205841.38921991203
10/2005,193756.17740207136
11/2005,204790.85497048296
12/2005,208600.8919155614
01/2006,215957.8786393913
02/2006,218893.51357080616
03/2006,216548.16849270576
04/2006,225852.05144394055
05/2006,207017.4703568145
06/2006,210979.97354538715
07/2006,212517.24348244566
08/2006,217871.13200574694
09/2006,220415.34198974425
10/2006,234811.9451945278
11/2006,236544.11396703776
12/2006,247328.297931213
01/2007,253655.1393484328
02/2007,253145.95367764824
03/2007,262754.2739874875
04/2007,270137.6616624351
05/2007,278660.82042956224
06/2007,283759.813978172
07/2007,280828.68400029687
08/2007,276184.84474297566
09/2007,305919.8721316266
10/2007,323494.2812895752
11/2007,295693.64997495746
12/2007,289745.66851701937
01/2008,257616.57641347442
02/2008,257366.81521984743
03/2008,234887.56865590301
04/2008,258202.48524123794
05/2008,262664.15142349637
06/2008,239133.385657784
07/2008,229213.08764620527
08/2008,230987.3050309611
09/2008,197432.9666553829
10/2008,165917.40207623676
11/2008,157354.69311309454
12/2008,152193.18273380763
01/2009,149903.8387209033
02/2009,144338.48349645585
03/2009,155457.4587897932
04/2009,176284.6538339766
05/2009,188199.15759269922
06/2009,192916.65543788037
07/2009,215201.03476855485
08/2009,220597.79361012168
09/2009,236940.18577772437
10/2009,235476.81734822705
11/2009,237371.8555503011
12/2009,252959.05046773254
01/2010,243083.90360683296
02/2010,257934.64058112944
03/2010,278445.38974973356
04/2010,281345.9467157514
05/2010,262210.4923085135
06/2010,261955.4275152349
07/2010,271914.73995205195
08/2010,273842.33750571776
09/2010,287296.10647033656
10/2010,290817.1715834668
11/2010,303427.04501876445
12/2010,317390.218082236
01/2011,306023.17282251193
02/2011,307577.21574626915
03/2011,306380.74039688136
04/2011,307695.6422234058
05/2011,306899.25801617955
06/2011,300064.44300769374
07/2011,302921.88983694836
08/2011,282567.2945956682
09/2011,257453.2080809204
10/2011,285595.7136745736
