Data,IE00B5SG8Z57
01/1991,48091.63358075546
02/1991,51802.81327418986
03/1991,57766.243903697585
04/1991,62893.70891807454
05/1991,63960.534690475855
06/1991,66084.66140882786
07/1991,70020.2405948367
08/1991,67618.70578362414
09/1991,66430.47753614254
10/1991,68819.18427000643
11/1991,65598.65463324779
12/1991,65014.31406466523
01/1992,66959.64948544011
02/1992,70596.01588578055
03/1992,71971.13060605961
04/1992,74697.1474290887
05/1992,78236.67072186584
06/1992,75226.90936970034
07/1992,69830.7424792248
08/1992,64182.74575767998
09/1992,64597.02231093112
10/1992,69384.13005706534
11/1992,72495.44846019275
12/1992,73031.4317743342
01/1993,75004.15242925314
02/1993,82777.86065926685
03/1993,84591.22178025401
04/1993,85890.5533914172
05/1993,89388.69062174349
06/1993,89194.38049015946
07/1993,96250.54961594917
08/1993,104302.90320337372
09/1993,102078.21196589217
10/1993,119964.96404301307
11/1993,119494.76480265574
12/1993,144227.7639640738
01/1994,142152.8430455257
02/1994,134696.33540413072
03/1994,117888.44172023784
04/1994,123704.6074378173
05/1994,125028.5337050816
06/1994,117533.31466212861
07/1994,119898.7565109613
08/1994,128087.62148022263
09/1994,123372.31779390026
10/1994,122949.90266314418
11/1994,114763.6788867239
12/1994,115290.70560500721
01/1995,103174.8238423965
02/1995,111564.68439363872
03/1995,108347.17391155312
04/1995,107669.95079353778
05/1995,116742.29674162765
06/1995,113565.93000932629
07/1995,116867.30037222404
08/1995,117206.74888540253
09/1995,120222.26957697512
10/1995,116257.10801464699
11/1995,117529.7509443312
12/1995,124073.72535575218
01/1996,133911.58083826437
02/1996,136712.13007683598
03/1996,138389.20760777558
04/1996,143400.93256944208
05/1996,143669.58198918754
06/1996,139887.3994267612
07/1996,130837.7085842827
08/1996,135472.34071512555
09/1996,140157.26295824785
10/1996,144435.6047470671
11/1996,150209.81371657705
12/1996,153850.660790914
01/1997,156157.20579659386
02/1997,165293.25756955898
03/1997,159470.62948728708
04/1997,157071.5703738975
05/1997,166350.09634883094
06/1997,171916.20119653712
07/1997,176248.95136792355
08/1997,156142.4872947268
09/1997,157250.97672136192
10/1997,121664.39551860931
11/1997,115415.69804155268
12/1997,118864.27043893519
01/1998,114107.27226421065
02/1998,131401.3440573337
03/1998,130353.09138785716
04/1998,120444.61823675495
05/1998,105326.75535195517
06/1998,99725.85553650702
