Data,IE00B3F81G20
07/2010,20306.101103554174
08/2010,20911.41445497838
09/2010,21770.627194276058
10/2010,22334.556372585965
11/2010,23275.446122192578
12/2010,23958.28403955499
01/2011,22612.621169342558
02/2011,21499.393593507746
03/2011,21887.240377772854
04/2011,21857.50325575587
05/2011,21860.105380151763
06/2011,21274.601655734496
07/2011,21980.123017041737
08/2011,19276.134642527366
09/2011,17328.470563030824
10/2011,18330.87138913249
11/2011,17534.723042971815
12/2011,17934.749750140356
01/2012,19497.631863103987
02/2012,20790.82307739287
03/2012,20235.85864386246
04/2012,20057.542339916236
05/2012,19446.610012366917
06/2012,19721.72621987833
07/2012,20182.614461384186
08/2012,20107.195679262553
09/2012,20816.6873628126
10/2012,20404.125001934986
11/2012,20761.08322330425
12/2012,21405.739560502603
01/2013,21399.108219554688
02/2013,22326.494433541695
03/2013,22952.08514254855
04/2013,22930.242555432353
05/2013,22899.978230795037
06/2013,20768.816726995374
07/2013,20583.380828660644
08/2013,19953.458892270257
09/2013,20810.84517552735
10/2013,21339.73497778064
11/2013,20999.45080862608
12/2013,20601.24079650247
01/2014,20442.107677598688
02/2014,20832.349174783325
03/2014,21307.189594524658
04/2014,21284.33671177841
05/2014,22304.023172210527
06/2014,22613.343220608658
07/2014,23254.873481260434
08/2014,24153.459338382556
09/2014,24204.843150479024
10/2014,23877.479113481848
11/2014,23573.998679203865
12/2014,23541.762941466906
01/2015,25633.48037139224
02/2015,26350.33765557749
03/2015,27478.844940463674
04/2015,28737.394374353586
05/2015,29489.138126286318
06/2015,27577.834920382
07/2015,25954.59848811834
08/2015,22927.697876943163
09/2015,22940.831461085803
10/2015,24695.072573103305
11/2015,25041.86004493059
12/2015,24347.45183438972
01/2016,22348.704366069087
02/2016,22321.888530782748
03/2016,23470.886782499238
04/2016,23772.263020816314
05/2016,23437.77955979761
06/2016,24137.032646671567
07/2016,25147.334591285096
08/2016,25563.594783525314
09/2016,25819.892309625713
10/2016,25922.610004129714
11/2016,25420.875361229082
12/2016,25600.92706748896
01/2017,26251.70514650766
02/2017,28014.80093295109
03/2017,28485.18199682615
04/2017,28162.973235783065
05/2017,27611.50910731128
06/2017,27352.80915531789
07/2017,27573.505899129217
08/2017,27874.624861684395
09/2017,27917.163104307
10/2017,29299.80444311464
11/2017,29268.345566870164
12/2017,29981.13317915134
01/2018,30523.96563369221
02/2018,29837.0694462893
03/2018,29188.06674265635
04/2018,29726.522371366413
05/2018,30042.219714654206
06/2018,28162.031887759123
07/2018,28325.931964437186
08/2018,27927.86433888631
09/2018,27162.246284371755
10/2018,24838.440883918094
11/2018,26088.12772990011
12/2018,25465.744452454404
01/2019,26733.10970833201
02/2019,27236.07819314559
03/2019,27923.99839366812
04/2019,28013.07712088856
05/2019,26787.279211651723
06/2019,27271.478454051077
07/2019,27427.932757924547
08/2019,26325.44152573372
09/2019,27192.350278553287
10/2019,27547.07941412024
11/2019,27799.50788333981
