Data,IE00B78JSG98
05/2017,746815.0187610259
06/2017,748068.3389960282
07/2017,738435.9167511286
08/2017,725800.2470823117
09/2017,748388.1981622566
10/2017,768425.4013534477
11/2017,777513.125924738
12/2017,777803.8048073645
01/2018,777112.7574519964
02/2018,752692.8488910102
03/2018,730534.5101513927
04/2018,746652.8497109619
05/2018,774511.7113349744
06/2018,781452.3095929574
07/2018,809363.6233981283
08/2018,826250.7998957939
09/2018,835044.5616435221
10/2018,816624.524145503
11/2018,838000.6850519624
12/2018,754702.238390561
01/2019,806205.2960204029
02/2019,836796.0266860449
03/2019,857003.1338134486
04/2019,885780.4332317295
05/2019,832913.8419168605
06/2019,871867.342531233
07/2019,898739.3610151191
08/2019,884370.0631966315
09/2019,927690.7729815176
10/2019,918504.1791097639
11/2019,960664.4269696835
12/2019,965208.3183804885
01/2020,956457.3093412906
02/2020,869499.2122931358
03/2020,734570.8213693557
04/2020,818428.5642116059
05/2020,821920.5275727491
06/2020,811405.8976475354
07/2020,795749.8480876071
08/2020,820768.4714483379
09/2020,818340.788583337
10/2020,800444.9357475513
11/2020,883284.067590097
12/2020,890214.169828892
01/2021,889345.0551830727
02/2021,931251.0667698303
03/2021,1028103.8754680207
04/2021,1034176.1287216517
05/2021,1050603.468163491
06/2021,1068375.0539714177
07/2021,1080045.5618452458
08/2021,1106650.4981029904
09/2021,1089943.286285665
10/2021,1145368.789892632
11/2021,1141876.6441969797
12/2021,1224183.3605764143
01/2022,1212207.7218424873
02/2022,1185036.1276965404
03/2022,1230328.0830771544
04/2022,1231846.9589235696
05/2022,1234556.050609907
06/2022,1168765.2993678935
07/2022,1257546.9394481594
08/2022,1246123.187326543
09/2022,1173298.9206026448
10/2022,1282046.3209487794
11/2022,1299128.5737903088
12/2022,1216355.462818948
01/2023,1235832.4866994875
02/2023,1217480.127519603
03/2023,1180095.8840095408
04/2023,1183794.475497103
05/2023,1167074.7837199094
06/2023,1218074.651725254
07/2023,1243715.9749893288
08/2023,1229734.9719576996
09/2023,1215756.1677445767
10/2023,1178148.785555442
11/2023,1226518.7965177156
12/2023,1279991.2886155865
01/2024,1312086.8219416593
02/2024,1358651.8213877003
03/2024,1426299.6738137729
