Data,IE00BSKRJZ44
01/2012,19043.423531760163
02/2012,18240.33307180467
03/2012,17595.319797065342
04/2012,18601.74258891373
05/2012,21492.38894017881
06/2012,20869.326965467288
07/2012,22175.026046686402
08/2012,21321.563449580965
09/2012,20306.14539951169
10/2012,20188.813257231664
11/2012,20476.81451127661
12/2012,19728.63994965482
01/2013,18458.225209609358
02/2013,19289.46609190093
03/2013,19732.370666646235
04/2013,20189.946763293337
05/2013,18904.312605515748
06/2013,18198.40046217238
07/2013,17537.126597370996
08/2013,17467.308291662208
09/2013,17136.490423199604
10/2013,17203.901200000735
11/2013,16785.999617853984
12/2013,16235.95046770382
01/2014,17550.980744220386
02/2014,17324.114970665112
03/2014,17491.838688932476
04/2014,17792.726554353976
05/2014,18655.846018616423
06/2014,18545.975054809427
07/2014,19065.01455529614
08/2014,20184.364465503466
09/2014,20731.98980692339
10/2014,21428.836419869633
11/2014,22128.432664779088
12/2014,23480.598012408416
01/2015,27621.33754007723
02/2015,26103.531775228654
03/2015,27607.211830573528
04/2015,25604.288738414612
05/2015,25686.1621784277
06/2015,24143.949199274823
07/2015,25537.10483326398
08/2015,24986.708336894266
09/2015,25382.520533125076
10/2015,25676.655628021956
11/2015,26505.85920046588
12/2015,25747.85393966383
01/2016,27015.78347781685
02/2016,27946.997136664944
03/2016,26709.36837517767
04/2016,26515.400497733543
05/2016,27351.508287332297
06/2016,29301.72819027035
07/2016,29914.895154215643
08/2016,29577.960137532387
09/2016,28979.974897561005
10/2016,28287.936360018426
11/2016,26871.851887975263
12/2016,26959.229775921955
01/2017,26524.631272492905
02/2017,27355.412307959476
03/2017,26953.091435901057
04/2017,26777.05827212306
05/2017,26621.717354433127
06/2017,26300.709002057705
07/2017,25411.781852065717
08/2017,26109.47553455047
09/2017,25562.433655637367
10/2017,25917.727386158003
11/2017,25655.87255504294
12/2017,25808.241016323853
01/2018,24020.304178812574
02/2018,23740.71731623453
03/2018,24272.628455557726
04/2018,24268.846570781276
05/2018,25605.67371163125
06/2018,25753.187293646228
07/2018,25177.069006887035
08/2018,25768.775918292806
09/2018,25142.750197065463
10/2018,24894.35136903852
11/2018,25271.240812107953
12/2018,26478.491821105876
01/2019,26552.455812868564
02/2019,26389.385668511648
03/2019,28254.614022379938
04/2019,27767.93461547067
05/2019,29823.19308566261
06/2019,29598.01169384633
07/2019,30257.331298914578
08/2019,33901.53562414306
09/2019,33446.39153582382
10/2019,32349.896971232974
11/2019,32696.000128520976
12/2019,31039.185053980942
01/2020,33778.57897560891
02/2020,36347.25547707367
03/2020,38976.96378257359
04/2020,39721.43462697002
05/2020,38002.35393483093
06/2020,37861.32815279216
07/2020,37360.56446425028
08/2020,35376.58023204511
09/2020,36263.049950492896
10/2020,35168.77993130419
11/2020,34778.27921702432
12/2020,33526.03440729391
01/2021,32541.65954420668
02/2021,30381.98206658485
03/2021,30179.095755463753
04/2021,30003.16825494984
05/2021,29724.780664222115
06/2021,31843.2349311467
07/2021,33003.51316319223
08/2021,33079.30259316289
09/2021,32809.67867267432
10/2021,33385.67153015412
11/2021,35200.05508552221
12/2021,34578.386089778585
01/2022,33755.631069097726
02/2022,33069.03016963152
03/2022,31544.60309662505
04/2022,30085.828287665026
05/2022,28935.70799926887
06/2022,29422.238604062775
07/2022,30733.805030313924
08/2022,29919.59922158946
09/2022,28189.24921717122
10/2022,25977.184310708835
11/2022,26627.524150628444
12/2022,25404.422220988803
01/2023,26733.29817350423
02/2023,25930.228111442706
03/2023,26536.061470663186
04/2023,26389.395446846815
05/2023,26322.49468631359
06/2023,25921.707674533936
07/2023,24928.08837206107
08/2023,24492.663356023855
09/2023,23126.43563481479
10/2023,21825.623714673537
11/2023,23299.457660014294
12/2023,25032.089213707495
01/2024,24948.845800855583
02/2024,24414.880469160045
03/2024,24658.96543579965
04/2024,23280.567291746334
