Data,IE00B3VWN393
12/2004,10000
01/2005,10446.631157953327
02/2005,10186.823246425998
03/2005,10381.90959318904
04/2005,10530.822025551724
05/2005,11156.682050170493
06/2005,11414.319176332408
07/2005,11276.82404343902
08/2005,11329.055027212435
09/2005,11358.530019460415
10/2005,11312.501310352292
11/2005,11612.01770650633
12/2005,11655.384153341463
01/2006,11329.735893501836
02/2006,11545.024079540666
03/2006,11282.690313623398
04/2006,10899.067471130254
05/2006,10617.007028629914
06/2006,10761.075022585861
07/2006,10839.55107799842
08/2006,10900.903652510831
09/2006,11152.898444322844
10/2006,11171.459123136836
11/2006,10839.764601670271
12/2006,10794.16170877673
01/2007,10965.1584051394
02/2007,10920.62540368489
03/2007,10858.899457339225
04/2007,10681.664009398184
05/2007,10700.28982060291
06/2007,10670.873683827682
07/2007,10688.829455879713
08/2007,10882.031022722453
09/2007,10582.104996231848
10/2007,10454.281323077581
11/2007,10573.062894022893
12/2007,10631.5884082417
01/2008,10839.54588147003
02/2008,10797.127922594149
03/2008,10428.927122255058
04/2008,10383.823348394499
05/2008,10273.26685737709
06/2008,10174.756893829488
07/2008,10340.711304555996
08/2008,11076.073273512458
09/2008,11510.508701802515
10/2008,13080.434143734328
11/2008,13659.5281224373
12/2008,12735.446000854257
01/2009,13621.351685280577
02/2009,13727.810922625364
03/2009,13278.390333635878
04/2009,13131.821681836731
05/2009,12251.871740590044
06/2009,12139.8251762567
07/2009,12196.717514736209
08/2009,12196.938788575795
09/2009,11967.432058417093
10/2009,11871.952198103336
11/2009,11902.986764398887
12/2009,12086.723807062473
01/2010,12689.31211036349
02/2010,13132.596044119873
03/2010,13104.089472812322
04/2010,13392.083892924282
05/2010,14720.202779820325
06/2010,15019.362371300902
07/2010,14307.186718588788
08/2010,14912.552752518981
09/2010,13918.608989429202
10/2010,13789.092511627534
11/2010,14571.029440982522
12/2010,13885.980434963041
01/2011,13622.86786494043
02/2011,13421.842109114463
03/2011,13054.558457352936
04/2011,12656.61890257402
05/2011,13284.206996352275
06/2011,13212.511417223108
07/2011,13647.759064414204
08/2011,13730.520695536788
09/2011,14714.795971521384
10/2011,14177.212606541992
11/2011,14855.93315902825
12/2011,15499.70098766372
01/2012,15328.797182179474
02/2012,14935.715307337288
03/2012,14941.368973965546
04/2012,15281.989878192791
05/2012,16407.270268694174
06/2012,16129.714126539615
07/2012,16654.463958520275
08/2012,16239.557414406481
09/2012,15836.81623212824
10/2012,15716.947328238004
11/2012,15806.839916429646
12/2012,15515.729937541559
01/2013,15029.648798900476
02/2013,15602.335414616184
03/2013,16019.275512936625
04/2013,15776.884573387806
05/2013,15631.444440504296
06/2013,15361.850357027415
07/2013,15164.556484119004
08/2013,15112.006285591919
09/2013,14968.889965937058
10/2013,14899.600472922592
11/2013,14930.238902344838
12/2013,14558.282356597045
01/2014,15028.094381439312
02/2014,14739.372146139016
03/2014,14663.613981526947
04/2014,14671.119591990286
05/2014,15073.967493101552
06/2014,14987.889050988322
07/2014,15231.400789058423
08/2014,15579.428978643124
09/2014,16246.77936269075
10/2014,16481.311192019348
11/2014,16658.175904908472
12/2014,17059.478200168178
01/2015,18731.06822157479
02/2015,18610.33579968169
03/2015,19593.278878932008
04/2015,18767.369836629452
05/2015,19201.0526585786
06/2015,18728.291828137408
07/2015,19214.2065358333
08/2015,18804.332346060484
09/2015,19013.37673565374
10/2015,19243.851656662
11/2015,19958.009348944648
12/2015,19343.761597345798
01/2016,19689.82389789266
02/2016,19861.003328772596
03/2016,19039.664519395552
04/2016,18993.94858954419
05/2016,19379.08682818876
06/2016,19811.909596470367
07/2016,19798.323133776285
08/2016,19645.716536054195
09/2016,19644.371212298338
10/2016,19913.06658128164
11/2016,20061.819213743725
12/2016,20234.160616321424
01/2017,19881.84873890842
02/2017,20241.86232898329
03/2017,20075.10603760766
04/2017,19770.355455173492
05/2017,19350.033549233343
06/2017,18960.394209271035
07/2017,18523.219585565774
08/2017,18503.401191395384
09/2017,18394.890336901546
10/2017,18627.29415526321
11/2017,18223.040433931696
12/2017,18002.92779460515
01/2018,17119.39837583997
02/2018,17397.13335196247
03/2018,17356.410826817435
04/2018,17569.16353792808
05/2018,18280.49852685644
06/2018,18334.14683451367
07/2018,18161.13996878263
08/2018,18423.29393321802
09/2018,18415.39930659855
10/2018,18842.675538710697
11/2018,18928.010495173785
12/2018,19120.852168122983
01/2019,19150.827439274624
02/2019,19242.440180610505
03/2019,19840.32051661151
04/2019,19870.671853693675
05/2019,20342.320022826116
06/2019,20126.905067248834
07/2019,20484.74802109984
08/2019,21143.437499285184
09/2019,21303.849039871475
10/2019,20855.706562736705
11/2019,21112.01372361647
12/2019,20621.551804759212
01/2020,21327.52544665048
02/2020,21886.731178233767
03/2020,22486.729832006276
04/2020,22696.790023904025
05/2020,22223.67544650891
06/2020,22130.774611096655
07/2020,20992.077670849685
08/2020,20791.393041523796
09/2020,21215.565038146415
10/2020,21137.23990466025
11/2020,20671.424450965194
12/2020,20199.35083815932
