Data,DE000A2T5DZ1
04/1982,95104.32476348564
05/1982,85584.00341184592
06/1982,83506.20997559327
07/1982,90149.12897915169
08/1982,108143.64570887663
09/1982,104284.33012595354
10/1982,111132.77665046052
11/1982,114430.53512847725
12/1982,117528.50565726055
01/1983,130986.14917201147
02/1983,107063.8629130862
03/1983,108653.74817283353
04/1983,112403.47809346397
05/1983,114513.24293314677
06/1983,108834.20403539792
07/1983,110354.95274024637
08/1983,108278.63214957748
09/1983,105812.09783962171
10/1983,99755.40029605982
11/1983,105716.72556699824
12/1983,99534.97266808704
01/1984,97468.17396661792
02/1984,102770.39373332469
03/1984,101225.27638026235
04/1984,97870.68765703839
05/1984,100027.30393886993
06/1984,97066.72677476409
07/1984,89034.97943238169
08/1984,90529.32694897916
09/1984,89318.79127512446
10/1984,86615.27386102876
11/1984,85407.57515158551
12/1984,79995.4736405247
01/1985,79531.3455070755
02/1985,74593.73859600878
03/1985,85318.26055954627
04/1985,83232.747347092
05/1985,81291.57176746504
06/1985,82225.8293949722
07/1985,84711.8862661614
08/1985,86161.07384415208
09/1985,84183.19242219412
10/1985,83977.33124400959
11/1985,83991.20390649639
12/1985,84392.34130046253
01/1986,90419.25777611547
02/1986,87192.61238105764
03/1986,88661.80918893787
04/1986,89072.95255526982
05/1986,88375.93254942274
06/1986,89250.30836972436
07/1986,91977.09833362426
08/1986,98933.68647063168
09/1986,108790.25008899912
10/1986,103034.43353133672
11/1986,100033.21520430155
12/1986,100347.75481788587
01/1987,102767.00980494259
02/1987,104093.55741571498
03/1987,107932.43022148892
04/1987,116151.8437030508
05/1987,115522.98045152704
06/1987,114523.24560329359
07/1987,118363.40102846417
08/1987,115981.25760749537
09/1987,117489.46672839539
10/1987,119814.51168180411
11/1987,125817.77076344736
12/1987,124228.34743750599
01/1988,116894.9361467934
02/1988,108713.28601007893
03/1988,116521.62000992754
04/1988,114441.94624146818
05/1988,116047.17932683889
06/1988,111167.08971360922
07/1988,111180.72681261708
08/1988,108827.15707517095
09/1988,100878.51629298144
10/1988,104825.54018373962
11/1988,107371.04693962431
12/1988,104159.52709486608
01/1989,100011.28663137915
02/1989,98189.43128229439
03/1989,97181.11208764186
04/1989,95704.51711305008
05/1989,91669.00896121126
06/1989,94465.49395020129
07/1989,93232.66860241177
08/1989,91038.99605434954
09/1989,92693.3071986324
10/1989,94877.24624272034
11/1989,103139.1545703027
12/1989,101285.9430895978
01/1990,104789.16117433179
02/1990,102886.32520701035
03/1990,92947.59577907583
04/1990,92716.59514975594
05/1990,91489.91551755011
06/1990,88714.50574041663
07/1990,93737.50745355568
08/1990,97585.31883374961
09/1990,102738.40565669461
10/1990,95421.99726377086
11/1990,96724.26865712646
12/1990,98226.42092836101
01/1991,91901.75734275648
02/1991,91031.77914968148
03/1991,89221.37993589828
04/1991,89708.05415259163
05/1991,90332.18963305696
06/1991,92284.16197786306
07/1991,90864.69765627412
08/1991,86954.82803030057
09/1991,88792.96148442055
10/1991,89390.99296334814
11/1991,91563.97246546029
12/1991,88298.15703492308
01/1992,88433.32017587154
02/1992,88143.78409120819
03/1992,85258.35575585575
04/1992,83885.09864620803
05/1992,84134.1583299446
06/1992,85567.08768950107
07/1992,89129.17777410396
08/1992,84643.19616843772
09/1992,86845.66192285584
10/1992,84380.37735279043
11/1992,83086.33866453926
12/1992,82725.75340201486
01/1993,82079.70105198985
02/1993,81334.86036582294
03/1993,83830.66375598246
04/1993,87887.68818693617
05/1993,93590.72969966967
06/1993,93796.56917584759
07/1993,99529.12637382664
08/1993,92002.6217355594
09/1993,87986.9450104797
10/1993,91437.12845104148
11/1993,91717.59501971673
12/1993,96560.17894110426
01/1994,93365.2043173859
02/1994,94224.97085863563
03/1994,96071.76114859646
04/1994,92881.26535493725
05/1994,95590.50108386076
06/1994,95707.78934625874
07/1994,94617.05025580733
08/1994,95005.6700778476
09/1994,97204.14007383924
10/1994,94452.41912808541
11/1994,94225.36606873124
12/1994,94035.39164527872
01/1995,92124.66009419099
02/1995,92451.80093004079
03/1995,96241.88756252512
04/1995,95646.16991971464
05/1995,94265.67788972303
06/1995,94897.81106482288
07/1995,93947.93252216035
08/1995,93660.58504468096
09/1995,94022.62233829255
10/1995,93649.76387658228
11/1995,94868.03252155309
12/1995,94556.2474361249
01/1996,99122.9168407625
02/1996,97880.67303103278
03/1996,96786.11657208885
04/1996,95509.38535353063
05/1996,95283.34444084184
06/1996,93154.50458795152
07/1996,93917.3229277462
08/1996,94155.37396935294
09/1996,92297.87263413912
10/1996,92378.10359492886
11/1996,90340.48483308475
12/1996,89874.0415571186
01/1997,83984.67197824012
02/1997,87131.24704637073
03/1997,84552.9372277136
04/1997,82571.98018300635
05/1997,83857.81938753588
06/1997,81138.86547462089
07/1997,79113.5958579958
08/1997,78835.57526427215
09/1997,80435.69210320969
10/1997,75385.88921690192
11/1997,71817.49548786297
12/1997,69946.18514283224
01/1998,73699.83314058757
02/1998,71865.57339232715
03/1998,72703.16012576791
04/1998,75013.36946191713
05/1998,70851.10164070665
06/1998,71470.77850338082
07/1998,69641.59572882148
08/1998,65885.26946007606
09/1998,70783.7621292673
10/1998,70378.53924301198
11/1998,70924.72895571776
12/1998,69147.9730417055
01/1999,68623.71557808269
02/1999,68989.57327574262
03/1999,67131.94459589728
04/1999,68819.37130549781
05/1999,64466.18108283129
06/1999,62613.10958790575
07/1999,61289.49004194486
08/1999,61070.080381623346
09/1999,71636.38829940667
10/1999,71628.11058296607
11/1999,69739.91719426027
12/1999,69445.22924125793
01/2000,67751.12154709423
02/2000,70195.83335889087
03/2000,66124.36924625718
04/2000,65688.42925943283
05/2000,64990.16340581739
06/2000,68756.48660419477
07/2000,66005.352024932
08/2000,66035.27504743761
09/2000,65206.93761623335
10/2000,62997.27847315299
11/2000,64064.53454085143
12/2000,64880.852648654465
01/2001,62912.250620045896
02/2001,63407.21780618597
03/2001,61238.958422981304
04/2001,62506.520501334926
05/2001,63511.65634890984
06/2001,64219.09903694207
07/2001,63074.79110950911
08/2001,64730.61586598639
09/2001,69467.36759766108
