Data,DE000EWG2LD7
03/2004,21123.46848503444
04/2004,19817.655189476158
05/2004,19647.17939398153
06/2004,19844.535370927802
07/2004,19813.012576383317
08/2004,20492.79507476191
09/2004,20413.200845518128
10/2004,20361.208652097743
11/2004,20783.24142085479
12/2004,19596.80295847178
01/2005,19736.76028799243
02/2005,20017.652554235756
03/2005,20096.350888641857
04/2005,20492.890029034013
05/2005,20483.01837300472
06/2005,22029.405457861332
07/2005,21619.385602290135
08/2005,21645.621036090273
09/2005,23950.363440348076
10/2005,23861.49169107285
11/2005,25665.85025005686
12/2005,26501.221624516707
01/2006,28602.933068192164
02/2006,28533.90964135993
03/2006,29303.14121273436
04/2006,31304.902091578715
05/2006,30925.89217679297
06/2006,29409.43143002517
07/2006,30191.992838283873
08/2006,29567.842934987217
09/2006,28846.58757287243
10/2006,28980.797903039518
11/2006,29857.197304907364
12/2006,29416.19831878554
01/2007,30602.965769960563
02/2007,30639.613810695308
03/2007,30281.33708853665
04/2007,30325.657862641478
05/2007,29857.420031324935
06/2007,29354.373830734483
07/2007,29588.691199057786
08/2007,29882.046795142793
09/2007,31934.735215421904
10/2007,33303.85982085253
11/2007,32347.694204951567
12/2007,34629.70093292754
01/2008,37838.02467996962
02/2008,39035.81278871032
03/2008,35978.878761285676
04/2008,34157.59216865398
05/2008,34807.71200590718
06/2008,35962.78866039556
07/2008,35837.03458475772
08/2008,34452.04212473449
09/2008,37686.933986866905
10/2008,34909.238620337404
11/2008,39001.8450774639
12/2008,37878.30952276471
01/2009,43723.945386297935
02/2009,45885.193718801704
03/2009,41970.07887996026
04/2009,40547.9801009948
05/2009,42168.66730610113
06/2009,40293.4382165141
07/2009,40476.012679065985
08/2009,40800.54485048993
09/2009,41441.96704577785
10/2009,42824.44391293932
11/2009,47695.61230302308
12/2009,46703.106743871285
01/2010,47061.76599554652
02/2010,49771.1872558544
03/2010,50434.99819778633
04/2010,53974.02706376113
05/2010,59793.64754643531
06/2010,61781.796494072034
07/2010,54683.57125972356
08/2010,59885.1162725773
09/2010,58361.531787859385
10/2010,59229.47396957907
11/2010,64866.8396227055
12/2010,64319.8094782057
01/2011,59064.17480396775
02/2011,62158.33185137021
03/2011,61727.476359341534
04/2011,62972.526769018
05/2011,65094.27685550007
06/2011,63480.86932988139
07/2011,69596.65162779705
08/2011,76483.86410264234
09/2011,73114.72573449729
10/2011,74953.89393804336
11/2011,79300.61586799899
12/2011,74158.69187412386
01/2012,80664.60338185249
02/2012,80241.1558734714
03/2012,75858.69232481747
04/2012,76155.03753058879
05/2012,76552.75379422166
06/2012,77376.13255357854
07/2012,80469.4717641191
08/2012,79663.52769705867
09/2012,83707.53341683235
10/2012,80628.12242671143
11/2012,81000.08995391875
12/2012,76859.39304671845
01/2013,74873.79339058849
02/2013,73735.33864437073
03/2013,76065.06463528804
04/2013,68485.69461444282
05/2013,65342.36921284773
06/2013,55537.79329382133
07/2013,60345.677716113954
08/2013,64223.28750865039
09/2013,59859.45716597893
10/2013,59150.97185540963
11/2013,56102.36189755401
12/2013,53094.327581858684
01/2014,56406.51067106286
02/2014,58524.720844606214
03/2014,57094.8983148099
04/2014,56696.30522986465
05/2014,56006.88512094548
06/2014,58675.763953052694
07/2014,58544.225794353246
08/2014,59415.21908492817
09/2014,58918.00392297777
10/2014,56653.05003773267
11/2014,57742.30209722371
12/2014,60197.073217132114
01/2015,67936.98163941845
02/2015,65822.21364910377
03/2015,67235.54348818457
04/2015,64134.96167032908
05/2015,66186.75309169794
06/2015,63780.178383162114
07/2015,61036.945107244275
08/2015,61676.06989690618
09/2015,60599.76823527808
10/2015,63191.10429497109
11/2015,61172.905999278686
12/2015,59461.87850086668
01/2016,62047.478848584804
02/2016,69120.00911940049
03/2016,66215.05940513223
04/2016,68710.59956276034
05/2016,66225.90768659498
06/2016,72500.2500944577
07/2016,73593.81383040962
08/2016,71675.2956874701
09/2016,72212.54994279197
10/2016,70819.32382459965
11/2016,67509.4811338415
12/2016,67013.02163570288
01/2017,68722.48923118672
02/2017,72208.52620669872
03/2017,70960.84892345946
04/2017,70613.54172570394
05/2017,68768.70643144581
06/2017,66338.76020118526
07/2017,65871.61066927439
08/2017,67603.63243465705
09/2017,66233.51970424489
10/2017,66511.50393051724
11/2017,65844.00386276547
12/2017,65881.69979685762
01/2018,65802.90589006686
02/2018,65754.90786722301
03/2018,65480.64226627939
04/2018,66255.20485710929
05/2018,67998.34472653636
06/2018,65367.57716604622
07/2018,63401.25968203098
08/2018,62896.1312523591
09/2018,62503.418156882144
10/2018,65419.74155820367
11/2018,65323.10409195596
12/2018,68215.656567608
01/2019,70196.84353199614
02/2019,70420.69874760437
03/2019,70266.92108652215
04/2019,69661.73950840671
05/2019,70804.43656388579
06/2019,75455.1417640011
07/2019,78018.50443192091
08/2019,84400.58280703181
09/2019,83127.80089023798
10/2019,82554.27375551574
11/2019,81028.19074011661
12/2019,82620.07638001542
01/2020,87355.29628241676
02/2020,89376.19386795037
03/2020,89497.4441208111
04/2020,95411.7361194735
05/2020,94604.22189693277
06/2020,96224.67863256196
07/2020,101068.42908403152
08/2020,99904.32082981235
09/2020,98216.91279844916
10/2020,98037.78593875017
11/2020,89661.23904885686
12/2020,93919.2567121701
01/2021,93593.103382899
02/2021,87627.75147790712
03/2021,87894.90593807158
04/2021,89161.53866718976
05/2021,94900.14002188957
06/2021,90416.29911415026
07/2021,93571.3808614081
08/2021,93460.75373791688
09/2021,91726.87662360945
10/2021,92585.98946716427
11/2021,96774.27358940909
12/2021,97935.19687647925
01/2022,98070.08193535246
02/2022,103929.80745752383
03/2022,106620.51473477989
04/2022,110511.72482409989
05/2022,104597.15679155794
06/2022,106606.79917289352
07/2022,104781.85988229471
08/2022,104571.19778761019
09/2022,104514.34898377112
10/2022,100751.18139896877
11/2022,102990.20331124878
12/2022,103552.50307403017
01/2023,108231.54544986635
02/2023,104713.85736203304
03/2023,110940.52731156499
04/2023,110027.78391155068
05/2023,112061.59649894458
06/2023,107249.45087298322
07/2023,108950.64322466492
08/2023,108914.7725237031
09/2023,107601.38273292067
10/2023,114602.16034541474
11/2023,113480.34634792773
12/2023,113744.58495174741
01/2024,115465.666419779
02/2024,115290.26585457119
03/2024,124824.69326145145
04/2024,131175.86906155662
