Data,IE00BJ0KDR00
02/2008,282222.21649278945
03/2008,269696.1176358874
04/2008,287984.0009126437
05/2008,293166.0536898348
06/2008,264881.32505722734
07/2008,264402.81758231664
08/2008,283942.9176436356
09/2008,265670.9279100303
10/2008,246911.581149604
11/2008,229217.9143805346
12/2008,212322.77219608528
01/2009,211767.47003647813
02/2009,192636.60349981274
03/2009,198697.0185771295
04/2009,218305.20417246447
05/2009,216858.2150989055
06/2009,216782.76216589657
07/2009,233044.55489904876
08/2009,238872.04065203358
09/2009,241836.9025306231
10/2009,234622.67353122102
11/2009,244877.59585234604
12/2009,260611.68737397177
01/2010,259376.79277894433
02/2010,275169.2721972352
03/2010,293600.8516328275
04/2010,301962.35708763846
05/2010,300336.4001000152
06/2010,285182.4489536755
07/2010,287368.2989908355
08/2010,282123.2814061788
09/2010,285927.37312907685
10/2010,292688.289019564
11/2010,312361.96986417705
12/2010,324155.3607150576
01/2011,323908.4829955037
02/2011,331312.8484909832
03/2011,322979.025253239
04/2011,318216.1167880971
05/2011,325141.95542857086
06/2011,318106.1277358051
07/2011,316113.14407175995
08/2011,294683.2948523089
09/2011,292651.79995962937
10/2011,313234.27933767595
11/2011,325929.5078953468
12/2011,341176.4895527145
01/2012,350797.9826749352
02/2012,358959.06673212245
03/2012,372846.08254502644
04/2012,374559.26111554564
05/2012,374511.71794913424
06/2012,383516.21914364625
07/2012,398376.1434986201
08/2012,397131.22823902353
09/2012,397187.0468714916
10/2012,388104.911292275
11/2012,390820.74948276376
12/2012,388293.28486535384
01/2013,398076.41510731133
02/2013,416097.44205659046
03/2013,442649.097140087
04/2013,442157.6280039018
05/2013,453740.096913086
06/2013,445131.2697709001
07/2013,461642.9440977591
08/2013,450237.3165855111
09/2013,455824.3390214867
10/2013,471288.9933900004
11/2013,485771.9715328056
12/2013,492279.15480163484
01/2014,485214.0460349562
02/2014,497077.1652555504
03/2014,501369.48116614943
04/2014,502095.1104180306
05/2014,523229.1896502716
06/2014,532413.0897440693
07/2014,535838.6072396021
08/2014,565385.8128865679
09/2014,583279.7994473607
10/2014,600136.0775585358
11/2014,618039.74772108
12/2014,633474.615115875
01/2015,661077.8326955787
02/2015,703760.3169566484
03/2015,724568.8272266976
04/2015,701421.8894081255
05/2015,726602.2786458039
06/2015,698845.7542149888
07/2015,727200.1090853541
08/2015,667937.6572267025
09/2015,650906.211778335
10/2015,716472.9776194866
11/2015,748697.785330626
12/2015,715249.3602259913
01/2016,675144.4061517355
02/2016,675661.7871822199
03/2016,690381.402586325
04/2016,692657.2644868519
05/2016,721032.9450483309
06/2016,726242.118323735
07/2016,753014.9886442999
08/2016,752823.1765349596
09/2016,751635.2675427769
10/2016,751830.6716703344
11/2016,801718.4217135622
12/2016,823913.4366624592
01/2017,824198.6339032046
02/2017,869327.8373498161
03/2017,862849.7176248907
04/2017,853055.1972016311
05/2017,842214.9540123014
06/2017,833258.3639574554
07/2017,827347.4747361977
08/2017,823132.7837199295
09/2017,841222.7961979234
10/2017,872858.3467478832
11/2017,883361.1683494342
12/2017,882163.9196278271
01/2018,897997.3575163978
02/2018,882203.097713099
03/2018,853150.1756214703
04/2018,873688.3981626385
05/2018,924012.2121731923
06/2018,933504.8959284377
07/2018,960535.3112877381
08/2018,999526.4383305011
09/2018,1010544.1535963903
10/2018,961764.0781941185
11/2018,976906.792228626
12/2018,881786.2799294969
01/2019,951094.7251136644
02/2019,989078.5260743774
03/2019,1023536.6092449095
04/2019,1066133.27562731
05/2019,1004665.3334101937
06/2019,1053533.888701067
07/2019,1091717.989999264
08/2019,1083847.0146755588
09/2019,1117955.3878373748
10/2019,1115089.2814836127
11/2019,1175065.6881222602
12/2019,1182316.8379351317
01/2020,1204070.4501204686
02/2020,1113370.1543393047
03/2020,973953.585231321
04/2020,1110116.2116765284
05/2020,1140529.7140845926
06/2020,1160029.5548189715
07/2020,1161404.5749275242
08/2020,1238915.1965067794
09/2020,1216257.359639357
10/2020,1185552.3765786868
11/2020,1291511.4206454349
12/2020,1312808.276747592
01/2021,1315022.184954753
02/2021,1350958.2879980232
03/2021,1449046.7568238436
04/2021,1482680.0450172967
05/2021,1475191.3058998634
06/2021,1556622.5317967716
07/2021,1592401.7036003298
08/2021,1647199.2450000427
09/2021,1603892.1541126703
10/2021,1705944.0220191674
11/2021,1730578.3271151455
12/2021,1804750.1544138945
01/2022,1728406.0792425824
02/2022,1671226.2994539328
03/2022,1745158.5599087933
04/2022,1671313.9887958535
05/2022,1640625.6949708136
06/2022,1551956.1837242148
07/2022,1728066.1603335792
08/2022,1693150.5263797794
09/2022,1575734.4034493037
10/2022,1672251.7307367064
11/2022,1684626.4468017127
12/2022,1542366.2054068225
01/2023,1618415.9600837482
02/2023,1611522.8496683876
03/2023,1629384.783873771
04/2023,1634038.8966401087
05/2023,1690450.6756437216
06/2023,1772706.0213355853
07/2023,1807506.252738719
08/2023,1802277.9866180937
09/2023,1762092.6970493651
10/2023,1717388.3326892084
11/2023,1825583.5054528746
12/2023,1890902.5868173693
01/2024,1957991.3381044166
02/2024,2065036.8614040946
03/2024,2133556.221383566
04/2024,2063110.9319435
