Data,IE0005042456
09/2012,10081.348452083605
10/2012,10063.185942081405
11/2012,10198.902265071338
12/2012,10190.812073836349
01/2013,10336.53831558642
02/2013,10446.911228352274
03/2013,10801.527926663855
04/2013,10878.082407951644
05/2013,11063.6132600863
06/2013,10437.54360681708
07/2013,10918.325520576898
08/2013,10894.041521170726
09/2013,11224.935574819629
10/2013,11515.961428730896
11/2013,11658.773931027901
12/2013,11827.716969452726
01/2014,11589.540578637872
02/2014,12100.10825717107
03/2014,11753.221697615372
04/2014,12191.765299675706
05/2014,12508.35419665174
06/2014,12530.538007846366
07/2014,12652.57265050678
08/2014,12871.066603775964
09/2014,12802.648455061188
10/2014,12562.207555575304
11/2014,12769.227841081094
12/2014,12741.974657418124
01/2015,13594.802622993679
02/2015,14495.198912774562
03/2015,14220.257808849941
04/2015,14679.5669291058
05/2015,14942.911381697624
06/2015,14134.087437991124
07/2015,14673.925418620795
08/2015,13353.726898624653
09/2015,12778.184798052154
10/2015,13818.415767331306
11/2015,14125.903301650953
12/2015,13331.713076762402
01/2016,12486.585175575783
02/2016,12240.553048516918
03/2016,12367.046268466771
04/2016,12723.655679430409
05/2016,13069.972325001558
06/2016,12615.346648917457
07/2016,12777.728225654224
08/2016,12928.024616535065
09/2016,12961.528263393075
10/2016,12520.407685677614
11/2016,12958.772618778894
12/2016,13595.076877119925
01/2017,13440.336900151375
02/2017,13984.474803690993
03/2017,14098.435524623193
04/2017,14087.550244439608
05/2017,14289.889950687926
06/2017,13849.713648930641
07/2017,13735.655039540308
08/2017,13571.659846019586
09/2017,14059.47131619635
10/2017,14366.852235678462
11/2017,14087.731166473892
12/2017,14672.246273341547
01/2018,14516.701355232848
02/2018,13942.292336004535
03/2018,13801.73080521476
04/2018,14665.383691364557
05/2018,15122.655942785635
06/2018,14928.906814822645
07/2018,15049.839597305243
08/2018,14469.176497923007
09/2018,14806.221727343609
10/2018,14063.74251608605
11/2018,13807.248008982824
12/2018,13266.56748527287
01/2019,14041.92409629371
02/2019,14653.560716334503
03/2019,15134.628441389128
04/2019,15410.002422896696
05/2019,14554.127300952068
06/2019,14967.82785369048
07/2019,14972.455575985545
08/2019,14529.088069211279
09/2019,15295.287148187312
10/2019,15434.132235764215
11/2019,15878.877828641907
12/2019,16347.236990577221
01/2020,15967.563894337785
02/2020,14336.234678846997
03/2020,11945.701774084278
04/2020,12658.947193190668
05/2020,12618.37224570857
06/2020,12664.298092126295
07/2020,12292.059477561515
08/2020,12568.773776884937
09/2020,12153.019540826304
10/2020,11706.9154755083
11/2020,13244.646158345675
12/2020,13669.81526378435
01/2021,13794.394445526454
02/2021,14225.29436735051
03/2021,15135.384634774327
04/2021,15454.183765424208
05/2021,15774.05569761648
06/2021,15874.866073761388
07/2021,16008.452430305013
08/2021,16196.339206383436
09/2021,16135.3291935141
10/2021,16795.9048399136
11/2021,16297.978869885716
