Data,IE00B4L5YX21
04/2007,8778.776057011564
05/2007,8980.323533345076
06/2007,8922.27645159395
07/2007,8773.026231970653
08/2007,8498.412684012806
09/2007,8389.583553000457
10/2007,8228.130817043868
11/2007,7903.16608583834
12/2007,7590.318228172812
01/2008,7172.224720748594
02/2008,7080.2089697725405
03/2008,6556.009479538752
04/2008,7102.254964459113
05/2008,7303.552040778396
06/2008,6700.641062310855
07/2008,6536.057402402312
08/2008,6644.594402140547
09/2008,6093.078115564511
10/2008,5857.872652192477
11/2008,5839.54914351039
12/2008,5771.417272448709
01/2009,5853.992805834221
02/2009,5192.049070002143
03/2009,5049.037235169825
04/2009,5516.425663034722
05/2009,5742.495721640516
06/2009,5864.330960142205
07/2009,6098.11925218461
08/2009,6292.0243944031345
09/2009,6040.4217483700195
10/2009,5815.828657566311
11/2009,5649.610991265375
12/2009,5915.611305545836
01/2010,6219.177921958133
02/2010,6478.272159274679
03/2010,6847.040344762916
04/2010,6945.941028827174
05/2010,6917.882008669707
06/2010,6821.251757958757
07/2010,6632.148528027974
08/2010,6659.384003335839
09/2010,6468.991836337792
10/2010,6476.192616854877
11/2010,7047.227461881362
12/2010,7399.125628780699
01/2011,7239.264467867391
02/2011,7485.858860024158
03/2011,6652.721329082488
04/2011,6380.408452575918
05/2011,6484.414687449003
06/2011,6569.141524403916
07/2011,6899.312743919644
08/2011,6295.6844016751775
09/2011,6647.914627900448
10/2011,6360.038137025797
11/2011,6360.244854147951
12/2011,6657.586715204803
01/2012,6828.354776932896
02/2012,6988.537484128009
03/2012,7146.5356049968195
04/2012,7011.015144442525
05/2012,6809.219039616768
06/2012,7043.543749667618
07/2012,7054.877880426421
08/2012,6823.061586842349
09/2012,6817.812718985104
10/2012,6653.801097147081
11/2012,6797.4426005491
12/2012,7022.451035176449
01/2013,7088.89965347184
02/2013,7518.459534930028
03/2013,8125.463497748383
04/2013,8630.248258673904
05/2013,8152.598014040519
06/2013,8223.233332655705
07/2013,8162.4362409975865
08/2013,8019.756846899072
09/2013,8554.206045355737
10/2013,8462.67593460056
11/2013,8579.159618251086
12/2013,8534.7234850874
01/2014,8418.496982920718
02/2014,8171.1622087107
03/2014,8109.781727488639
04/2014,7873.317835865055
05/2014,8328.64064460254
06/2014,8756.36363109512
07/2014,8989.181098109713
08/2014,8942.510994912402
09/2014,9273.590690099576
10/2014,9174.131610318547
11/2014,9210.639785595667
12/2014,9372.51711199441
01/2015,10316.515883807795
02/2015,10962.991639567239
03/2015,11648.010546678364
04/2015,11538.87830184851
05/2015,11947.766919396943
06/2015,11573.534681547151
07/2015,11845.328541609533
08/2015,10955.072855772376
09/2015,10289.092803054336
10/2015,11457.060028126329
11/2015,11856.151859769612
12/2015,11568.633283523664
01/2016,10619.927523993862
02/2016,10389.740561446617
03/2016,10446.013532605139
04/2016,10907.828101566214
05/2016,11054.978483082166
06/2016,10871.51936662067
07/2016,11541.483837074134
08/2016,11483.55020965458
09/2016,11725.816033797411
10/2016,12112.777704876638
11/2016,12113.907071399603
12/2016,12359.355396495886
01/2017,12564.14621566053
02/2017,12937.290825183996
03/2017,12795.97484234034
04/2017,12660.72986000989
05/2017,12717.831237097073
06/2017,12635.648345475942
07/2017,12557.812173605133
08/2017,12489.088012119171
09/2017,12758.893057278947
10/2017,13510.775349563914
11/2017,13678.418375557023
12/2017,13629.992664961796
01/2018,13714.108268940357
02/2018,13783.05940090272
03/2018,13422.345753417232
04/2018,13767.748578267485
05/2018,14094.61245431882
06/2018,13774.328868285203
07/2018,13703.719296974854
08/2018,13811.516561968592
09/2018,14296.339742465361
10/2018,13358.183507557811
11/2018,13416.900132095376
12/2018,12377.7739050886
01/2019,13074.551767126533
02/2019,13178.89102860055
03/2019,13483.088022662894
04/2019,13677.19501688035
05/2019,13210.99211914335
06/2019,13401.581824053148
07/2019,13721.717701251353
08/2019,13724.566907468508
09/2019,14480.672330300473
10/2019,14834.908023854203
11/2019,15157.62751724194
12/2019,15119.236179360456
01/2020,15103.985155094953
02/2020,13744.779531381693
03/2020,12826.687882148504
04/2020,13630.833981493255
05/2020,14138.508035608198
06/2020,14030.7488142827
07/2020,13024.447350304794
08/2020,13914.355512014341
09/2020,14421.917187067485
10/2020,14179.627972521801
11/2020,15428.815516500108
12/2020,15689.628179280257
01/2021,15710.201022638357
02/2021,15939.452678596006
03/2021,16744.068222373982
04/2021,16009.37755152574
05/2021,16039.33086043942
06/2021,16458.497382557543
07/2021,16263.217297362053
08/2021,16834.272501756986
09/2021,17643.634994051834
10/2021,16943.801851213666
