Data,IE00BP3QZB59
01/2011,31795.109789632326
02/2011,32605.48427082511
03/2011,31139.142590112224
04/2011,31227.045746600004
05/2011,31339.57629656268
06/2011,30748.947097600136
07/2011,30103.77184167508
08/2011,26487.618334423398
09/2011,25768.195914911004
10/2011,27443.010206822484
11/2011,27603.373065612268
12/2011,28419.985165308226
01/2012,29732.113348458908
02/2012,30702.487483175428
03/2012,30894.36078482706
04/2012,30071.589251539877
05/2012,28481.80095539396
06/2012,29836.19558529895
07/2012,30264.010394297246
08/2012,30408.764646654465
09/2012,30524.553339397593
10/2012,30594.764774649666
11/2012,30949.373778093963
12/2012,31957.652988518697
01/2013,32972.74884477088
02/2013,33552.40851123633
03/2013,34993.54997351682
04/2013,35840.2198511818
05/2013,36742.28848251458
06/2013,35406.59483678435
07/2013,37172.86930722182
08/2013,36635.593321637054
09/2013,37913.793342424025
10/2013,39131.503285864994
11/2013,40245.24427185733
12/2013,40441.58280232186
01/2014,40069.18098092113
02/2014,41110.5108299537
03/2014,41542.49840191463
04/2014,41858.91343522845
05/2014,43371.21485155434
06/2014,44235.5726182452
07/2014,44807.329106620804
08/2014,45671.83244408912
09/2014,46586.182661429666
10/2014,46151.1864266208
11/2014,47238.332111522635
12/2014,47889.65903442093
01/2015,50349.440142597414
02/2015,54009.28961600637
03/2015,55726.988445570896
04/2015,55154.97865059
05/2015,57121.77330887852
06/2015,54471.77906387974
07/2015,55796.34187330285
08/2015,50679.2965697271
09/2015,48051.53230288892
10/2015,52859.90479735158
11/2015,54071.479186430865
12/2015,51792.035603697565
01/2016,47271.503055545414
02/2016,46851.686222593555
03/2016,47631.9870310809
04/2016,49156.14429505086
05/2016,50163.45482539925
06/2016,48438.366217335795
07/2016,51129.57523970614
08/2016,52026.87748638055
09/2016,52061.88658856504
10/2016,53263.997492407034
11/2016,55827.23193961566
12/2016,58059.443212991224
01/2017,58213.523611403354
02/2017,60248.90015428095
03/2017,59997.29700178609
04/2017,59136.65821563556
05/2017,58169.70740510507
06/2017,57840.095806348
07/2017,57952.957978757826
08/2017,57299.08978451696
09/2017,59331.213155222315
10/2017,61678.59582751452
11/2017,62162.576122235056
12/2017,62517.05393908757
01/2018,63372.95891399068
02/2018,62259.2852805834
03/2018,60355.232788904075
04/2018,62843.95698806773
05/2018,63347.4392451453
06/2018,62290.86693789189
07/2018,63575.767288309005
08/2018,63443.06933479387
09/2018,65016.69276112846
10/2018,61676.23023024844
11/2018,61704.00148918897
12/2018,56537.04206627688
01/2019,61226.511669818276
02/2019,62176.545590512564
03/2019,62825.645742524575
04/2019,64047.452867096494
05/2019,59255.05785349408
06/2019,62060.3195390968
07/2019,63119.69833908816
08/2019,61146.22606626895
09/2019,64964.57030008329
10/2019,65892.11031649474
11/2019,68201.7490512915
12/2019,68855.21476140864
01/2020,67565.74076560051
02/2020,61677.9777394312
03/2020,51735.230897055226
04/2020,55861.143438090294
05/2020,56210.07271344627
06/2020,56277.89715368743
07/2020,52155.395554406474
08/2020,54587.755590191664
09/2020,53908.406892395804
10/2020,52096.444462687105
11/2020,59474.66195011136
12/2020,60740.84648162082
01/2021,62198.88719330664
02/2021,66077.90505589842
03/2021,72219.710631686
04/2021,70805.31263407931
05/2021,72407.6866501675
06/2021,73182.68079091066
07/2021,72716.14386082535
08/2021,73867.40413236004
09/2021,74452.82444586059
10/2021,74500.81353444929
11/2021,73835.02942733034
12/2021,79244.93491808117
01/2022,80442.67395104426
02/2022,78937.46140856351
03/2022,79922.32358147076
04/2022,79247.4192888331
05/2022,80920.08442976569
06/2022,75131.2850671568
07/2022,78794.14985946764
08/2022,77350.50273162381
09/2022,71680.1708321285
10/2022,76231.15869902617
11/2022,79555.34933684228
12/2022,76169.56958487841
01/2023,80320.2573432951
02/2023,80547.06851738729
03/2023,78970.08800724256
04/2023,79093.38841099873
05/2023,79280.12638326728
06/2023,83090.88746343291
07/2023,85205.25057584852
08/2023,84172.14506673312
09/2023,84973.96732595921
10/2023,80703.25917818402
11/2023,84684.92093365313
12/2023,88160.26141902656
01/2024,90324.06540354877
02/2024,91535.4012876019
03/2024,96369.55463359924
04/2024,93437.60146643422
