Data,FR0010790980
12/1986,10000
01/1987,9889.957262610731
02/1987,10169.818808458185
03/1987,10487.379130001962
04/1987,10821.254504996681
05/1987,11230.272386890763
06/1987,11700.942754829652
07/1987,12244.217036775603
08/1987,11908.539188938234
09/1987,12087.41432604355
10/1987,9312.03765673185
11/1987,8291.590355584583
12/1987,8441.597214271025
01/1988,8567.15135281735
02/1988,8918.817997961625
03/1988,8875.023081217136
04/1988,9117.101056686262
05/1988,9093.603763916848
06/1988,9564.695081136186
07/1988,9833.04069517813
08/1988,9475.97279017548
09/1988,10002.196819375868
10/1988,10262.502020076443
11/1988,10151.703456053216
12/1988,10396.594796107009
01/1989,11287.55391552171
02/1989,10789.706047661257
03/1989,11297.426897956899
04/1989,11457.706734203213
05/1989,11517.849991314215
06/1989,11800.030714339295
07/1989,12761.201311735324
08/1989,13227.235365304667
09/1989,12868.704019002967
10/1989,11955.110174282654
11/1989,12601.717655460943
12/1989,13425.882312808648
01/1990,13221.000273690623
02/1990,13040.510186708661
03/1990,13289.68719062855
04/1990,12657.515179933118
05/1990,13774.006698933883
06/1990,13992.989550411534
07/1990,14004.34997816245
08/1990,12653.79505453101
09/1990,11361.116741737196
10/1990,11854.3102481649
11/1990,12004.091933106243
12/1990,11804.619397106644
01/1991,12084.635902859214
02/1991,13251.305823771787
03/1991,13840.002979171082
04/1991,14102.20524898031
05/1991,14668.103660927567
06/1991,14146.825115609407
07/1991,14678.54247215624
08/1991,14953.598176633699
09/1991,14907.08876604445
10/1991,14829.186607422642
11/1991,14286.696887838245
12/1991,14533.463819861498
01/1992,15083.628092762356
02/1992,15318.464253955377
03/1992,14966.66884680268
04/1992,15842.002669590258
05/1992,16300.943538218296
06/1992,15404.48187761053
07/1992,14821.359239219508
08/1992,14378.365299903917
09/1992,14845.238365216566
10/1992,14881.707988422258
11/1992,15518.52276954992
12/1992,16006.70726112051
01/1993,15741.60672040363
02/1993,16513.312117354966
03/1993,17212.867856692334
04/1993,16912.60706329332
05/1993,17267.88841115424
06/1993,17984.639116335296
07/1993,18983.6967168758
08/1993,20031.374024200555
09/1993,19723.257870738427
10/1993,20991.21258373854
11/1993,20817.12239881282
12/1993,22377.811630924894
01/1994,22913.9227795522
02/1994,21566.19783126154
03/1994,20566.79736184694
04/1994,21299.924142934822
05/1994,20429.709579413997
06/1994,19696.132126876364
07/1994,20722.588743378827
08/1994,21542.630162569745
09/1994,20370.99106788032
10/1994,20943.07049007105
11/1994,20922.50677846096
12/1994,21016.989400241175
01/1995,20526.183928972474
02/1995,20589.876920170645
03/1995,20818.890661751473
04/1995,21450.65251963512
05/1995,22210.822382996783
06/1995,22188.814378623494
07/1995,23051.501406724128
08/1995,23482.454730497084
09/1995,23895.66638666199
10/1995,23934.158938288732
11/1995,24847.070752771895
12/1995,25714.53203988779
01/1996,26600.70598559191
02/1996,26639.12913527876
03/1996,26760.450568717566
04/1996,27492.50015170433
05/1996,27615.272686138873
06/1996,27640.120439536026
07/1996,26851.736590546618
08/1996,27574.31340616897
09/1996,28903.62702271618
10/1996,29275.665107075787
11/1996,31257.097325887607
12/1996,31833.916994866104
01/1997,33863.31410985135
02/1997,35354.90491202878
03/1997,36581.760222290715
04/1997,37743.41867326792
05/1997,39273.204106013065
06/1997,42401.956330562025
07/1997,46628.73556025961
08/1997,42853.43012625964
09/1997,46306.8846683566
10/1997,42669.61327855589
11/1997,44201.83113493816
12/1997,46300.297450931335
01/1998,49230.87298319577
02/1998,52856.28406035176
03/1998,56966.30606378348
04/1998,57126.803541369394
05/1998,58920.61455250342
06/1998,60983.1991094916
07/1998,62237.00419216078
08/1998,53965.539291678855
09/1998,48519.97307074975
10/1998,52210.75015043175
11/1998,57416.63760250301
12/1998,59535.82150206112
01/1999,61793.57784913249
02/1999,62027.90786235193
03/1999,64106.62333213308
04/1999,67696.46738197963
05/1999,65178.055682992715
06/1999,67799.13397320626
07/1999,65601.146751879
08/1999,67138.47106981602
09/1999,65889.38426733126
10/1999,71016.71627250598
11/1999,77762.33304384135
12/1999,86148.08096777019
01/2000,82148.38888205169
02/2000,88756.78033083158
03/2000,92090.31500143356
04/2000,92830.86874291509
05/2000,90290.15804357828
06/2000,88421.58004798823
07/2000,89260.04483258515
08/2000,92072.22389630372
09/2000,87717.74501411321
10/2000,90931.12140289677
11/2000,84805.66436200602
12/2000,83753.02062415132
01/2001,83804.79367700599
02/2001,75569.76744436478
03/2001,73892.98718066908
04/2001,79054.56802316385
05/2001,78721.30597543708
06/2001,75301.78053208125
07/2001,72967.66467382027
08/2001,67715.66882857047
09/2001,62209.73235723466
10/2001,64577.872592733715
11/2001,66588.35570992752
12/2001,68935.6111096198
01/2002,66838.0449243887
02/2002,66392.28152719546
03/2002,69241.02534026593
04/2002,65904.15601256814
05/2002,63304.80283152229
06/2002,57760.00022509434
07/2002,51683.08237593918
08/2002,51377.75759306227
09/2002,43923.83855834051
10/2002,48623.21704510711
11/2002,50577.53014423333
12/2002,46111.66841406083
01/2003,42543.135474160226
02/2003,41307.409032806005
03/2003,40231.65370913054
04/2003,44638.78243155149
05/2003,44773.390606294415
06/2003,46405.38653427406
07/2003,47986.40617841757
08/2003,48305.96170897154
09/2003,46520.52632544895
10/2003,49497.506684388514
11/2003,50142.47095576741
12/2003,51966.48400678001
01/2004,52682.78985372808
02/2004,53826.14965136791
03/2004,52394.44026718012
04/2004,53462.483316132806
05/2004,53078.81176104633
06/2004,53409.16983862422
07/2004,52691.786565314294
08/2004,52332.03110036445
09/2004,53316.12090009152
10/2004,53793.16055392298
11/2004,54841.841696310985
12/2004,55599.854772675666
01/2005,56496.521280900626
02/2005,58145.67188359476
03/2005,57840.83464791092
04/2005,57148.19880377314
05/2005,59864.23672338446
06/2005,62018.0290774202
07/2005,64120.86636235622
08/2005,63878.417129827096
09/2005,66911.5700154434
10/2005,65709.53642159903
11/2005,67189.26902358665
12/2005,68933.9867004506
01/2006,70952.13264144024
02/2006,71577.30613934778
03/2006,72720.45150793326
04/2006,73480.41951502702
05/2006,70277.1573293772
06/2006,70867.67286916745
07/2006,72342.44256548675
08/2006,74220.73736587842
09/2006,74823.90591998653
10/2006,77345.78742773527
11/2006,76157.30334927728
12/2006,78176.61906914128
01/2007,79545.20122047082
02/2007,77644.62369519049
03/2007,78979.67703570126
04/2007,82392.09670336015
05/2007,84672.75969505348
06/2007,85110.31122107655
07/2007,81840.68113258785
08/2007,81564.19327472111
09/2007,82783.1734699517
10/2007,84267.18971154888
11/2007,81596.20278494763
12/2007,80102.94431478916
01/2008,70495.64382837868
02/2008,69554.29734060541
03/2008,66170.06927731809
04/2008,71246.13992944101
05/2008,70860.92788407454
06/2008,64801.57610150831
07/2008,64268.94074087837
08/2008,65272.27176692618
09/2008,59074.18299635519
10/2008,52305.76379516115
11/2008,48708.64584769195
12/2008,47011.949110405876
01/2009,44784.9039998005
02/2009,40194.886047915235
03/2009,41345.33327696184
04/2009,46373.93617293167
05/2009,49107.23107980004
06/2009,48588.48518638567
07/2009,53096.04420431835
08/2009,55817.60647798796
09/2009,57078.66433185388
10/2009,56072.0018071055
11/2009,56834.001932713916
12/2009,60435.72917165185
01/2010,57953.33700061413
02/2010,57927.98524498705
03/2010,61847.76080790683
04/2010,59925.47449224906
05/2010,57149.68205209281
06/2010,56336.16544237148
07/2010,59140.5367633528
08/2010,58659.873159418974
09/2010,59489.56764222291
10/2010,60991.336000925396
11/2010,59624.75985646491
12/2010,62236.24385630265
01/2011,63931.92581616839
02/2011,65542.71799454646
03/2011,62582.37059789378
04/2011,64735.20479254013
05/2011,64709.74500315437
06/2011,63080.43245727187
07/2011,61837.057396778466
08/2011,55306.00439557195
09/2011,53472.3190704587
10/2011,57416.16808390687
11/2011,57198.619611403876
12/2011,58969.59655262073
01/2012,60368.02469426935
02/2012,61993.04184527605
03/2012,61745.1271279572
04/2012,60761.356384380306
05/2012,57527.07777442208
06/2012,60841.440628252545
07/2012,63374.81554780683
08/2012,64376.00416944115
09/2012,64739.14012216553
10/2012,64986.644614220684
11/2012,65844.11619913537
12/2012,66524.72887143723
01/2013,68265.48874390301
02/2013,68671.0041602338
03/2013,70262.36440491992
04/2013,71376.16532975517
05/2013,72261.06083580208
06/2013,68769.82183181414
07/2013,71317.1528445956
08/2013,70814.7064874947
09/2013,73692.5263170313
10/2013,76473.82751701972
11/2013,77273.43921998909
12/2013,77784.64049481289
01/2014,76091.15497265456
02/2014,79415.54962920594
03/2014,78340.80758555295
04/2014,80293.35567921393
05/2014,82419.02659764374
06/2014,82020.3715860799
07/2014,81091.84997812862
08/2014,83162.38107682623
09/2014,83884.00341132552
10/2014,82062.38857333176
11/2014,84382.61540845496
12/2014,82461.24768472716
01/2015,87852.78954472489
02/2015,93649.945839099
03/2015,95089.82302269747
04/2015,95568.14913465203
05/2015,96428.14479912589
06/2015,92090.88680227568
07/2015,96227.48084265826
08/2015,87563.28136576504
09/2015,83891.26882175126
10/2015,90722.36477164066
11/2015,92978.57165451744
12/2015,87703.43712201562
01/2016,82156.50680579623
02/2016,79572.66431273072
03/2016,79668.97816492448
04/2016,81970.10575034004
05/2016,84140.88536408692
06/2016,81579.79465947962
07/2016,83498.42733787747
08/2016,83437.69607217687
09/2016,82898.46065289807
10/2016,82107.24511190488
11/2016,82829.97942555325
12/2016,88140.70240951469
01/2017,87246.77125570159
02/2017,90276.81962783546
03/2017,93431.26163317454
04/2017,94371.87325456856
05/2017,96175.97813355998
06/2017,93453.17140340254
07/2017,92266.5430782053
08/2017,91444.48591336234
09/2017,95434.38977990428
10/2017,97056.81550628954
11/2017,95238.80740253555
12/2017,95929.92160268416
01/2018,96977.50081708483
02/2018,92073.98063279303
03/2018,90203.69970304015
04/2018,94432.29789025703
05/2018,94054.81190443979
06/2018,93994.57369527424
07/2018,97781.35961722831
08/2018,94343.0298338892
09/2018,95205.2503654638
10/2018,91564.92564230914
11/2018,91346.55143216807
12/2018,86005.08579432327
01/2019,90349.74081436268
02/2019,94794.52945074334
03/2019,97953.5926972608
04/2019,101050.61868003484
05/2019,96927.30520024488
06/2019,101367.26674814822
07/2019,101429.5019869767
08/2019,100382.35496125082
09/2019,104278.17285345469
10/2019,104783.29049354218
11/2019,107459.4817953881
12/2019,109379.162980267
01/2020,108099.02245072799
02/2020,98767.4289982441
03/2020,88539.60801557757
04/2020,92709.15512828233
05/2020,94398.03471245199
06/2020,97744.82279882114
07/2020,95447.29684930142
08/2020,97017.94238609713
09/2020,95422.18008361093
10/2020,88783.44324118394
11/2020,100519.8933502616
12/2020,102379.47936276339
01/2021,101365.30843643444
02/2021,103200.66574599392
03/2021,110313.34867670742
04/2021,112735.92316538675
05/2021,115122.00690935974
06/2021,117683.7273520658
07/2021,119219.27847988899
08/2021,121604.64196907051
09/2021,117841.19740305006
