Data,DE000A0Q4R28
12/1986,10000
01/1987,9046.086151368761
02/1987,8648.931313387557
03/1987,8886.962705686694
04/1987,9242.090464486204
05/1987,9031.545202027666
06/1987,9607.998446317406
07/1987,10033.40525721207
08/1987,9710.369155365528
09/1987,9536.078263141762
10/1987,7225.630590914059
11/1987,6086.755327031244
12/1987,5769.797207013096
01/1988,5476.458083952926
02/1988,6431.487463916356
03/1988,6208.834192031598
04/1988,6225.129330392789
05/1988,6159.404990076358
06/1988,6562.916816982997
07/1988,6885.5155796285635
08/1988,6482.62515381418
09/1988,6926.1618001089855
10/1988,7373.361246522102
11/1988,7211.5458579673905
12/1988,7375.0226920359755
01/1989,7188.734017038554
02/1989,7158.071243631377
03/1989,7403.073495580341
04/1989,7437.417006413238
05/1989,7691.417717199894
06/1989,8152.223414791351
07/1989,8770.529679549776
08/1989,9306.831348604132
09/1989,8897.00526544038
10/1989,8198.66112624547
11/1989,8227.965959421126
12/1989,9109.831253168275
01/1990,8836.359406051508
02/1990,8856.78446660375
03/1990,9430.61764803751
04/1990,8859.235507595376
05/1990,8950.979292292759
06/1990,8918.488606779507
07/1990,8631.84891771043
08/1990,6978.721824075147
09/1990,5854.042316302968
10/1990,5922.34478413147
11/1990,5659.085398334567
12/1990,5521.862239813682
01/1991,5306.378398262823
02/1991,6085.720190120956
03/1991,6345.294406370899
04/1991,6508.631708703333
05/1991,7020.356777285113
06/1991,7036.071070273669
07/1991,6964.379936743917
08/1991,7217.8743788027905
09/1991,6823.124355471613
10/1991,6601.297249369845
11/1991,6550.874215894936
12/1991,6555.57694436961
01/1992,6975.898686119441
02/1992,7213.072305960316
03/1992,7238.475681900552
04/1992,7680.984401650905
05/1992,7999.444774698387
06/1992,7570.395617528319
07/1992,7055.998093150971
08/1992,6433.474336106993
09/1992,6011.43375772045
10/1992,6018.928495228351
11/1992,6062.985991736687
12/1992,6007.134193002042
01/1993,6363.067029807257
02/1993,6810.0541158795095
03/1993,6780.709372734566
04/1993,6759.207806104006
05/1993,6686.900636551696
06/1993,7310.888256009747
07/1993,8013.196798916948
08/1993,8640.142495614435
09/1993,8169.039593525244
10/1993,8143.145897173984
11/1993,7990.501480989401
12/1993,9287.779498318547
01/1994,9790.931640610748
02/1994,9788.4772405764
03/1994,10265.093261942147
04/1994,11326.018164310266
05/1994,10503.037639514545
06/1994,9955.63911171323
07/1994,10929.238394094335
08/1994,10815.549132019753
09/1994,10008.932043034058
10/1994,10031.639025321681
11/1994,9772.812222105944
12/1994,9692.731043800064
01/1995,9355.987510539479
02/1995,9472.63137040704
03/1995,8811.214469599927
04/1995,9225.080976615547
05/1995,9572.133929218286
06/1995,9083.113339229605
07/1995,9690.59165613523
08/1995,9917.113933276229
09/1995,10081.573878271227
10/1995,9445.516487007983
11/1995,9439.96318509456
12/1995,9608.272920699908
01/1996,10594.575932306148
02/1996,10596.949282469825
03/1996,10589.671048993243
04/1996,11014.470848720666
05/1996,10957.544742172264
06/1996,10883.956203896525
07/1996,10225.98881117499
08/1996,10453.82112206212
09/1996,10822.01862757466
10/1996,10840.964002784971
11/1996,11808.301288454988
12/1996,11960.825628814258
01/1997,13019.296989715414
02/1997,13708.028209503394
03/1997,14545.438129206681
04/1997,14628.835089592527
05/1997,14824.139507782687
06/1997,16069.525518167853
07/1997,17220.64246761116
08/1997,15848.81491725228
09/1997,17282.14696386961
10/1997,14697.250622273237
11/1997,14983.991292237552
12/1997,15312.628904873787
01/1998,16132.830900153158
02/1998,18065.13700152808
03/1998,20919.056593489466
04/1998,21103.48172716979
05/1998,22952.855165616482
06/1998,23443.280852605658
07/1998,22933.34769547041
08/1998,19012.72289043298
09/1998,16547.358949216487
10/1998,16746.34162925947
11/1998,18971.673482136
12/1998,19054.606185083314
01/1999,20716.096035898478
02/1999,19414.470057381193
03/1999,18912.10067306607
04/1999,21204.72282038671
05/1999,19536.63667372531
06/1999,20330.89443882398
07/1999,19064.213719601106
08/1999,19137.974462133498
09/1999,18233.595143328417
10/1999,19206.185152971742
11/1999,17676.85184865707
12/1999,19863.558304136517
01/2000,17830.714320185056
02/2000,17830.197456294703
03/2000,18402.523436626252
04/2000,17979.41098636882
05/2000,17527.586991446467
06/2000,16691.934800626972
07/2000,17689.4485868818
08/2000,18126.448253255217
09/2000,17233.53071224324
10/2000,18389.683944139837
11/2000,16848.166997949902
12/2000,16652.891241566544
01/2001,18009.86912483137
02/2001,18799.18319025033
03/2001,17510.071461638207
04/2001,19264.232835948515
05/2001,19200.308805070672
06/2001,18833.11951432236
07/2001,19093.940350249166
08/2001,17057.313336373445
09/2001,12548.565995729015
10/2001,14142.97304401209
11/2001,16143.56259165539
12/2001,16898.5317064266
01/2002,17279.078300382225
02/2002,17481.541392064577
03/2002,19108.728471253486
04/2002,18463.95999779314
05/2002,18956.506017839525
06/2002,17464.07240041541
07/2002,16159.022057851602
08/2002,16107.860055006238
09/2002,12962.647339716326
10/2002,13677.166717657445
11/2002,14365.575604808715
12/2002,12138.948030606858
01/2003,11939.208982969416
02/2003,11577.633551796042
03/2003,10203.684099042131
04/2003,12000.715771334022
05/2003,11495.152201169702
06/2003,13115.581353057638
07/2003,13551.450170763275
08/2003,14757.804823556422
09/2003,13275.683634522804
10/2003,14314.114414069056
11/2003,14321.045776484912
12/2003,15271.409658869508
01/2004,15258.730546130084
02/2004,15089.762671118202
03/2004,14528.47362536631
04/2004,15875.788305146265
05/2004,15856.692691875916
06/2004,16505.813702032556
07/2004,16383.104484323943
08/2004,15639.816647781352
09/2004,15378.35372631136
10/2004,15288.984855605018
11/2004,15268.908091188336
12/2004,15694.31377427608
01/2005,16129.895131528268
02/2005,16689.239982573235
03/2005,16708.75698783486
04/2005,15464.809067946551
05/2005,16747.71775819229
06/2005,17411.99556624192
07/2005,19086.371002792614
08/2005,18917.05074150495
09/2005,20324.83721209218
10/2005,18744.931961691476
11/2005,19031.241646380306
12/2005,19194.31845058674
01/2006,20605.36905496917
02/2006,21493.563572080133
03/2006,22668.011363996113
04/2006,22467.096139404326
05/2006,21158.81049516979
06/2006,20186.620285816676
07/2006,20541.41680207749
08/2006,21434.32593754506
09/2006,21838.638082287987
10/2006,23513.461206417134
11/2006,23272.29607880223
12/2006,24440.190984893125
01/2007,25337.896023273366
02/2007,26338.321678438486
03/2007,28952.6387140062
04/2007,30368.537536645304
05/2007,32664.682650011848
06/2007,33417.6810744911
07/2007,32796.59430388279
08/2007,31886.60606619497
09/2007,33427.46049941732
10/2007,36635.57098645636
11/2007,32049.170021876318
12/2007,30726.976247186783
01/2008,25821.91289635435
02/2008,25894.84145350653
03/2008,26424.30217949698
04/2008,26174.400056523908
05/2008,26213.032537025676
06/2008,22049.106061403956
07/2008,22219.351588005127
08/2008,22766.159987723044
09/2008,22416.104455171528
10/2008,24456.543426413726
11/2008,17663.765537562605
12/2008,17353.095164585517
01/2009,15591.063484355394
02/2009,12934.654604892758
03/2009,14725.92370592599
04/2009,19059.448177658192
05/2009,18391.62117145585
06/2009,18851.16992869032
07/2009,21765.2972486829
08/2009,19522.36724028402
09/2009,20051.680758894618
10/2009,19779.925797660184
11/2009,19423.20780868608
12/2009,20623.37277843871
01/2010,19368.455674793768
02/2010,17742.266955346404
03/2010,20238.887015858723
04/2010,21510.453120419006
05/2010,21159.891595204354
06/2010,21729.51450339775
07/2010,22731.08968177348
08/2010,21816.38324858537
09/2010,25443.783302306503
10/2010,26919.258141834092
11/2010,28669.039807286827
12/2010,29837.440193876275
01/2011,30312.12654666912
02/2011,30178.571227404693
03/2011,29125.24433257987
04/2011,31976.427473705357
05/2011,30926.788417110594
06/2011,33312.14009277757
07/2011,32009.763806251973
08/2011,25297.928699906613
09/2011,22048.1938357831
10/2011,25511.26679079732
11/2011,24069.763241097695
12/2011,22969.230305338693
01/2012,27752.110930945346
02/2012,29684.562813611163
03/2012,29327.73641489366
04/2012,29248.98476138414
05/2012,26285.223889706234
06/2012,25451.96246392118
07/2012,28094.57079489766
08/2012,27867.86807649877
09/2012,27773.1113325258
10/2012,28381.751235403626
11/2012,30234.58769434428
12/2012,31824.573844354312
01/2013,32887.64158674882
02/2013,33233.91930543093
03/2013,31677.31145287996
04/2013,32443.631305774445
05/2013,36658.52691604041
06/2013,34379.687558616606
07/2013,38680.37979805187
08/2013,37710.671825473335
09/2013,40916.483892920834
10/2013,42786.58666153083
11/2013,44287.51570671261
12/2013,44657.729947412496
01/2014,44306.912483238506
02/2014,47559.91813730002
03/2014,48103.765594887314
04/2014,48119.65943080298
05/2014,49418.04448898403
06/2014,48353.134510323136
07/2014,45054.79673765388
08/2014,44915.751218311016
09/2014,42863.43534109885
10/2014,43489.06692339781
11/2014,47171.570691148874
12/2014,47119.84444724374
01/2015,53937.11526437881
02/2015,59193.543816161706
03/2015,62046.98207632383
04/2015,60609.23442774044
05/2015,60541.813466667016
06/2015,58160.491594959196
07/2015,55428.97773545479
08/2015,50111.517972174246
09/2015,44263.650565752
10/2015,52151.26312614207
11/2015,56471.969433758975
12/2015,53748.701699641766
01/2016,44980.4401519229
02/2016,44785.31885364914
03/2016,47658.30269170562
04/2016,47209.45350561753
05/2016,47608.86947754059
06/2016,41182.00367589213
07/2016,46619.887055129584
08/2016,47061.801403259284
09/2016,47045.517520354406
10/2016,48383.5470517807
11/2016,47899.30107192575
12/2016,52618.58664993075
01/2017,52974.32587690916
02/2017,53562.37525662588
03/2017,55425.80575860981
04/2017,56634.95906417497
05/2017,54217.58339837068
06/2017,53091.05701067753
07/2017,52213.28795947013
08/2017,52951.82083380744
09/2017,58657.24097061827
10/2017,60743.869120160314
11/2017,60720.0015579018
12/2017,60660.62982883381
01/2018,65491.553855875194
02/2018,62180.09044149326
03/2018,61792.22039288565
04/2018,62636.99600222708
05/2018,60859.284076383075
06/2018,55158.132455335704
07/2018,57338.64573207068
08/2018,54108.8405156571
09/2018,53832.83010147212
10/2018,49771.80326566851
11/2018,47879.15848252018
12/2018,44407.2147612201
01/2019,49526.7328867208
02/2019,50347.91002198242
03/2019,48913.43237497566
04/2019,53711.909819066954
05/2019,47361.0107468181
06/2019,50732.39215431557
07/2019,49790.59014510017
08/2019,46853.00996050872
09/2019,49661.69449695339
10/2019,53051.29971701655
11/2019,53586.07558541887
12/2019,52507.64490754234
01/2020,47355.81940188736
02/2020,43338.94820950126
03/2020,32778.964996639974
04/2020,37143.18560557539
05/2020,38733.206970068844
06/2020,40599.3773585833
07/2020,39603.67260065294
08/2020,43743.25735104679
09/2020,44699.583310336195
10/2020,43358.66328346842
11/2020,52820.25291856713
12/2020,55193.07030016599
01/2021,54841.322736690316
02/2021,58344.08857609064
03/2021,68207.37328940992
04/2021,65194.20192255273
05/2021,68604.91854688233
06/2021,68308.21740315387
07/2021,67566.7722890628
08/2021,66257.45106579828
09/2021,66499.85172935191
10/2021,70810.13809702486
11/2021,66677.4951592787
12/2021,69497.74612693474
01/2022,69737.36186901445
02/2022,65955.98422598236
03/2022,60718.91721760102
04/2022,60110.13778806931
05/2022,62699.7365527864
06/2022,54297.79335181607
07/2022,59454.71171231962
08/2022,56662.19929704947
09/2022,52097.70649407607
10/2022,56796.24198927911
11/2022,61277.89868516315
12/2022,57543.37240098204
01/2023,64054.34959838499
02/2023,68158.14729471745
03/2023,67424.5134066611
04/2023,66454.54691989235
05/2023,67240.5188663324
06/2023,72715.0483156953
07/2023,74420.09259444581
08/2023,69314.43823502156
09/2023,68366.52521000137
10/2023,62761.13532033116
11/2023,69069.10625312681
12/2023,71168.05084937566
01/2024,70624.47262310688
02/2024,79659.10358175951
03/2024,82007.35471947871
04/2024,77627.27074970338
