Data,IE00BL25JP72
04/2004,26173.112886776376
05/2004,25894.61435669044
06/2004,26795.436481051325
07/2004,25921.727836623744
08/2004,26092.640691655124
09/2004,26286.92280901254
10/2004,26068.652069442727
11/2004,26801.74840489432
12/2004,26762.860323676596
01/2005,27621.379584244103
02/2005,29329.882857254648
03/2005,29328.028799309166
04/2005,28104.323910185758
05/2005,30394.632384395674
06/2005,32314.03304507446
07/2005,33715.234941141025
08/2005,34471.68935781644
09/2005,36624.625834603576
10/2005,35165.82978608387
11/2005,37148.4705369157
12/2005,39398.604000173735
01/2006,41250.08061933782
02/2006,41092.671022727955
03/2006,41710.534871752236
04/2006,41659.98101041621
05/2006,38165.35843448962
06/2006,38392.43220588952
07/2006,38049.888958054995
08/2006,37911.43749357193
09/2006,38231.90612097044
10/2006,40444.5967480648
11/2006,40369.6015941462
12/2006,41799.841783769654
01/2007,43193.75587659219
02/2007,42243.647459562686
03/2007,43212.917804140954
04/2007,43876.935875486044
05/2007,45812.32495418929
06/2007,45337.588953640996
07/2007,44468.11387649687
08/2007,43924.63982145628
09/2007,45854.81862634248
10/2007,47042.027612416365
11/2007,44063.29936795298
12/2007,44552.06793710928
01/2008,39435.72960589806
02/2008,39373.4300382175
03/2008,37255.76913485131
04/2008,40425.266042297786
05/2008,41665.28380911482
06/2008,40276.723373982786
07/2008,37326.034244329654
08/2008,38571.09521793157
09/2008,33091.14022307864
10/2008,32032.371959648
11/2008,29870.616868119676
12/2008,28106.479268226125
01/2009,27837.755654689976
02/2009,25285.439643263366
03/2009,25322.50787922508
04/2009,26455.402304121864
05/2009,26233.10319162458
06/2009,25906.001674399246
07/2009,28014.299724013195
08/2009,28281.445649812485
09/2009,28780.30185058638
10/2009,28108.147297579402
11/2009,28855.150682418116
12/2009,30933.196310131247
01/2010,29820.960370667923
02/2010,31531.447357362355
03/2010,34005.853116121194
04/2010,34859.525397972764
05/2010,34280.148240678274
06/2010,33056.16347235506
07/2010,33608.456063923215
08/2010,32968.50416330409
09/2010,34194.4743875639
10/2010,35184.669663612185
11/2010,37663.237111327675
12/2010,38627.92901220342
01/2011,37969.73308672212
02/2011,38949.7861080776
03/2011,38387.878265820495
04/2011,38610.995547599436
05/2011,39198.736470918666
06/2011,38669.772280499055
07/2011,38651.23601292846
08/2011,36012.620088037664
09/2011,36756.24634601259
10/2011,37784.202936475
11/2011,39401.50780352896
12/2011,41467.109134534185
01/2012,41288.36161977046
02/2012,42283.04161962392
03/2012,43910.3039889072
04/2012,44770.81644866222
05/2012,45507.540855407606
06/2012,46670.6759441999
07/2012,48730.7910131756
08/2012,48097.90246644077
09/2012,47950.143081215385
10/2012,46678.55671775248
11/2012,47231.309661052546
12/2012,46278.16097092871
01/2013,46924.748714843576
02/2013,49167.72985163556
03/2013,52475.75315157427
04/2013,52980.50503482461
05/2013,52551.76188386097
06/2013,52493.89896344953
07/2013,53425.89814432486
08/2013,52014.24645129228
09/2013,54072.54315820562
10/2013,55099.32424274845
11/2013,56427.88309511596
12/2013,57264.1461187191
01/2014,56805.77180874666
02/2014,58752.533700830965
03/2014,57177.54757211148
04/2014,56253.968157972005
05/2014,59299.34997433021
06/2014,60319.708218209315
07/2014,60321.590313121014
08/2014,63106.39074412968
09/2014,64804.1967721581
10/2014,65650.58610232324
11/2014,67938.47650857345
12/2014,69136.4793339459
01/2015,74098.31080907893
02/2015,78371.12301699397
03/2015,81138.44051056365
04/2015,78072.55528488205
05/2015,81352.52838843383
06/2015,78450.82178667973
07/2015,82554.18805446004
08/2015,75374.09948959351
09/2015,72673.22342649779
10/2015,78999.78253687761
11/2015,82369.15209163341
12/2015,80034.56702623011
01/2016,76352.41725250996
02/2016,75569.9993273266
03/2016,76231.35987996821
04/2016,76231.15750667003
05/2016,79493.17723192711
06/2016,82041.71355402686
07/2016,84208.78453110503
08/2016,81734.07696039014
09/2016,82083.92405198846
10/2016,81172.62057942708
11/2016,83902.90321472687
12/2016,85910.18450961457
01/2017,87197.38220144584
02/2017,90580.56343968266
03/2017,91671.77765748504
04/2017,91338.68153012086
05/2017,92708.10619821538
06/2017,91354.54886812152
07/2017,91631.7461736388
08/2017,92171.55687293413
09/2017,94660.95217461816
10/2017,100387.6991979552
11/2017,100417.29372423924
12/2017,99491.46935195406
01/2018,103486.31652449815
02/2018,103813.51780611661
03/2018,99531.75561807121
04/2018,102547.38277350874
05/2018,108863.86034844458
06/2018,108835.50092383947
07/2018,110493.11824620578
08/2018,116296.90195310705
09/2018,118159.13316273372
10/2018,108892.89610189537
11/2018,110026.66314934041
12/2018,101077.742231229
01/2019,107151.9360310233
02/2019,111768.27726279318
03/2019,116474.89291918623
04/2019,120376.24662365783
05/2019,116682.42355213614
06/2019,121541.40260338162
07/2019,125260.61830156895
08/2019,126624.3077696726
09/2019,127268.23053451943
10/2019,125756.17726189221
11/2019,131024.25497249363
12/2019,131210.9192202657
01/2020,136854.298237751
02/2020,127872.15934537891
03/2020,114999.32294414089
04/2020,127686.88423029339
05/2020,131854.90415477616
06/2020,137161.96874175593
07/2020,138260.69719350958
08/2020,147763.49103675946
09/2020,145807.80920347094
10/2020,140724.25789975683
11/2020,150946.85960844147
12/2020,153689.3481941761
01/2021,156644.5491290855
02/2021,155806.3483750104
03/2021,161436.60966142695
04/2021,167280.20702954626
05/2021,163872.40599331
06/2021,170123.54841982812
07/2021,172786.7278237663
08/2021,179104.35464473732
09/2021,176218.03172065623
10/2021,188367.06205375612
11/2021,187089.49054189786
12/2021,190424.08130101569
01/2022,178331.18227035546
02/2022,173774.7717381819
03/2022,183073.83506700056
04/2022,170911.26394647613
05/2022,167845.1613069901
06/2022,160100.11873252058
07/2022,170174.45920349594
08/2022,169068.93314947071
09/2022,160681.40876565798
10/2022,173691.5186038087
11/2022,174760.5703830712
12/2022,165813.27992824535
01/2023,164977.38924377656
02/2023,162832.08225847656
03/2023,160361.0615385453
04/2023,163352.9853485993
05/2023,159729.455163479
06/2023,167127.90547066578
07/2023,168711.38814370078
08/2023,168893.1574893934
09/2023,166111.9655145729
10/2023,162718.0401667109
11/2023,172745.32063437998
12/2023,178417.1638950227
01/2024,192048.78511627344
02/2024,209568.35324994757
03/2024,218909.26033443838
04/2024,211774.16814224573
