Data,LU0292104469
12/1986,10000
01/1987,9561.251735078327
02/1987,9671.859835766672
03/1987,10159.97164731434
04/1987,10679.54818859409
05/1987,10370.814455296193
06/1987,10727.679943916924
07/1987,10823.008388867062
08/1987,10475.866704504118
09/1987,10367.370932559083
10/1987,7663.129279060785
11/1987,6419.131889501332
12/1987,6245.506630820773
01/1988,5837.725405252269
02/1988,6600.071278278073
03/1988,6745.616384012376
04/1988,6946.397235951884
05/1988,7027.602693191575
06/1988,7723.768970504854
07/1988,7778.093437324172
08/1988,7684.386553230205
09/1988,8124.391666585109
10/1988,8400.471572550108
11/1988,8063.141368428445
12/1988,8516.525499004912
01/1989,8861.285626557461
02/1989,8636.405133747445
03/1989,9159.246481401891
04/1989,9348.984738147668
05/1989,9792.634232314951
06/1989,9901.410083029321
07/1989,10394.89087062452
08/1989,10726.78608090065
09/1989,10918.850729879996
10/1989,10108.810458008811
11/1989,10946.799927727045
12/1989,11580.93935929181
01/1990,11381.523857028064
02/1990,11163.543509320398
03/1990,11793.225749158059
04/1990,11567.393232824936
05/1990,11982.67089547934
06/1990,12166.13775602255
07/1990,12013.962920058106
08/1990,10339.519780750445
09/1990,8655.193965298144
10/1990,9612.757756797404
11/1990,9440.798379355965
12/1990,9278.72358341084
01/1991,9539.914950227983
02/1991,10328.850295870287
03/1991,10492.72031102387
04/1991,10355.010331531868
05/1991,10885.781434414903
06/1991,10586.601983067829
07/1991,10723.83189947391
08/1991,10917.7121499428
09/1991,10631.456571329203
10/1991,10487.07201758053
11/1991,9804.334509337967
12/1991,9766.71442986207
01/1992,10288.745316138198
02/1992,10764.628591981289
03/1992,10796.104660798594
04/1992,11399.478767372131
05/1992,11655.19791876679
06/1992,10781.16830563973
07/1992,9955.378843508148
08/1992,9510.25538955697
09/1992,9420.153834210132
10/1992,9219.007921418397
11/1992,9749.599432041428
12/1992,10053.96760871619
01/1993,10130.327857860595
02/1993,10980.588587782144
03/1993,11381.756245450797
04/1993,11323.44700319283
05/1993,11549.22525190168
06/1993,12166.835268596136
07/1993,13115.710104808602
08/1993,13914.422048648177
09/1993,13823.474141999024
10/1993,14624.53339187044
11/1993,14102.145884808835
12/1993,15276.631708317876
01/1994,15637.882686549909
02/1994,14956.42870220901
03/1994,15016.738666818157
04/1994,15900.716481126681
05/1994,14901.552190212586
