Data,IE00B1XNH568
08/2011,9451.586099688753
09/2011,9058.200958452144
10/2011,9785.339900170853
11/2011,9381.451066203783
12/2011,9268.776402567282
01/2012,9719.578974427082
02/2012,10040.811975192742
03/2012,9809.853646395599
04/2012,8965.034593737952
05/2012,8050.384559383075
06/2012,9034.399767261675
07/2012,8789.119157584497
08/2012,9554.760134221058
09/2012,9592.253755982818
10/2012,9880.703829812252
11/2012,10068.620221279314
12/2012,10361.942168940892
01/2013,11101.156865691464
02/2013,10134.31693022385
03/2013,9760.563161533595
04/2013,10695.837801192429
05/2013,11152.752838233582
06/2013,9941.308550534026
07/2013,10749.322282306499
08/2013,10876.535331836272
09/2013,11419.067455411352
10/2013,12682.672348677817
11/2013,12472.018576648179
12/2013,12443.280848625014
01/2014,12735.277591417542
02/2014,13403.18321513623
03/2014,14220.827283232717
04/2014,14291.21721992822
05/2014,14396.444688475583
06/2014,14225.763925410422
07/2014,13745.55625588562
08/2014,13661.153634485907
09/2014,14017.716532556251
10/2014,13270.129656064724
11/2014,13442.674699120744
12/2014,12767.886663634634
01/2015,13768.386224116282
02/2015,14996.20733378413
03/2015,15544.816272344115
04/2015,15480.714120744364
05/2015,16031.676025371607
06/2015,15392.203009899838
07/2015,16125.996748976759
08/2015,15027.791576612886
09/2015,14631.324588930125
10/2015,15415.503679628804
11/2015,15627.694633079473
12/2015,14732.061068381152
01/2016,12828.627597804172
02/2016,12113.76553803378
03/2016,12452.333488003453
04/2016,12827.979959563345
05/2016,12703.746161219153
06/2016,11493.190433936197
07/2016,11950.397182094062
08/2016,12015.370777185275
09/2016,11678.468107236995
10/2016,12190.625839126344
11/2016,12084.169633724547
12/2016,13727.057575447247
01/2017,13295.577844236843
02/2017,13522.375600000476
03/2017,14649.517539829721
04/2017,14800.880273908053
05/2017,15117.491689807872
06/2017,15026.508770037568
07/2017,15714.393421643403
08/2017,15843.730925476611
09/2017,16639.41875280226
10/2017,16705.95696540573
11/2017,16426.09694362686
12/2017,16044.65245947893
01/2018,17301.713888955757
02/2018,16634.65271665101
03/2018,16486.676490014717
04/2018,17699.33913417393
05/2018,16357.946572309442
06/2018,16270.523538697664
07/2018,16760.060583760827
08/2018,15286.89158838177
09/2018,15665.896935075198
10/2018,14404.619024639647
11/2018,14531.46397026932
12/2018,13873.8251053558
01/2019,14998.664777020966
02/2019,15700.240898576163
03/2019,16173.567284877845
04/2019,16710.168855093336
05/2019,15438.631411199247
06/2019,16601.24843251404
07/2019,16778.349075951337
08/2019,16714.41879109816
09/2019,17380.816337486947
10/2019,17836.504793894295
11/2019,18309.018508229827
12/2019,18499.89081529419
01/2020,18353.81561757394
02/2020,17358.920444282943
03/2020,13460.38102999154
04/2020,13970.482448835734
05/2020,14492.243647921574
06/2020,15475.931987642361
07/2020,15297.537085797909
08/2020,15727.167009078014
09/2020,15243.874407874275
10/2020,14379.911258043861
11/2020,17691.006204472025
12/2020,17824.93229206925
01/2021,17354.457876322725
02/2021,18375.938945362675
03/2021,19819.405301649345
04/2021,19434.90327327494
05/2021,20440.280731555074
06/2021,20426.367095810765
07/2021,20710.296820640597
08/2021,21231.969348671526
09/2021,21015.841031753494
10/2021,22116.248178378817
11/2021,21356.50778912482
12/2021,22619.927095812982
01/2022,22259.281625071944
02/2022,21093.76850157107
03/2022,20761.958854736928
04/2022,20330.76618981305
05/2022,20836.028536451067
06/2022,18152.82679266193
07/2022,19178.468896323895
08/2022,18448.58637641055
09/2022,17692.863151343903
10/2022,19404.1855529878
11/2022,21219.67901367135
12/2022,20436.611193451692
01/2023,23029.377856920197
02/2023,23785.84079871007
03/2023,23495.0639961365
04/2023,23780.59586851095
05/2023,23167.083711227508
06/2023,25157.990832339732
07/2023,26511.729134287438
08/2023,25776.748187349578
09/2023,25275.50801125191
10/2023,24819.467062737498
11/2023,26822.710365020892
12/2023,27371.07175225883
01/2024,27836.058055130114
02/2024,29493.114009862067
03/2024,31482.14178266957
04/2024,31038.481385255473
