Data,FR0010754200
06/2011,10000
07/2011,10011.868401872563
08/2011,10030.04045665594
09/2011,10031.813002197807
10/2011,10036.94771054036
11/2011,10030.733252191661
12/2011,10081.252647220916
01/2012,10085.539000429102
02/2012,10094.445792496505
03/2012,10096.6288615067
04/2012,10096.291012071644
05/2012,10092.173137366273
06/2012,10093.095453588636
07/2012,10109.973552715215
08/2012,10113.412399201057
09/2012,10113.911702847678
10/2012,10119.867521495768
11/2012,10124.14300323862
12/2012,10126.319081989488
01/2013,10128.074910665016
02/2013,10127.312857638392
03/2013,10127.809364872253
04/2013,10131.661281102599
05/2013,10129.221027193054
06/2013,10123.42632492788
07/2013,10123.92250266445
08/2013,10123.579902620013
09/2013,10125.752524009287
10/2013,10127.924500789977
11/2013,10127.162025033796
12/2013,10125.142389715937
01/2014,10129.827370143035
02/2014,10129.483494527001
03/2014,10128.301721452639
04/2014,10127.957828329672
05/2014,10129.707988472523
06/2014,10130.620055838412
07/2014,10129.43815016523
08/2014,10127.837706752784
09/2014,10125.81887212549
10/2014,10122.54463690579
11/2014,10120.94514427208
12/2014,10119.34588707626
01/2015,10117.328433847555
02/2015,10114.892931013903
03/2015,10112.45785877433
04/2015,10108.768362098901
05/2015,10104.661352561412
06/2015,10100.136976466378
07/2015,10097.286072902574
08/2015,10093.599517564719
09/2015,10088.659562113662
10/2015,10087.900544024078
11/2015,10083.380074862522
12/2015,10080.114207256982
01/2016,10073.924043274244
02/2016,10069.824172329007
03/2016,10061.965385779084
04/2016,10060.79148981741
05/2016,10055.023571385298
06/2016,10049.674464215757
07/2016,10042.656255041074
08/2016,10034.387033182582
09/2016,10028.624339994498
10/2016,10024.532483726603
11/2016,10014.598427597719
12/2016,10009.256960678242
01/2017,9997.65768893624
02/2017,9994.405234176069
03/2017,9981.558639776411
04/2017,9977.057205708406
05/2017,9969.637222971134
06/2017,9962.218836222271
07/2017,9954.385076379494
08/2017,9944.051488545543
09/2017,9939.973249078617
10/2017,9932.561243572218
11/2017,9926.401155111136
12/2017,9918.992192636884
01/2018,9910.751470589337
02/2018,9903.762421539977
03/2018,9895.525130097898
04/2018,9887.706157403181
05/2018,9877.389981202408
06/2018,9872.489716098062
07/2018,9864.259379651696
08/2018,9857.696175612175
09/2018,9852.383232605815
10/2018,9850.401309379704
11/2018,9841.76066342915
12/2018,9839.364031718616
01/2019,9829.062047949938
02/2019,9823.338829545828
03/2019,9818.032809416827
04/2019,9811.89599817875
05/2019,9806.176384812976
06/2019,9800.873823465423
07/2019,9794.740761700863
08/2019,9789.440505224036
09/2019,9781.231416333827
10/2019,9774.271080087055
11/2019,9768.559059461939
12/2019,9762.848238852534
01/2020,9755.476573753149
02/2020,9747.275571153012
03/2020,9731.183482739769
04/2020,9735.863295328028
05/2020,9730.57427367972
06/2020,9727.777965539606
07/2020,9722.075636323501
08/2020,9716.789677192653
09/2020,9708.598956651396
10/2020,9704.145688583583
11/2020,9697.61819594072
12/2020,9691.507072530487
01/2021,9679.588231106789
02/2021,9674.310135975988
03/2021,9668.203475737953
04/2021,9661.268540731926
05/2021,9654.335092689564
06/2021,9647.817818661139
07/2021,9640.47265648431
08/2021,9632.714486839535
09/2021,9625.787080924643
10/2021,9618.032173310534
11/2021,9616.910069556981
12/2021,9602.94179119753
01/2022,9593.948825705473
02/2022,9588.27222990603
03/2022,9578.86856208789
04/2022,9571.952179378153
05/2022,9563.38066020693
06/2022,9555.639224895764
07/2022,9546.657291156123
08/2022,9540.989404137677
09/2022,9522.489897047451
10/2022,9534.624166212254
11/2022,9540.547500087265
12/2022,9550.19367433857
01/2023,9552.803402717438
02/2023,9566.169122027186
03/2023,9594.423793618687
04/2023,9609.022158616412
05/2023,9629.40705215537
06/2023,9648.132953055689
07/2023,9666.854358275905
08/2023,9699.627938182442
09/2023,9726.606385660985
10/2023,9749.85839788191
11/2023,9778.890880196119
12/2023,9814.941531703707
01/2024,9834.869201597201
02/2024,9868.42581249592
03/2024,9897.017334214659
04/2024,9922.71073222046
