Data,IE00BJZ2DC62
09/2012,15981.613434720244
10/2012,15738.679083014478
11/2012,16001.47497808314
12/2012,16098.25926210414
01/2013,16742.96129046694
02/2013,17519.38277789077
03/2013,18721.07525704119
04/2013,18568.216185423535
05/2013,19057.84844699323
06/2013,18715.81922164236
07/2013,19504.21466448131
08/2013,19036.75870028435
09/2013,19504.939708913673
10/2013,19987.177342247538
11/2013,20357.9775986686
12/2013,20684.48941232285
01/2014,20688.495742535688
02/2014,21425.374038425496
03/2014,21400.516853966543
04/2014,21176.057279885244
05/2014,22025.611620434694
06/2014,22658.36066181426
07/2014,22441.266747367736
08/2014,23859.02280145224
09/2014,24164.327003400012
10/2014,25019.360806494315
11/2014,25736.553709939253
12/2014,26510.071784157968
01/2015,28018.492746716107
02/2015,29732.6214611495
03/2015,31071.76354517467
04/2015,29528.403273373984
05/2015,30621.479869958166
06/2015,29392.30503784345
07/2015,30201.128621777927
08/2015,27966.02973109836
09/2015,26979.892579557993
10/2015,29128.411684805003
11/2015,30403.21300536763
12/2015,28742.42522437945
01/2016,26769.638766121858
02/2016,27143.975330337846
03/2016,28077.323327110436
04/2016,28321.15233058004
05/2016,29419.956889014487
06/2016,29683.796023038063
07/2016,30999.647748473464
08/2016,30860.394140866672
09/2016,30833.392181167987
10/2016,30432.374155388163
11/2016,33002.60740670718
12/2016,33665.47762164245
01/2017,33782.04961297299
02/2017,35246.07695859414
03/2017,34871.29130997047
04/2017,34361.34296247542
05/2017,33765.919327595504
06/2017,33521.19621340045
07/2017,33091.2994821349
08/2017,32552.363014885257
09/2017,33498.7015866244
10/2017,34539.56043308427
11/2017,35055.89346645722
12/2017,34946.752036091
01/2018,34901.45424511415
02/2018,34115.30044518045
03/2018,33830.05482997239
04/2018,34445.436831882515
05/2018,36361.45619475346
06/2018,36730.61737462559
07/2018,37384.80641598438
08/2018,38816.32956940106
09/2018,38806.13150675498
10/2018,36381.74417927226
11/2018,37130.80364471842
12/2018,33171.5066115402
01/2019,36618.55841847279
02/2019,38421.652204921804
03/2019,39364.08762195878
04/2019,40912.37850648524
05/2019,38620.58836589794
06/2019,40431.53629352344
07/2019,41839.229369819186
08/2019,41058.8943504201
09/2019,42420.71862113943
10/2019,41835.967522804196
11/2019,43997.59370655289
12/2019,43984.59837759199
01/2020,44337.70571969075
02/2020,40750.162668108154
03/2020,32859.52202386584
04/2020,37845.56612524837
05/2020,39549.33378400988
06/2020,40027.3947071909
07/2020,40041.23109762005
08/2020,41118.00396972709
09/2020,41104.40189720561
10/2020,41389.81951402888
11/2020,45989.71727256278
12/2020,46989.19719165856
01/2021,47372.54350200655
02/2021,50058.867242616914
03/2021,53135.245709453884
04/2021,54177.728563996694
05/2021,54064.07040572669
06/2021,56307.40168292287
07/2021,56690.76845277704
08/2021,58395.45887186945
09/2021,57205.63739665532
10/2021,60248.01349657904
11/2021,59575.735969047135
12/2021,62194.24660546145
01/2022,58472.12094633023
02/2022,57811.65196635672
03/2022,59798.67494534333
04/2022,58112.35783904053
05/2022,57202.52865065359
06/2022,53092.723439576985
07/2022,59399.335701077696
08/2022,58657.700007454536
09/2022,54580.04301369779
10/2022,58413.272486300986
11/2022,59149.473220260996
12/2022,54414.15921130143
01/2023,58008.49918555339
02/2023,57725.27816623903
03/2023,55484.60494611336
04/2023,54642.61439129082
05/2023,54581.57858845024
06/2023,58124.22855944663
07/2023,59552.25285769796
08/2023,58289.249557369505
09/2023,56775.671861571085
10/2023,53796.20401863235
11/2023,57591.729147317186
12/2023,61358.33046752868
01/2024,61655.55381117717
02/2024,65148.350532558994
03/2024,68050.27215339936
04/2024,64913.054654679036
