Data,LU0950674175
12/1987,10000
01/1988,11098.554957005565
02/1988,11457.185673057087
03/1988,12514.56088028878
04/1988,13102.644938879223
05/1988,13626.739268349529
06/1988,14611.634619718401
07/1988,14956.078466592895
08/1988,14879.963915894978
09/1988,15727.243530058184
10/1988,15237.093140414632
11/1988,14568.943561796536
12/1988,14969.710340219393
01/1989,15364.622991050423
02/1989,16742.949460153355
03/1989,18531.4646426792
04/1989,22167.923606077817
05/1989,23428.10064324393
06/1989,20952.601728208756
07/1989,21353.57258391922
08/1989,22183.65573775462
09/1989,25358.997777949167
10/1989,24741.830437407225
11/1989,23246.58749460047
12/1989,25006.95521437447
01/1990,25068.789994778133
02/1990,25702.876904000645
03/1990,22610.29239942169
04/1990,23927.240445576972
05/1990,25465.87678521309
06/1990,26519.52480062293
07/1990,27982.039094130316
08/1990,23332.881695079344
09/1990,20382.891671833757
10/1990,19414.43673833947
11/1990,18033.73976254724
12/1990,19014.74969227419
01/1991,20599.516792228485
02/1991,23249.899351946027
03/1991,26341.978260833348
04/1991,28033.421214103102
05/1991,30632.09470212495
06/1991,30633.775794602945
07/1991,32258.092178427607
08/1991,32206.92718503129
09/1991,30111.68427918582
10/1991,31293.296273285105
11/1991,29669.27522686084
12/1991,31949.15800486842
01/1992,35892.842458111445
02/1992,38308.28702538907
03/1992,40655.86079571254
04/1992,40001.54993345033
05/1992,39088.55544984756
06/1992,34195.858764915545
07/1992,32916.73703708677
08/1992,30584.235358206304
09/1992,31392.409256904903
10/1992,34441.19818175406
11/1992,36295.61341630435
12/1992,37331.419992313655
01/1993,38237.404580068964
02/1993,39839.9647983617
03/1993,41352.442843679055
04/1993,40856.144715248796
05/1993,42090.19170840799
06/1993,44594.94494824427
07/1993,47705.66047183426
08/1993,52120.002859552194
09/1993,51868.350422297764
10/1993,57175.71413222676
11/1993,61298.43379127603
12/1993,71387.42336754987
01/1994,73658.14884306212
02/1994,72055.39733683244
03/1994,64166.440016301334
04/1994,63052.979296871206
05/1994,63797.31137006102
06/1994,61019.175698317216
07/1994,62804.02639132334
08/1994,70667.89151053777
09/1994,70691.57684437987
10/1994,68076.22844466967
11/1994,65483.256412829236
12/1994,61443.02287053128
01/1995,53772.03777797349
02/1995,51809.14368296057
03/1995,50102.42753416752
04/1995,51338.91532663365
05/1995,54895.684603849026
06/1995,54588.16168877462
07/1995,55154.47417447253
08/1995,55475.323255939795
09/1995,55909.74591630516
10/1995,52922.340314028326
11/1995,52080.74382811742
12/1995,55242.0285058644
01/1996,59876.50469279356
02/1996,59251.61169108257
03/1996,59663.65046454025
04/1996,62566.77774691439
05/1996,63030.99280564918
06/1996,62920.641663368115
07/1996,57717.62621048017
08/1996,58647.29433429402
09/1996,59656.825104114585
10/1996,58234.97944278411
11/1996,58439.63745529686
12/1996,59992.0411763277
01/1997,65815.60817946578
02/1997,71611.84411899014
03/1997,70526.43671086003
04/1997,71021.8838579528
05/1997,72817.26178743727
06/1997,77562.15015283265
07/1997,80895.37124825515
08/1997,72599.77724213619
09/1997,72640.61933026116
10/1997,59605.13544354135
11/1997,56236.96045340521
12/1997,59135.26560309112
01/1998,55739.43915252327
02/1998,61410.97241111372
03/1998,64300.34981720953
04/1998,63156.86609633237
05/1998,53659.59568621648
06/1998,48369.43586287114
07/1998,50011.84359156442
08/1998,35396.869304389416
09/1998,35879.38310469645
10/1998,38185.660468824004
11/1998,42551.01161300764
12/1998,41658.663606797076
01/1999,42317.88693829736
02/1999,44140.809639978164
03/1999,51233.2830588781
04/1999,58349.85475031735
05/1999,58781.49699242288
06/1999,66252.63589895747
07/1999,62234.26550185699
08/1999,63507.25792381569
09/1999,60816.57096500002
10/1999,63359.56205714431
11/1999,71462.75870175593
12/1999,80946.64206660875
01/2000,83534.33169098316
02/2000,85292.45858922736
03/2000,87136.84043151587
04/2000,82923.42313523298
05/2000,77616.48026227037
06/2000,78208.31616483114
07/2000,76683.30756236894
08/2000,79961.58023641542
09/2000,74138.33790942465
10/2000,71591.87901221153
11/2000,63309.88324136632
12/2000,60499.051285222726
01/2001,68907.05596885443
02/2001,63807.390236494655
03/2001,60238.2609576625
04/2001,62889.82737429727
05/2001,66600.33188076914
06/2001,65220.47248638722
07/2001,59167.49229461137
08/2001,55994.53654814318
09/2001,47456.94237656229
10/2001,50889.077161796806
11/2001,57101.85547363666
12/2001,62217.83714105225
01/2002,65625.14812356999
02/2002,66582.75041959836
03/2002,69984.37534373843
04/2002,68204.43432773196
05/2002,64394.78045476932
06/2002,56040.29066262061
07/2002,52783.499820090066
08/2002,53314.17552254934
09/2002,47421.58838996347
10/2002,50469.10208178378
11/2002,53591.053923031504
12/2002,49033.53788827193
01/2003,47325.64952459696
02/2003,46184.472656556834
03/2003,44400.64501637782
04/2003,47321.75868951962
05/2003,47744.54511362602
06/2003,52201.038795738496
07/2003,55994.468082430365
08/2003,61880.19942177052
09/2003,58443.500481464966
10/2003,63569.3998552191
11/2003,62342.537289192915
12/2003,63483.26120309279
01/2004,67031.54196986489
02/2004,69918.8585697432
03/2004,71927.7596332582
04/2004,67564.70828363515
05/2004,64858.15511424612
06/2004,65372.47903165131
07/2004,64822.76698984919
08/2004,67122.33226297914
09/2004,69281.20697005554
10/2004,69100.83406182488
11/2004,72319.23183605255
12/2004,73972.7396531149
01/2005,77528.72930660771
02/2005,82909.28840846171
03/2005,79181.64028079296
04/2005,77097.65450256434
05/2005,83849.13333089711
06/2005,88441.94923222766
07/2005,94675.13845029053
08/2005,94686.94109744675
09/2005,104839.00397089556
10/2005,98124.07235748148
11/2005,108522.71560076717
12/2005,114657.72853040148
01/2006,124134.07816531468
02/2006,126529.18412273114
03/2006,125223.84893640103
04/2006,129502.57778702119
05/2006,112953.58279578152
06/2006,114066.66954258601
07/2006,115232.69734279218
08/2006,117431.43121617135
09/2006,120182.62307730572
10/2006,125517.31531060622
11/2006,129691.79634498022
12/2006,135827.83953137966
01/2007,136671.8233615782
02/2007,133210.59017732495
03/2007,137408.10975380032
04/2007,140883.8555139864
05/2007,149406.96316853314
06/2007,155842.86549711335
07/2007,161697.48129717662
08/2007,158306.17817733862
09/2007,169894.81237005585
10/2007,185318.87448866828
11/2007,168491.97987219936
12/2007,169524.15470954817
01/2008,146898.52949120456
02/2008,154676.75781517106
03/2008,140499.48129896846
04/2008,154556.4776059212
05/2008,157763.99017924134
06/2008,139709.91815966912
07/2008,135842.47927214258
08/2008,132443.84842909788
09/2008,112555.25385425892
10/2008,91655.45523344306
11/2008,84944.61414272517
12/2008,83745.0488798147
01/2009,85087.64320170783
02/2009,81377.96475628504
03/2009,88423.86527986637
04/2009,103391.50316424524
05/2009,114027.62177053811
06/2009,112205.82178344177
07/2009,124846.47970885619
08/2009,123240.86224426824
09/2009,131017.58336228473
10/2009,129774.9379608714
11/2009,133321.94807818093
12/2009,144514.15620631268
01/2010,140749.78845011553
02/2010,145370.4096083392
03/2010,158150.98058817454
04/2010,162044.0362719186
05/2010,159940.48680703813
06/2010,159228.49976092088
07/2010,162541.49578804715
08/2010,163784.13064440744
09/2010,169067.0775168429
10/2010,171334.2608844195
11/2010,177809.99655544033
12/2010,185295.27512546317
01/2011,175922.15350738788
02/2011,172484.67864890827
03/2011,177824.44818495217
04/2011,175286.79319637944
05/2011,176363.75100002156
06/2011,172873.66545962074
07/2011,174521.31614758348
08/2011,156865.39508246043
09/2011,143390.95801329878
10/2011,156594.5244371774
11/2011,152487.33777240658
12/2011,156212.40037318997
01/2012,170802.22575543655
02/2012,177435.8618467382
03/2012,172616.08117653066
04/2012,172401.36083929965
05/2012,163138.43092925046
06/2012,166962.39715880257
07/2012,174550.76142473644
08/2012,169499.8550242725
09/2012,175293.89562199338
10/2012,173370.01630149505
11/2012,175645.2913956115
12/2012,181316.23625558647
01/2013,178979.40036418822
02/2013,182390.15886932443
03/2013,183789.7620471817
04/2013,181428.08973604406
05/2013,177721.55273851927
06/2013,165516.02264301907
07/2013,164845.16521989086
08/2013,162537.04631378473
09/2013,169665.43308010188
10/2013,176126.97013561122
11/2013,173914.1209120556
12/2013,169143.2082048595
01/2014,161383.76130691086
02/2014,163147.08884249587
03/2014,168465.3653913481
04/2014,168303.28658198265
05/2014,177295.16890595335
06/2014,181372.0086757314
07/2014,188851.71517091276
08/2014,195944.72233048387
09/2014,190148.64522807818
10/2014,193282.70152026712
11/2014,191840.9934035678
12/2014,188210.9470656257
01/2015,203321.11621911856
02/2015,210814.4570455947
03/2015,217111.10923387442
04/2015,224314.17757003423
05/2015,220141.8379846335
06/2015,210349.75975739968
07/2015,199823.00979839213
08/2015,177760.28451203427
09/2015,172626.70438730353
10/2015,188042.03140837973
11/2015,188165.9368646769
12/2015,178834.26373167222
01/2016,166702.8725006762
02/2016,166905.7103945502
03/2016,180749.37005139963
04/2016,181446.2197617423
05/2016,178579.20227909062
06/2016,186728.55940815198
07/2016,196002.70938856615
08/2016,200558.40654549474
09/2016,202630.5129602091
10/2016,207082.45929537615
11/2016,203300.57155749534
12/2016,205669.32361738477
01/2017,212578.57934379924
02/2017,222328.37869389015
03/2017,225949.13059026722
04/2017,225849.30964736617
05/2017,226498.82322699297
06/2017,225057.70901223994
07/2017,232200.3329916299
08/2017,235453.86339376195
09/2017,234903.45636137275
10/2017,246617.9994854103
11/2017,242678.5937587504
12/2017,248449.69980614333
01/2018,259101.68253641197
02/2018,252057.19473331672
03/2018,245238.21894741157
04/2018,249044.14688998827
05/2018,248035.9826806039
06/2018,238684.6353068187
07/2018,242469.91914347972
08/2018,237660.0234397522
09/2018,237964.0918351025
10/2018,222168.6083583611
11/2018,230462.50319683857
12/2018,222667.93330860315
01/2019,241337.517191874
02/2019,243381.6184017457
03/2019,249379.59968237282
04/2019,255014.73709327524
05/2019,237963.65167058894
06/2019,247871.5122629549
07/2019,250030.714184567
08/2019,240342.74130253584
09/2019,248271.54256744526
10/2019,252571.44339364208
11/2019,256142.7065983438
12/2019,269193.6937284427
01/2020,260830.69288437653
02/2020,248729.3574610817
03/2020,210837.66754969515
04/2020,231838.57481180684
05/2020,228168.47835804572
06/2020,243658.38141779648
07/2020,251029.45729439502
08/2020,254614.86180997154
09/2020,255507.1465049121
10/2020,260984.689794837
11/2020,278376.48096136056
12/2020,291829.3932860776
01/2021,304143.4890503817
02/2021,306807.4475883803
03/2021,312398.74361741514
04/2021,310697.206213153
05/2021,314813.4478914182
06/2021,323816.80406676116
07/2021,301974.17069771246
08/2021,311408.5694657468
09/2021,305670.6194252886
10/2021,306922.0096770375
11/2021,301687.5301194882
12/2021,308441.3318665401
01/2022,307178.5048925696
02/2022,296830.58609306515
03/2022,292734.605759776
04/2022,291155.6931679619
05/2022,287731.06478724966
06/2022,277231.0046963215
07/2022,281858.71727331815
08/2022,288693.2631185167
09/2022,261529.24035362393
10/2022,249149.8928273607
11/2022,273353.1283450657
12/2022,262274.7222688137
01/2023,278596.11658412684
02/2023,265749.54966653284
03/2023,267413.8321778031
04/2023,261830.33030929597
05/2023,264641.1793171347
06/2023,270259.48418683186
07/2023,283124.48813132296
08/2023,269501.7551669612
